Run_accession	project_name	archive_project	publication_doi	group
SRR957738	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957739	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957740	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957741	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957742	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957743	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957744	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957745	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
SRR957746	Warinner2014	PRJNA216965	10.1038/ng.2906	publication_doi::10.1038/ng.2906
ERR3579792	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579793	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579794	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579795	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579796	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579797	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579798	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579799	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579679	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678178	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579776	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579777	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579680	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678179	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579778	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579779	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579780	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579781	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579782	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579783	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3906046	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579682	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678181	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579683	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678182	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579684	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678183	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579685	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678184	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579686	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678185	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579687	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678186	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579681	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678180	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579699	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579713	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579714	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579721	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579722	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579723	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579749	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579750	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579751	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579676	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678175	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579705	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579706	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579743	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579744	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579755	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579756	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579757	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579758	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579828	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579829	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579671	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678173	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579708	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579709	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579710	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579711	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579712	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579672	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3678174	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579759	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579760	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579761	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579762	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579763	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579764	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579765	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579675	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579766	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579767	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579768	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
ERR3579769	FellowsYates2021	PRJEB34569	10.1073/pnas.2021655118	publication_doi::10.1073/pnas.2021655118
