Run_accession	sample_type	community_type	feature	sample_host	material	sample_age	latitude	longitude	project_name	publication_year	geo_loc_name	sample_name	archive_project	archive_sample_accession
ERR3579792	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME002.A	PRJEB34569	ERS3774378
ERR3579793	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME002.A	PRJEB34569	ERS3774378
ERR3579796	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME005.A	PRJEB34569	ERS3774380
ERR3579797	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME005.A	PRJEB34569	ERS3774380
ERR3579798	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME007.A	PRJEB34569	ERS3774381
ERR3579799	ancient_metagenome	oral		Alouatta palliata	dental calculus	200.0	11.41	-85.53	FellowsYates2021	2021	Nicaragua	OME009.A	PRJEB34569	ERS3774382
ERR3579776	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM001.A	PRJEB34569	ERS3774384
ERR3579777	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM002.A	PRJEB34569	ERS3774385
ERR3579680	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM003.A	PRJEB34569	ERS3774386
ERR3678179	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM003.A	PRJEB34569	ERS3774386
ERR3579779	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM005.A	PRJEB34569	ERS3774388
ERR3579781	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM008.A	PRJEB34569	ERS3774390
ERR3579782	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM009.A	PRJEB34569	ERS3774391
ERR3579783	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM009.A	PRJEB34569	ERS3774391
ERR3906046	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM009.A	PRJEB34569	ERS3774391
ERR3579682	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM011.A	PRJEB34569	ERS3774392
ERR3678181	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM011.A	PRJEB34569	ERS3774392
ERR3579683	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM012.A	PRJEB34569	ERS3774393
ERR3678182	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM012.A	PRJEB34569	ERS3774393
ERR3579685	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTS001.A	PRJEB34569	ERS3774395
ERR3678184	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTS001.A	PRJEB34569	ERS3774395
ERR3579687	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTS003.A	PRJEB34569	ERS3774397
ERR3678186	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTS003.A	PRJEB34569	ERS3774397
ERR3579681	ancient_metagenome	oral		Gorilla gorilla gorilla	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM010.A	PRJEB34569	ERS3774398
