Run_accession	sample_type	community_type	feature	sample_host	material	sample_age	latitude	longitude	project_name	publication_year	geo_loc_name	sample_name	archive_project	archive_sample_accession
ERR10493279	ancient_metagenome		sea coast		permafrost	2000000.0	82.496	-21.559	Kjaer2022	2022	Greenland	119_B3_116_L0_KapK-12-1-25	PRJEB55522	ERS14240265
ERR13615624	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	KNPT1	PRJEB79566	ERS20926378
ERR13615625	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	KPT1	PRJEB79566	ERS20926376
ERR13615627	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	KPT2	PRJEB79566	ERS20926377
ERR13615628	ancient_metagenome	skeletal tissue		Homo sapiens	bone	800.0	56.6	25.3	Poksane2025	2025	Latvia	VNPB1	PRJEB79566	ERS20926374
ERR13615629	ancient_metagenome	skeletal tissue		Homo sapiens	bone	800.0	56.6	25.3	Poksane2025	2025	Latvia	VNPB2	PRJEB79566	ERS20926375
ERR13615630	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	VNPT1	PRJEB79566	ERS20926371
ERR13615631	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	VNPT2	PRJEB79566	ERS20926372
ERR13615632	ancient_metagenome	skeletal tissue		Homo sapiens	bone	800.0	56.6	25.3	Poksane2025	2025	Latvia	VPB1	PRJEB79566	ERS20926373
ERR13615633	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	VPT1	PRJEB79566	ERS20926369
ERR13615634	ancient_metagenome	skeletal tissue		Homo sapiens	tooth	800.0	56.6	25.3	Poksane2025	2025	Latvia	VPT2	PRJEB79566	ERS20926370
ERR1688784	ancient_metagenome		midden		sediment	1600.0	69.128	-50.702	Seersholm2016	2016	Greenland	QB4	PRJEB13329	ERS1280202
ERR1688791	ancient_metagenome		midden		sediment	2600.0	69.128	-50.702	Seersholm2016	2016	Greenland	QA4	PRJEB13329	ERS1280209
ERR1688793	ancient_metagenome		midden		sediment	2600.0	69.128	-50.702	Seersholm2016	2016	Greenland	QA5	PRJEB13329	ERS1280211
ERR1688796	ancient_metagenome		midden		sediment	2600.0	69.128	-50.702	Seersholm2016	2016	Greenland	QA6(seq1,seq2)	PRJEB13329	ERS1280214
ERR1688802	ancient_metagenome		midden		sediment	2600.0	69.128	-50.702	Seersholm2016	2016	Greenland	QA8(seq1,seq2,seq3)	PRJEB13329	ERS1280220
ERR1688809	ancient_metagenome		midden		sediment	4000.0	68.593	-51.072	Seersholm2016	2016	Greenland	QT3(seq1,seq2)	PRJEB13329	ERS1280227
ERR2269774	ancient_metagenome	plant tissue		Arabidopsis thaliana	leaf	100.0	39.688	-82.993	Bieker2020	2020	USA	JK2510	PRJEB24619	ERS2159300
ERR2269806	ancient_metagenome	plant tissue		Arabidopsis thaliana	leaf	100.0	40.643	-111.967	Bieker2020	2020	USA	JK401	PRJEB24619	ERS2159332
ERR3579679	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTK001.A	PRJEB34569	ERS3774383
ERR3579684	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.46	29.42	FellowsYates2021	2021	Democratic Republic of the Congo	MTM013.A	PRJEB34569	ERS3774394
ERR3579686	ancient_metagenome	oral		Gorilla beringei beringei	dental calculus	200.0	-1.5	29.45	FellowsYates2021	2021	Democratic Republic of the Congo	MTS002.A	PRJEB34569	ERS3774396
ERR3579717	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA007.A	PRJEB34569	ERS3774429
ERR3579718	ancient_metagenome	oral		Pan troglodytes ellioti	dental calculus	200.0	3.41	13.53	FellowsYates2021	2021	Cameroon	DJA007.A	PRJEB34569	ERS3774429
