archive_accession	Run_accession	sample_type	status	sample_name	project_name	publication_year	geo_loc_name	material	sample_host	community_type	total_runs_for_sample	available_runs_for_sample	unavailable_runs_for_sample	unitig_size_gb	Assay Type	BioProject	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA Study	Type	Isolation source	Avg_read_len	Avg_num_reads	seqstats_contigs_n50	seqstats_contigs_nbseq	seqstats_contigs_maxlen	seqstats_contigs_sumlen	seqstats_unitigs_n50	seqstats_unitigs_maxlen	seqstats_unitigs_sumlen	size_contigs_after_compression	size_contigs_before_compression	size_unitigs_before_compression	size_unitigs_after_compression	sample_title	scientific_name	library_strategy	library_source	isolation_source
	ERR1474585	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.3672069245949387	WGS	PRJEB14383	SAMEA4031773	UCL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1545722	Illumina HiSeq 2500	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2017-11-16T00:00:00Z	ERP016024	mMetagenome	Saliva	57.47	38323142.0	266.0	965568.0	41637.0	160632204.0	61.0	4109.0	665962482.0	64479753.0	220369828.0	1361069313.0	377518532.0	Cag09	metagenome	WGS	METAGENOMIC	
	ERR1474586	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.3463781177997589	WGS	PRJEB14383	SAMEA4031774	UCL	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1545723	Illumina HiSeq 2500	PAIRED	RANDOM PCR	METAGENOMIC	metagenome	ILLUMINA	2017-11-16T00:00:00Z	ERP016024	mMetagenome	Saliva	56.17	40616282.0	278.0	953827.0	45027.0	152886138.0	59.0	4154.0	620320143.0	62165042.0	212862402.0	1286291528.0	355869520.0	Cag32	metagenome	WGS	METAGENOMIC	
	ERR2004605	modern_metagenome	available_unitigs					soil	Not applicable - env sample	Not applicable - env sample				0.7429572874680161	WGS	PRJEB21269	SAMEA104120062	APPRECIATE THE BEAUTY OF LIFE, INC.	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2064370	NextSeq 500	PAIRED	size fractionation	METAGENOMIC	soil metagenome	ILLUMINA	2019-01-02T00:00:00Z	ERP023502	mMetagenome	Not applicable	77.51	23174396.0	203.0	2309174.0	23306.0	407391493.0	107.0	1958.0	1903576123.0	138277672.0	518108241.0	3049912758.0	760603431.0	Arch-B3-DNA	soil metagenome	WGS	METAGENOMIC	
	ERR2004609	modern_metagenome	available_unitigs					soil	Not applicable - env sample	Not applicable - env sample				0.8012965032830834	WGS	PRJEB21269	SAMEA104120066	APPRECIATE THE BEAUTY OF LIFE, INC.	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2064374	NextSeq 500	PAIRED	size fractionation	METAGENOMIC	soil metagenome	ILLUMINA	2019-01-02T00:00:00Z	ERP023502	mMetagenome	Not applicable	72.87	22870912.0	179.0	1866485.0	19528.0	284611027.0	96.0	1436.0	2039976101.0	99134731.0	373049731.0	3311499837.0	828606446.0	Arch-D1-DNA	soil metagenome	WGS	METAGENOMIC	
	ERR2004615	modern_metagenome	available_unitigs					soil	Not applicable - env sample	Not applicable - env sample				0.8489834684878588	WGS	PRJEB21269	SAMEA104120072	APPRECIATE THE BEAUTY OF LIFE, INC.	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2064380	NextSeq 500	PAIRED	size fractionation	METAGENOMIC	soil metagenome	ILLUMINA	2019-01-02T00:00:00Z	ERP023502	mMetagenome	Not applicable	72.67	23362989.0	190.0	1991308.0	4491.0	337809826.0	96.0	1319.0	2100445856.0	116794255.0	430391820.0	3478978488.0	866323728.0	Arch-F1-DNA	soil metagenome	WGS	METAGENOMIC	
	ERR3307045	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.8229033034294844	WGS	PRJEB31185	SAMEA5591548	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333070	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	38.52	70322031.0	149.0	1821660.0	6889.0	146692335.0	35.0	1382.0	1327055943.0	72501688.0	261481331.0	3594629361.0	843317470.0	JAE006_humfilt	metagenome	WGS	GENOMIC	
	ERR3307046	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.5799315059557557	WGS	PRJEB31185	SAMEA5591549	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333071	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	39.18	53927712.0	242.0	790544.0	11169.0	95943908.0	36.0	1486.0	953570980.0	41031670.0	143896766.0	2530734007.0	593351757.0	JAE007_humfilt	metagenome	WGS	GENOMIC	
	ERR3307047	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.4321575667709112	WGS	PRJEB31185	SAMEA5591550	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333072	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	44.54	51309213.0		0.0		0.0	43.0	1470.0	1247671612.0			1807015303.0	514509839.0	JAE008_humfilt	metagenome	WGS	GENOMIC	
	ERR3307048	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.8014472834765911	WGS	PRJEB31185	SAMEA5591551	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333073	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	43.64	52819590.0	295.0	1091488.0	13008.0	170738195.0	42.0	1585.0	1389492045.0	69048940.0	237642997.0	3333439824.0	823843680.0	JAE009_humfilt	metagenome	WGS	GENOMIC	
	ERR3307049	modern_metagenome	available_unitigs					Oral	Homo sapiens	oral				0.9713796805590392	WGS	PRJEB31185	SAMEA5591552	MPI SCIENCE OF HUMAN HIST	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX3333074	NextSeq 500	PAIRED	RANDOM	GENOMIC	metagenome	ILLUMINA	2019-05-05T00:00:00Z	ERP113706	mMetagenome	Not declared	40.99	49865920.0	245.0	1027586.0	15536.0	133863954.0	39.0	1393.0	1608380256.0	56995389.0	196792068.0	4048797994.0	998155978.0	JAE010_humfilt	metagenome	WGS	GENOMIC	
