run_accession	sample_title	scientific_name	library_strategy	library_source	isolation_source
ERR1474585	Cag09	metagenome	WGS	METAGENOMIC	
ERR1474586	Cag32	metagenome	WGS	METAGENOMIC	
ERR2004605	Arch-B3-DNA	soil metagenome	WGS	METAGENOMIC	
ERR2004609	Arch-D1-DNA	soil metagenome	WGS	METAGENOMIC	
ERR2004615	Arch-F1-DNA	soil metagenome	WGS	METAGENOMIC	
ERR3307045	JAE006_humfilt	metagenome	WGS	GENOMIC	
ERR3307046	JAE007_humfilt	metagenome	WGS	GENOMIC	
ERR3307047	JAE008_humfilt	metagenome	WGS	GENOMIC	
ERR3307048	JAE009_humfilt	metagenome	WGS	GENOMIC	
ERR3307049	JAE010_humfilt	metagenome	WGS	GENOMIC	
ERR3307050	JAE012_humfilt	metagenome	WGS	GENOMIC	
ERR3307051	JAE013_humfilt	metagenome	WGS	GENOMIC	
ERR3307052	JAE014_humfilt	metagenome	WGS	GENOMIC	
ERR3307053	JAE015_humfilt	metagenome	WGS	GENOMIC	
ERR3307054	JAE016_humfilt	metagenome	WGS	GENOMIC	
ERR3579819	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579820	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579821	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579822	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579823	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579824	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579825	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR3579826	Dental calculus from Modern Human tooth	Homo sapiens	WGS	METAGENOMIC	modern day dental calculus
ERR450705	2H01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450719	13F05.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450774	13C06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450847	14C02.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450893	13F10.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450898	2G04.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450906	13C02.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450946	13B08.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR450958	13F06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451076	13B09.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451083	14B05.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451153	2F04.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451187	14B10.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451202	13G01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451384	2F06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451393	13B01.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451424	13F12.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451456	13B06.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451468	13F09.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451520	13B07.ARM	human skin metagenome	AMPLICON	METAGENOMIC	
ERR451536	14C03.ARMPIT	human skin metagenome	AMPLICON	METAGENOMIC	
ERR6016625	Soil sequencing form Satsurblia cave sample 29	Homo sapiens environmental sample	WGS	GENOMIC	
ERR6016626	Soil sequencing form Satsurblia cave sample 29	Homo sapiens environmental sample	WGS	GENOMIC	
ERR6016627	Soil sequencing form Satsurblia cave sample 29	Homo sapiens environmental sample	WGS	GENOMIC	
ERR6016628	Soil sequencing form Satsurblia cave sample 29	Homo sapiens environmental sample	WGS	GENOMIC	
ERR671910	102.100.100/8271	soil metagenome	WGS	METAGENOMIC	
ERR671911	102.100.100/8271	soil metagenome	WGS	METAGENOMIC	
ERR671912	102.100.100/8270	soil metagenome	WGS	METAGENOMIC	
ERR671913	102.100.100/8270	soil metagenome	WGS	METAGENOMIC	
ERR671915	102.100.100/8269	soil metagenome	WGS	METAGENOMIC	
ERR671916	102.100.100/8268	soil metagenome	WGS	METAGENOMIC	
ERR671917	102.100.100/8268	soil metagenome	WGS	METAGENOMIC	
ERR671918	102.100.100/8263	soil metagenome	WGS	METAGENOMIC	
ERR671919	102.100.100/8263	soil metagenome	WGS	METAGENOMIC	
ERR671920	102.100.100/8262	soil metagenome	WGS	METAGENOMIC	
ERR671921	102.100.100/8262	soil metagenome	WGS	METAGENOMIC	
ERR671922	102.100.100/8161	soil metagenome	WGS	METAGENOMIC	
ERR671923	102.100.100/8161	soil metagenome	WGS	METAGENOMIC	
ERR671924	102.100.100/8161	soil metagenome	WGS	METAGENOMIC	
ERR671925	102.100.100/8161	soil metagenome	WGS	METAGENOMIC	
ERR671926	102.100.100/8160	soil metagenome	WGS	METAGENOMIC	
ERR671927	102.100.100/8160	soil metagenome	WGS	METAGENOMIC	
ERR671929	102.100.100/8160	soil metagenome	WGS	METAGENOMIC	
ERR671930	102.100.100/8159	soil metagenome	WGS	METAGENOMIC	
ERR671931	102.100.100/8159	soil metagenome	WGS	METAGENOMIC	
