task,rank,feature_index,importance_score,method
sample_type,1,96721,0.6958797574043274,gradient_based
sample_type,2,42769,0.5600208044052124,gradient_based
sample_type,3,83289,0.506611704826355,gradient_based
sample_type,4,4006,0.45294392108917236,gradient_based
sample_type,5,2732,0.4462602734565735,gradient_based
sample_type,6,80915,0.4383374750614166,gradient_based
sample_type,7,73483,0.4333660900592804,gradient_based
sample_type,8,12332,0.43214672803878784,gradient_based
sample_type,9,34226,0.4232805371284485,gradient_based
sample_type,10,106873,0.4047450125217438,gradient_based
sample_type,11,42855,0.3893783390522003,gradient_based
sample_type,12,59996,0.37961435317993164,gradient_based
sample_type,13,58044,0.3794156610965729,gradient_based
sample_type,14,55208,0.3787294328212738,gradient_based
sample_type,15,98856,0.37596815824508667,gradient_based
sample_type,16,45990,0.3558751344680786,gradient_based
sample_type,17,17198,0.35551750659942627,gradient_based
sample_type,18,3041,0.3535819947719574,gradient_based
sample_type,19,6093,0.3520687222480774,gradient_based
sample_type,20,4825,0.3510110080242157,gradient_based
sample_type,21,95084,0.3483697175979614,gradient_based
sample_type,22,106917,0.34645959734916687,gradient_based
sample_type,23,60405,0.3331008851528168,gradient_based
sample_type,24,92828,0.3326623737812042,gradient_based
sample_type,25,2,0.3308563530445099,gradient_based
sample_type,26,76555,0.3255244195461273,gradient_based
sample_type,27,85509,0.32224416732788086,gradient_based
sample_type,28,63713,0.32198476791381836,gradient_based
sample_type,29,48150,0.3211871385574341,gradient_based
sample_type,30,61486,0.31796959042549133,gradient_based
sample_type,31,33111,0.3173011839389801,gradient_based
sample_type,32,53353,0.31236767768859863,gradient_based
sample_type,33,41084,0.31139400601387024,gradient_based
sample_type,34,89125,0.30861449241638184,gradient_based
sample_type,35,56352,0.30840370059013367,gradient_based
sample_type,36,32606,0.30679044127464294,gradient_based
sample_type,37,83926,0.30667126178741455,gradient_based
sample_type,38,81434,0.3061772882938385,gradient_based
sample_type,39,18456,0.3060664236545563,gradient_based
sample_type,40,83606,0.3025612235069275,gradient_based
sample_type,41,15312,0.29883989691734314,gradient_based
sample_type,42,89058,0.298699289560318,gradient_based
sample_type,43,9158,0.2977730929851532,gradient_based
sample_type,44,83004,0.2973068356513977,gradient_based
sample_type,45,23230,0.2955675721168518,gradient_based
sample_type,46,11014,0.29451078176498413,gradient_based
sample_type,47,40227,0.2941119074821472,gradient_based
sample_type,48,45045,0.29247745871543884,gradient_based
sample_type,49,69854,0.2920393645763397,gradient_based
sample_type,50,22241,0.29124677181243896,gradient_based
sample_type,51,94266,0.2893718481063843,gradient_based
sample_type,52,92889,0.28929564356803894,gradient_based
sample_type,53,37779,0.28756195306777954,gradient_based
sample_type,54,105766,0.2870018780231476,gradient_based
sample_type,55,61060,0.2866980731487274,gradient_based
sample_type,56,48083,0.2862991392612457,gradient_based
sample_type,57,32293,0.28548529744148254,gradient_based
sample_type,58,43456,0.2851637899875641,gradient_based
sample_type,59,32160,0.28228724002838135,gradient_based
sample_type,60,60174,0.28180766105651855,gradient_based
sample_type,61,53107,0.2810016870498657,gradient_based
sample_type,62,8345,0.2809945046901703,gradient_based
sample_type,63,11757,0.27873510122299194,gradient_based
sample_type,64,61193,0.2782629132270813,gradient_based
sample_type,65,61043,0.27683448791503906,gradient_based
sample_type,66,34004,0.27664464712142944,gradient_based
sample_type,67,11194,0.27536675333976746,gradient_based
sample_type,68,89082,0.27498534321784973,gradient_based
sample_type,69,42281,0.2746204733848572,gradient_based
sample_type,70,105250,0.27378594875335693,gradient_based
sample_type,71,89294,0.2735624313354492,gradient_based
sample_type,72,472,0.27330493927001953,gradient_based
sample_type,73,1305,0.27308347821235657,gradient_based
