task,rank,feature_index,importance_score,method
sample_type,1,2732,11.09144401550293,weight_based
sample_type,2,55208,11.033873558044434,weight_based
sample_type,3,34226,9.771635055541992,weight_based
sample_type,4,106873,9.49431324005127,weight_based
sample_type,5,58044,9.245614051818848,weight_based
sample_type,6,61486,8.855209350585938,weight_based
sample_type,7,80915,7.666461944580078,weight_based
sample_type,8,96298,7.009274482727051,weight_based
sample_type,9,17198,6.984277725219727,weight_based
sample_type,10,25392,6.339626312255859,weight_based
sample_type,11,48083,6.3045454025268555,weight_based
sample_type,12,81527,6.199532508850098,weight_based
sample_type,13,86507,6.150694847106934,weight_based
sample_type,14,40227,6.087841033935547,weight_based
sample_type,15,62885,6.0012688636779785,weight_based
sample_type,16,81533,5.945891380310059,weight_based
sample_type,17,23230,5.941922187805176,weight_based
sample_type,18,1305,5.867378234863281,weight_based
sample_type,19,44502,5.808443069458008,weight_based
sample_type,20,44596,5.7823286056518555,weight_based
sample_type,21,85193,5.7792768478393555,weight_based
sample_type,22,92889,5.644329071044922,weight_based
sample_type,23,99091,5.636320114135742,weight_based
sample_type,24,5799,5.559181213378906,weight_based
sample_type,25,22777,5.521018028259277,weight_based
sample_type,26,56071,5.486000061035156,weight_based
sample_type,27,101979,5.3477630615234375,weight_based
sample_type,28,35508,5.202322006225586,weight_based
sample_type,29,5039,5.184264183044434,weight_based
sample_type,30,35098,5.144577980041504,weight_based
sample_type,31,42855,5.11436128616333,weight_based
sample_type,32,84880,5.086808204650879,weight_based
sample_type,33,105830,4.955048084259033,weight_based
sample_type,34,72772,4.95230770111084,weight_based
sample_type,35,3041,4.9332451820373535,weight_based
sample_type,36,34819,4.895074367523193,weight_based
sample_type,37,34788,4.891013145446777,weight_based
sample_type,38,71228,4.876344680786133,weight_based
sample_type,39,74184,4.859315872192383,weight_based
sample_type,40,25485,4.857381820678711,weight_based
sample_type,41,50967,4.816922187805176,weight_based
sample_type,42,55807,4.803682327270508,weight_based
sample_type,43,41128,4.802072525024414,weight_based
sample_type,44,41084,4.78380823135376,weight_based
sample_type,45,22015,4.7151689529418945,weight_based
sample_type,46,69444,4.693167209625244,weight_based
sample_type,47,98856,4.624896049499512,weight_based
sample_type,48,79819,4.511706352233887,weight_based
sample_type,49,89125,4.456510543823242,weight_based
sample_type,50,89294,4.4531660079956055,weight_based
sample_type,51,63717,4.413335800170898,weight_based
sample_type,52,105638,4.385220527648926,weight_based
sample_type,53,57775,4.360783576965332,weight_based
sample_type,54,19365,4.358817100524902,weight_based
sample_type,55,31929,4.3495283126831055,weight_based
sample_type,56,76555,4.348532676696777,weight_based
sample_type,57,61060,4.334301471710205,weight_based
sample_type,58,34795,4.331887245178223,weight_based
