rank,feature_index,id,length,gc_content,complexity,importance_score
1,96721,2716995,130,70.0,1.8380980865205159,23.343778610229492
2,73483,2638325,123,29.268292682926827,1.871442418112287,17.137849807739258
3,42769,2532208,5416,44.73781388478582,1.9845357536010257,16.3586368560791
4,58044,2587432,72,48.61111111111111,1.978914232330877,14.296531677246094
5,48083,2551808,61,36.0655737704918,1.9097947096899266,11.918744087219238
6,11014,2417508,88,51.13636363636363,1.9977281244737704,11.667143821716309
7,56352,2581557,61,68.85245901639344,1.8881175783370163,11.49887752532959
8,83926,2673917,82,68.29268292682927,1.8785324347235735,11.145394325256348
9,61486,2599697,77,66.23376623376623,1.912092211004246,10.373631477355957
10,4006,2382803,86,44.18604651162791,1.9815458553567495,9.884941101074219
11,100084,2729624,61,37.704918032786885,1.9057026102692773,9.482698440551758
12,58162,2587591,61,49.18032786885246,1.5076213244090613,9.326708793640137
13,45990,2544635,76,52.63157894736842,1.9259865576705786,9.255478858947754
14,25392,2466982,104,37.5,1.9541494239872044,9.173137664794922
15,53107,2569730,64,64.0625,1.9413980376599163,8.937870979309082
16,40267,2525965,86,68.6046511627907,1.880070674992537,8.93727970123291
17,4825,2385023,61,59.01639344262295,1.925345647173747,8.906899452209473
18,36992,2516516,72,54.166666666666664,1.94488099582645,8.778668403625488
19,97781,2722178,72,65.27777777777779,1.9105739280137324,8.51880931854248
20,35273,2510455,61,50.81967213114754,1.966665652338337,8.478739738464355
21,42855,2535506,61,62.295081967213115,1.937986057212116,8.470443725585938
22,96298,2716541,80,51.24999999999999,1.948667609804581,8.27213191986084
23,9158,2400238,61,55.73770491803278,1.9569975011825842,8.222092628479004
24,101923,2735640,67,43.28358208955223,1.911730411258397,8.219435691833496
25,65915,2614178,62,59.67741935483871,1.923966973111092,8.21356201171875
26,95320,2712791,118,54.23728813559322,1.987285656672547,8.19532299041748
27,82952,2671710,61,45.90163934426229,1.9902277600210603,8.114131927490234
28,12247,2420562,308,36.038961038961034,1.833453649076032,8.024347305297852
29,71519,2632319,79,27.848101265822784,1.806365152784205,8.004339218139648
30,5799,2390147,61,40.98360655737705,1.9708322921448431,7.985067844390869
31,30359,2483876,102,64.70588235294117,1.9084000353083128,7.947261810302734
32,76265,2648766,83,53.01204819277109,1.9791665377146765,7.889517307281494
33,55208,2576579,70,45.714285714285715,1.9460831814792088,7.723324298858643
34,89923,2694717,108,33.33333333333333,1.9041324958519188,7.688554286956787
35,83289,2673068,66,59.09090909090909,1.689035435387326,7.673616886138916
36,41128,2529645,69,57.971014492753625,1.9801821889996716,7.614646911621094
37,75731,2647036,67,55.223880597014926,1.8715642446665268,7.607834339141846
38,76352,2648884,80,67.5,1.8929414913662503,7.570220470428467
39,22241,2454877,61,65.57377049180327,1.0239228180015463,7.427587032318115
40,56742,2582054,107,63.55140186915887,1.9235541480357468,7.41357946395874
41,95084,2712552,73,56.16438356164384,1.98560064653985,7.4041266441345215
42,89071,2692552,78,56.41025641025641,1.934559199734664,7.391909122467041
43,13237,2425448,77,58.44155844155844,1.9551881179868946,7.361265182495117
44,27423,2475117,76,55.26315789473685,1.9809855619393553,7.314568996429443
45,2,610007,61,47.540983606557376,1.1034990673875955,7.293715953826904
46,44596,2540445,63,31.746031746031743,1.840407230400658,7.275449275970459
47,26650,2473291,62,64.51612903225806,1.876496786366209,7.269586086273193
48,75809,2647627,63,49.2063492063492,1.9694654837736065,7.2409749031066895
49,89067,2692525,61,59.01639344262295,1.9602661650006161,7.238684177398682
50,98039,2722449,72,45.83333333333333,1.9871086637005075,7.132748126983643
51,102833,2739569,61,44.26229508196721,1.9640604333502663,7.096721649169922
52,25485,2467075,124,62.096774193548384,1.9541799346085988,7.082754611968994
53,12288,2423118,61,36.0655737704918,1.883240577891304,7.069839000701904
54,80500,2662285,92,44.565217391304344,1.94928544382292,7.049365997314453
55,44866,2541036,63,38.095238095238095,1.8915755797987328,7.0350470542907715
56,76155,2648605,69,68.11594202898551,1.8664238489730478,6.956849575042725
57,101979,2735795,74,51.35135135135135,1.9785905842615672,6.953121662139893
58,77505,2652841,61,77.04918032786885,1.7613881660794792,6.952904224395752
59,72428,2636878,61,39.34426229508197,1.9621325123194846,6.952303409576416
60,105638,2748890,88,37.5,1.9448725890987713,6.944241046905518
61,93178,2706061,71,69.01408450704226,1.8853732306245288,6.923982620239258
62,59916,2593274,61,50.81967213114754,1.9510501943492131,6.854494571685791
63,91251,2700061,75,24.0,1.756623811079363,6.848638534545898
64,32598,2491286,68,52.94117647058824,1.971335285306981,6.815122127532959
65,86778,2685292,64,54.6875,1.9715153033374995,6.798573970794678
66,49132,2556722,63,50.79365079365079,1.9775861861497872,6.764291286468506
67,41490,2530778,66,48.484848484848484,1.6000490199812691,6.755438327789307
