rank,feature_index,id,length,gc_content,complexity,importance_score
1,96721,2716995,130,70.0,1.8380980865205159,27.429983139038086
2,73483,2638325,123,29.268292682926827,1.871442418112287,21.012113571166992
3,42769,2532208,5416,44.73781388478582,1.9845357536010257,19.903352737426758
4,58044,2587432,72,48.61111111111111,1.978914232330877,16.82777214050293
5,56352,2581557,61,68.85245901639344,1.8881175783370163,15.055439949035645
6,48083,2551808,61,36.0655737704918,1.9097947096899266,14.506780624389648
7,61486,2599697,77,66.23376623376623,1.912092211004246,12.799890518188477
8,83926,2673917,82,68.29268292682927,1.8785324347235735,12.692516326904297
9,11014,2417508,88,51.13636363636363,1.9977281244737704,11.86661434173584
10,4006,2382803,86,44.18604651162791,1.9815458553567495,11.852304458618164
11,25392,2466982,104,37.5,1.9541494239872044,11.34868335723877
12,55208,2576579,70,45.714285714285715,1.9460831814792088,11.251697540283203
13,83289,2673068,66,59.09090909090909,1.689035435387326,10.948148727416992
14,58162,2587591,61,49.18032786885246,1.5076213244090613,10.69476318359375
15,2732,2378701,61,59.01639344262295,1.9388626156126858,10.556731224060059
16,97781,2722178,72,65.27777777777779,1.9105739280137324,10.300456047058105
17,40267,2525965,86,68.6046511627907,1.880070674992537,10.090694427490234
18,96298,2716541,80,51.24999999999999,1.948667609804581,9.977585792541504
19,95320,2712791,118,54.23728813559322,1.987285656672547,9.937856674194336
20,34226,2505245,62,56.451612903225815,1.979186534959203,9.849550247192383
21,30359,2483876,102,64.70588235294117,1.9084000353083128,9.628047943115234
22,82952,2671710,61,45.90163934426229,1.9902277600210603,9.604813575744629
23,100084,2729624,61,37.704918032786885,1.9057026102692773,9.364608764648438
24,42855,2535506,61,62.295081967213115,1.937986057212116,9.354799270629883
25,35273,2510455,61,50.81967213114754,1.966665652338337,9.34265422821045
26,2,610007,61,47.540983606557376,1.1034990673875955,9.283803939819336
27,59337,2590848,85,52.94117647058824,1.9949550004971865,9.168146133422852
28,13237,2425448,77,58.44155844155844,1.9551881179868946,9.11221981048584
29,22241,2454877,61,65.57377049180327,1.0239228180015463,9.10739517211914
30,86778,2685292,64,54.6875,1.9715153033374995,8.962839126586914
31,49132,2556722,63,50.79365079365079,1.9775861861497872,8.905482292175293
32,106873,2754620,116,52.58620689655172,1.957817958175226,8.879270553588867
33,44866,2541036,63,38.095238095238095,1.8915755797987328,8.860814094543457
34,93178,2706061,71,69.01408450704226,1.8853732306245288,8.84919548034668
35,12332,2423568,62,59.67741935483871,1.9720263244856202,8.794811248779297
36,36992,2516516,72,54.166666666666664,1.94488099582645,8.764883995056152
37,41128,2529645,69,57.971014492753625,1.9801821889996716,8.752595901489258
38,72428,2636878,61,39.34426229508197,1.9621325123194846,8.733646392822266
39,5799,2390147,61,40.98360655737705,1.9708322921448431,8.6852445602417
40,76265,2648766,83,53.01204819277109,1.9791665377146765,8.682923316955566
41,44596,2540445,63,31.746031746031743,1.840407230400658,8.62312126159668
42,76155,2648605,69,68.11594202898551,1.8664238489730478,8.615371704101562
43,9158,2400238,61,55.73770491803278,1.9569975011825842,8.60069465637207
44,105638,2748890,88,37.5,1.9448725890987713,8.509373664855957
45,45990,2544635,76,52.63157894736842,1.9259865576705786,8.507400512695312
46,12247,2420562,308,36.038961038961034,1.833453649076032,8.436036109924316
47,87324,2686038,86,37.2093023255814,1.9455732135644725,8.295820236206055
48,84899,2679056,61,59.01639344262295,1.941043078129074,8.284296035766602
49,62885,2604750,61,59.01639344262295,1.941043078129074,8.279165267944336
50,48012,2551293,62,69.35483870967742,1.8667647420676337,8.24691104888916
51,98039,2722449,72,45.83333333333333,1.9871086637005075,8.130985260009766
52,71519,2632319,79,27.848101265822784,1.806365152784205,8.124948501586914
53,65915,2614178,62,59.67741935483871,1.923966973111092,8.086342811584473
54,4825,2385023,61,59.01639344262295,1.925345647173747,8.037715911865234
55,55081,2576441,61,34.42622950819672,1.6796605229195791,8.017849922180176
56,53107,2569730,64,64.0625,1.9413980376599163,8.000368118286133
57,89923,2694717,108,33.33333333333333,1.9041324958519188,7.973389148712158
58,95932,2715870,61,37.704918032786885,1.9290886349754004,7.91949462890625
59,46138,2544980,94,52.12765957446809,1.955657628583834,7.8857221603393555
60,71860,2632666,245,59.183673469387756,1.9649389567940148,7.8616461753845215
61,12288,2423118,61,36.0655737704918,1.883240577891304,7.846333026885986
62,39027,2521890,67,62.68656716417911,1.9485098756931831,7.839037895202637
63,37779,2517730,88,55.68181818181818,1.9618416152153642,7.818765640258789
64,63713,2606162,95,56.84210526315789,1.9358862387935272,7.749501705169678
65,55807,2579762,61,40.98360655737705,1.9721468987802635,7.718833923339844
66,66093,2614903,68,67.64705882352942,1.8430045978902458,7.71451997756958
67,15887,2433232,73,64.38356164383562,1.9043900688745723,7.705934524536133
68,25485,2467075,124,62.096774193548384,1.9541799346085988,7.690292835235596
69,102833,2739569,61,44.26229508196721,1.9640604333502663,7.680913925170898
