task,rank,feature_index,importance_score,method
sample_type,1,34226,6.237094879150391,weight_based
sample_type,2,55208,6.127718925476074,weight_based
sample_type,3,2732,5.61829948425293,weight_based
sample_type,4,61486,5.474246501922607,weight_based
sample_type,5,44596,5.00666618347168,weight_based
sample_type,6,81533,4.592535972595215,weight_based
sample_type,7,17198,4.535479545593262,weight_based
sample_type,8,106873,4.408642768859863,weight_based
sample_type,9,81434,4.198244094848633,weight_based
sample_type,10,1305,4.174761772155762,weight_based
sample_type,11,80915,4.152755260467529,weight_based
sample_type,12,25485,3.836165189743042,weight_based
sample_type,13,96496,3.761319160461426,weight_based
sample_type,14,42769,3.754761219024658,weight_based
sample_type,15,62885,3.7297234535217285,weight_based
sample_type,16,74184,3.7062432765960693,weight_based
sample_type,17,81527,3.6797380447387695,weight_based
sample_type,18,58044,3.640913486480713,weight_based
sample_type,19,23230,3.604605197906494,weight_based
sample_type,20,32293,3.496608257293701,weight_based
sample_type,21,84880,3.4834890365600586,weight_based
sample_type,22,31157,3.4625821113586426,weight_based
sample_type,23,27032,3.4582324028015137,weight_based
sample_type,24,35098,3.4323599338531494,weight_based
sample_type,25,40227,3.347869634628296,weight_based
sample_type,26,35508,3.339069128036499,weight_based
sample_type,27,63548,3.321068286895752,weight_based
sample_type,28,60405,3.3209025859832764,weight_based
sample_type,29,61060,3.3001654148101807,weight_based
sample_type,30,86507,3.2822630405426025,weight_based
sample_type,31,56071,3.252300262451172,weight_based
sample_type,32,105344,3.2377548217773438,weight_based
sample_type,33,34819,3.1802403926849365,weight_based
sample_type,34,96298,3.1736373901367188,weight_based
sample_type,35,37361,3.16957688331604,weight_based
sample_type,36,83626,3.149482488632202,weight_based
sample_type,37,54110,3.1442623138427734,weight_based
sample_type,38,5799,3.118783473968506,weight_based
sample_type,39,41084,3.1117329597473145,weight_based
sample_type,40,92889,3.0997278690338135,weight_based
sample_type,41,11194,3.0773940086364746,weight_based
sample_type,42,37425,3.054839611053467,weight_based
sample_type,43,5039,3.0526061058044434,weight_based
sample_type,44,105395,3.0524821281433105,weight_based
sample_type,45,25004,3.035095453262329,weight_based
sample_type,46,22015,3.0287375450134277,weight_based
sample_type,47,65915,3.0221829414367676,weight_based
sample_type,48,55247,3.0213112831115723,weight_based
sample_type,49,34788,3.0109009742736816,weight_based
sample_type,50,11007,2.9827752113342285,weight_based
sample_type,51,7016,2.938056468963623,weight_based
sample_type,52,31929,2.8868532180786133,weight_based
sample_type,53,101395,2.8623194694519043,weight_based
sample_type,54,55968,2.840885639190674,weight_based
sample_type,55,50841,2.8379244804382324,weight_based
sample_type,56,71228,2.833435535430908,weight_based
sample_type,57,75809,2.792679786682129,weight_based
sample_type,58,3041,2.7919766902923584,weight_based
sample_type,59,35356,2.7737839221954346,weight_based
sample_type,60,23694,2.7555038928985596,weight_based
sample_type,61,97570,2.7434000968933105,weight_based
sample_type,62,41110,2.732809543609619,weight_based
sample_type,63,83577,2.731198310852051,weight_based
sample_type,64,81940,2.721208095550537,weight_based
sample_type,65,71530,2.711422920227051,weight_based
sample_type,66,14338,2.7084381580352783,weight_based
sample_type,67,32623,2.7052550315856934,weight_based
sample_type,68,60481,2.688326358795166,weight_based
sample_type,69,59233,2.670093536376953,weight_based
sample_type,70,89294,2.632995128631592,weight_based
sample_type,71,473,2.6291301250457764,weight_based
sample_type,72,90963,2.621797561645508,weight_based
sample_type,73,61739,2.615380048751831,weight_based
sample_type,74,105830,2.6137959957122803,weight_based
sample_type,75,41089,2.611206531524658,weight_based
sample_type,76,101463,2.568842887878418,weight_based
sample_type,77,1750,2.568523645401001,weight_based
sample_type,78,102615,2.5585684776306152,weight_based
sample_type,79,3928,2.5553722381591797,weight_based
sample_type,80,49573,2.54701566696167,weight_based
sample_type,81,31893,2.540419578552246,weight_based
sample_type,82,16753,2.5357706546783447,weight_based
sample_type,83,35561,2.5277419090270996,weight_based
sample_type,84,51721,2.523261308670044,weight_based
sample_type,85,99091,2.5217363834381104,weight_based
sample_type,86,54628,2.5207247734069824,weight_based
sample_type,87,66098,2.520686388015747,weight_based
sample_type,88,24983,2.519462823867798,weight_based
sample_type,89,64069,2.507145643234253,weight_based
sample_type,90,43007,2.504509925842285,weight_based
sample_type,91,9544,2.4922404289245605,weight_based
sample_type,92,104255,2.483586549758911,weight_based
sample_type,93,58312,2.476137638092041,weight_based
sample_type,94,44743,2.4755406379699707,weight_based
sample_type,95,60694,2.4649124145507812,weight_based
sample_type,96,17443,2.460975170135498,weight_based
sample_type,97,44502,2.455486536026001,weight_based
sample_type,98,24825,2.4542109966278076,weight_based
