BioProject	task	split	N_runs	N_wrong	error_rate_pct	N_conf_wrong	conf_error_rate_pct
PRJNA994900	sample_type	train	0	0		0	
PRJNA994900	sample_type	test	0	0		0	
PRJNA994900	sample_type	val	70	31	44.3	10	14.3
PRJNA994900	community_type	train	0	0		0	
PRJNA994900	community_type	test	0	0		0	
PRJNA994900	community_type	val	70	68	97.1	63	90.0
PRJNA994900	sample_host	train	0	0		0	
PRJNA994900	sample_host	test	0	0		0	
PRJNA994900	sample_host	val	70	41	58.6	38	54.3
PRJNA994900	material	train	0	0		0	
PRJNA994900	material	test	0	0		0	
PRJNA994900	material	val	70	70	100.0	40	57.1
PRJEB34569	sample_type	train	134	8	6.0	1	0.7
PRJEB34569	sample_type	test	25	0	0.0	0	0.0
PRJEB34569	sample_type	val	42	2	4.8	2	4.8
PRJEB34569	community_type	train	134	15	11.2	1	0.7
PRJEB34569	community_type	test	25	2	8.0	0	0.0
PRJEB34569	community_type	val	42	3	7.1	2	4.8
PRJEB34569	sample_host	train	134	19	14.2	7	5.2
PRJEB34569	sample_host	test	25	2	8.0	0	0.0
PRJEB34569	sample_host	val	42	34	81.0	32	76.2
PRJEB34569	material	train	134	17	12.7	2	1.5
PRJEB34569	material	test	25	2	8.0	0	0.0
PRJEB34569	material	val	42	3	7.1	2	4.8
PRJEB80877	sample_type	train	0	0		0	
PRJEB80877	sample_type	test	0	0		0	
PRJEB80877	sample_type	val	46	0	0.0	0	0.0
PRJEB80877	community_type	train	0	0		0	
PRJEB80877	community_type	test	0	0		0	
PRJEB80877	community_type	val	46	0	0.0	0	0.0
PRJEB80877	sample_host	train	0	0		0	
PRJEB80877	sample_host	test	0	0		0	
PRJEB80877	sample_host	val	46	0	0.0	0	0.0
PRJEB80877	material	train	0	0		0	
PRJEB80877	material	test	0	0		0	
PRJEB80877	material	val	46	46	100.0	35	76.1
PRJNA1211513	sample_type	train	0	0		0	
PRJNA1211513	sample_type	test	0	0		0	
PRJNA1211513	sample_type	val	48	0	0.0	0	0.0
PRJNA1211513	community_type	train	0	0		0	
PRJNA1211513	community_type	test	0	0		0	
PRJNA1211513	community_type	val	48	0	0.0	0	0.0
PRJNA1211513	sample_host	train	0	0		0	
PRJNA1211513	sample_host	test	0	0		0	
PRJNA1211513	sample_host	val	48	0	0.0	0	0.0
PRJNA1211513	material	train	0	0		0	
PRJNA1211513	material	test	0	0		0	
PRJNA1211513	material	val	48	48	100.0	34	70.8
PRJEB49638	sample_type	train	56	0	0.0	0	0.0
PRJEB49638	sample_type	test	19	0	0.0	0	0.0
PRJEB49638	sample_type	val	20	4	20.0	2	10.0
PRJEB49638	community_type	train	56	7	12.5	0	0.0
PRJEB49638	community_type	test	19	3	15.8	0	0.0
PRJEB49638	community_type	val	20	4	20.0	4	20.0
PRJEB49638	sample_host	train	56	2	3.6	0	0.0
PRJEB49638	sample_host	test	19	4	21.1	0	0.0
PRJEB49638	sample_host	val	20	20	100.0	16	80.0
PRJEB49638	material	train	56	9	16.1	0	0.0
PRJEB49638	material	test	19	3	15.8	0	0.0
PRJEB49638	material	val	20	4	20.0	4	20.0
PRJEB74036	sample_type	train	0	0		0	
PRJEB74036	sample_type	test	0	0		0	
PRJEB74036	sample_type	val	21	0	0.0	0	0.0
PRJEB74036	community_type	train	0	0		0	
PRJEB74036	community_type	test	0	0		0	
PRJEB74036	community_type	val	21	0	0.0	0	0.0
PRJEB74036	sample_host	train	0	0		0	
PRJEB74036	sample_host	test	0	0		0	
PRJEB74036	sample_host	val	21	1	4.8	0	0.0
PRJEB74036	material	train	0	0		0	
PRJEB74036	material	test	0	0		0	
PRJEB74036	material	val	21	21	100.0	17	81.0
PRJNA1056444	sample_type	train	0	0		0	
PRJNA1056444	sample_type	test	0	0		0	
PRJNA1056444	sample_type	val	39	2	5.1	1	2.6
PRJNA1056444	community_type	train	0	0		0	
PRJNA1056444	community_type	test	0	0		0	
PRJNA1056444	community_type	val	39	6	15.4	0	0.0
PRJNA1056444	sample_host	train	0	0		0	
PRJNA1056444	sample_host	test	0	0		0	
PRJNA1056444	sample_host	val	39	15	38.5	10	25.6
PRJNA1056444	material	train	0	0		0	
PRJNA1056444	material	test	0	0		0	
PRJNA1056444	material	val	39	5	12.8	0	0.0
