BioProject	project_name	task	N_runs	N_unique_samples	runs_per_sample	error_rate_per_run_pct	error_rate_per_sample_pct	n_sample_errors
PRJNA994900	Kirdok2024	sample_type	70	3	23.3	44.3	33.3	1
PRJNA994900	Kirdok2024	community_type	70	3	23.3	97.1	100.0	3
PRJNA994900	Kirdok2024	sample_host	70	3	23.3	58.6	66.7	2
PRJNA994900	Kirdok2024	material	70	3	23.3	100.0	100.0	3
PRJEB34569	FellowsYates2021	sample_type	42	25	1.7	4.8	4.0	1
PRJEB34569	FellowsYates2021	community_type	42	25	1.7	7.1	4.0	1
PRJEB34569	FellowsYates2021	sample_host	42	25	1.7	81.0	76.0	19
PRJEB34569	FellowsYates2021	material	42	25	1.7	7.1	4.0	1
PRJEB80877	vonHippel2025	sample_type	46	46	1.0	0.0	0.0	0
PRJEB80877	vonHippel2025	community_type	46	46	1.0	0.0	0.0	0
PRJEB80877	vonHippel2025	sample_host	46	46	1.0	0.0	0.0	0
PRJEB80877	vonHippel2025	material	46	46	1.0	100.0	100.0	46
PRJNA1211513	Schreiber2025	sample_type	48	48	1.0	0.0	0.0	0
PRJNA1211513	Schreiber2025	community_type	48	48	1.0	0.0	0.0	0
PRJNA1211513	Schreiber2025	sample_host	48	48	1.0	0.0	0.0	0
PRJNA1211513	Schreiber2025	material	48	48	1.0	100.0	100.0	48
PRJEB49638	Moraitou2022	sample_type	20	5	4.0	20.0	20.0	1
PRJEB49638	Moraitou2022	community_type	20	5	4.0	20.0	20.0	1
PRJEB49638	Moraitou2022	sample_host	20	5	4.0	100.0	100.0	5
PRJEB49638	Moraitou2022	material	20	5	4.0	20.0	20.0	1
PRJEB74036	Liu2024	sample_type	21	21	1.0	0.0	0.0	0
PRJEB74036	Liu2024	community_type	21	21	1.0	0.0	0.0	0
PRJEB74036	Liu2024	sample_host	21	21	1.0	4.8	4.8	1
PRJEB74036	Liu2024	material	21	21	1.0	100.0	100.0	21
PRJNA1056444	Austin2024	sample_type	39	39	1.0	5.1	5.1	2
PRJNA1056444	Austin2024	community_type	39	39	1.0	15.4	15.4	6
PRJNA1056444	Austin2024	sample_host	39	39	1.0	38.5	38.5	15
PRJNA1056444	Austin2024	material	39	39	1.0	12.8	12.8	5
