task	model	roc_auc	average_precision	n_scored	n_planted	tpr_at_fpr5	threshold_at_fpr5	tpr_at_fpr10	threshold_at_fpr10
community_type	LogisticRegression_Bal	0.8492412349555206	0.4730601058245137	653	65	0.35384615384615387	0.9767573758246407	0.4461538461538462	0.8927878491553066
community_type	MajorityClass	0.5566064887493458	0.1121445292838861	653	65	0.0	inf	0.0	inf
community_type	RandomForest	0.7490057561486133	0.3592658459025162	653	65	0.27692307692307694	0.9105108901515152	0.35384615384615387	0.7984429942233886
community_type	RandomForest_Bal	0.8320512820512821	0.4114260485166379	653	65	0.2923076923076923	0.8887709731430622	0.4	0.7658451363898878
community_type	kNN	0.6231292517006803	0.1345530748770855	653	65	0.0	inf	0.0	inf
feature	LogisticRegression_Bal	0.8777994157740994	0.6022243601445794	263	26	0.6538461538461539	0.9987103012187176	0.7307692307692307	0.9887045389414136
feature	MajorityClass	0.6434599156118144	0.13333333333333333	263	26	0.0	inf	0.0	inf
feature	RandomForest	0.7956832197338527	0.24140251453615388	263	26	0.15384615384615385	0.9955138888888889	0.19230769230769232	0.9933333333333334
feature	RandomForest_Bal	0.8052580331061343	0.29986333832646095	263	26	0.15384615384615385	0.9967207207207208	0.23076923076923078	0.9880666230316263
feature	kNN	0.751460564751704	0.18108830200284473	263	26	0.0	inf	0.0	inf
sample_host	LogisticRegression_Bal	0.9792032499017167	0.8522492522658169	652	65	0.9538461538461539	0.984551300441239	0.9692307692307692	0.679530539963549
sample_host	MajorityClass	0.8848512645786921	0.3917299265152026	652	65	0.0	inf	0.0	inf
sample_host	RandomForest	0.970410169047307	0.744017661841405	652	65	0.9230769230769231	0.8463463203463204	0.9692307692307692	0.75657833908724
sample_host	RandomForest_Bal	0.9743283973266937	0.7030108524325843	652	65	0.9384615384615385	0.8511075576524555	0.9692307692307692	0.7847195086608304
sample_host	kNN	0.9190538592582885	0.42163630643385247	652	65	0.0	inf	0.0	inf
material	LogisticRegression_Bal	0.8555913884772944	0.45791912640845095	822	77	0.2857142857142857	0.9963139714459524	0.7012987012987013	0.9397921631310948
material	MajorityClass	0.4757169005491153	0.0897860457716775	822	77	0.0	inf	0.0	inf
material	RandomForest	0.8122199947703304	0.3191181484923671	822	77	0.4675324675324675	0.949063492063492	0.5584415584415584	0.925925925925926
material	RandomForest_Bal	0.8248932275777913	0.3554395573034371	822	77	0.4675324675324675	0.95787869205763	0.5974025974025974	0.9214045270586138
material	kNN	0.7218774514076527	0.16202587938591678	822	77	0.0	inf	0.0	inf
community_type	DIANA	0.812742019884877	0.3405083848393651	653	65	0.1846153846153846	0.984964667	0.6153846153846154	0.9341239
feature	DIANA	0.8452002542911634	0.5389331833650454	255	13	0.5384615384615384	0.9510064	0.5384615384615384	0.9510064
sample_host	DIANA	0.9577149041434756	0.6350900082481541	632	44	0.9545454545454546	0.970533479	0.9545454545454546	0.970533479
material	DIANA	0.8488427243407323	0.3309094252406029	823	70	0.2857142857142857	0.982649934	0.4142857142857143	0.968379658
