task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
community_type	gut	ig	1	69414	3341944	0.2443666011095047	61	40
community_type	gut	ig	2	88986	3424710	0.1125580444931984	61	40
community_type	gut	ig	3	77064	3385461	0.08617915958166122	62	40
community_type	gut	ig	4	21174	2913142	0.08185406029224396	73	40
community_type	gut	ig	5	67975	3337894	0.0806594043970108	75	40
community_type	gut	ig	6	97904	3452306	0.07987968623638153	61	40
community_type	gut	ig	7	32430	3024054	0.07361654192209244	83	40
community_type	gut	ig	8	25801	2927858	0.07356612384319305	63	40
community_type	gut	ig	9	50098	3218642	0.0723259299993515	70	40
community_type	gut	ig	10	42883	3130914	0.06971440464258194	76	40
community_type	gut	ig	11	67163	3333068	0.06893499940633774	61	40
community_type	gut	ig	12	92204	3433697	0.06550713628530502	66	40
community_type	gut	ig	13	21096	2912962	0.06528636068105698	65	40
community_type	gut	ig	14	60333	3291503	0.06487691402435303	74	40
community_type	gut	ig	15	1806	2811123	0.0648278221487999	61	40
community_type	gut	ig	16	94768	3442816	0.06459414958953857	61	40
community_type	gut	ig	17	88993	3424722	0.06367767602205276	61	40
community_type	gut	ig	18	29249	2960882	0.06256750971078873	61	40
community_type	gut	ig	19	2005	2811452	0.059523213654756546	61	40
community_type	gut	ig	20	6517	2826558	0.05691681057214737	77	40
community_type	gut	ig	21	61698	3293691	0.056338585913181305	77	40
community_type	gut	ig	22	22484	2917459	-0.05471144989132881	61	40
community_type	gut	ig	23	480	2807158	0.05448359251022339	90	40
community_type	gut	ig	24	16551	2898102	-0.05403159186244011	78	40
community_type	gut	ig	25	10272	2855883	-0.052748240530490875	72	40
community_type	gut	ig	26	1641	2810466	0.052064526826143265	61	40
community_type	gut	ig	27	10142	2854957	0.049480509012937546	61	40
community_type	gut	ig	28	33388	3028177	0.04827988147735596	67	40
community_type	gut	ig	29	26198	2929369	0.046420179307460785	79	40
community_type	gut	ig	30	72971	3372916	0.0460253581404686	64	40
community_type	gut	ig	31	78146	3387261	0.044198404997587204	61	40
community_type	gut	ig	32	48201	3191818	0.0437692366540432	89	40
community_type	gut	ig	33	25960	2928744	0.040475185960531235	61	40
community_type	gut	ig	34	80558	3396477	0.040395475924015045	72	40
community_type	gut	ig	35	49677	3195027	0.03955431282520294	116	40
community_type	gut	ig	36	68762	3338824	0.039128854870796204	107	40
community_type	gut	ig	37	85971	3413181	0.038379497826099396	91	40
community_type	gut	ig	38	98182	3453508	0.03828749805688858	62	40
community_type	gut	ig	39	78841	3391229	0.0382419154047966	61	40
