task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
feature	archeological site	ig	1	101159	3462275	0.055925868451595306	62	11
feature	archeological site	ig	2	62454	3319625	0.03320680931210518	63	11
feature	archeological site	ig	3	105411	3476413	0.027699870988726616	87	11
feature	archeological site	ig	4	40792	3108998	0.02490970306098461	61	11
feature	archeological site	ig	5	26854	2930164	0.020756682381033897	93	11
feature	archeological site	ig	6	52166	3225345	0.02057114988565445	74	11
feature	archeological site	ig	7	40242	3086093	0.01980433613061905	73	11
feature	archeological site	ig	8	69694	3342780	0.019723089411854744	72	11
feature	archeological site	ig	9	84676	3408017	0.018987076357007027	98	11
feature	archeological site	ig	10	42335	3129605	0.018895430490374565	61	11
feature	archeological site	ig	11	64896	3326563	0.01751689985394478	81	11
feature	archeological site	ig	12	90521	3429922	0.016412287950515747	61	11
feature	archeological site	ig	13	31889	3023029	0.01606902852654457	83	11
feature	archeological site	ig	14	79129	3391604	0.014413878321647644	98	11
feature	archeological site	ig	15	51957	3225071	0.014372297562658787	63	11
feature	archeological site	ig	16	5505	2822463	0.01329389214515686	81	11
feature	archeological site	ig	17	71907	3349685	0.013170484453439713	104	11
feature	archeological site	ig	18	102362	3465923	0.013144253753125668	78	11
feature	archeological site	ig	19	50121	3218724	0.012789848260581493	80	11
feature	archeological site	ig	20	38876	3083773	0.012373425997793674	73	11
feature	archeological site	ig	21	7239	2827629	0.012340569868683815	138	11
feature	archeological site	ig	22	35918	3055601	0.012179805897176266	68	11
feature	archeological site	ig	23	85202	3408801	0.01167750358581543	198	11
feature	archeological site	ig	24	97091	3449563	0.01155235804617405	81	11
feature	archeological site	ig	25	12700	2862239	0.011311271227896214	198	11
feature	archeological site	ig	26	34204	3029524	0.011156076565384865	69	11
feature	archeological site	ig	27	26189	2929358	0.010826692916452885	68	11
feature	archeological site	ig	28	95134	3443497	0.010682855732738972	63	11
feature	archeological site	ig	29	0	2624173	-0.010456844232976437	61	11
feature	archeological site	ig	30	15280	2873027	0.010284111835062504	75	11
feature	archeological site	ig	31	8218	2831846	0.01026506070047617	61	11
