task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
material	bone	ig	1	49928	3217820	0.17796750366687775	61	40
material	bone	ig	2	13830	2867249	0.14224891364574432	63	40
material	bone	ig	3	46467	3163301	0.12271596491336823	77	40
material	bone	ig	4	69694	3342780	0.11618968099355698	72	40
material	bone	ig	5	95134	3443497	0.09645994752645493	63	40
material	bone	ig	6	71204	3347782	0.09026281535625458	61	40
material	bone	ig	7	38876	3083773	0.08433732390403748	73	40
material	bone	ig	8	57267	3259674	0.060161005705595016	71	40
material	bone	ig	9	29203	2960823	0.058005500584840775	61	40
material	bone	ig	10	32145	3023679	0.05507168173789978	67	40
material	bone	ig	11	42667	3130623	0.048053327947854996	61	40
material	bone	ig	12	101159	3462275	-0.047960616648197174	62	40
material	bone	ig	13	96548	3448876	0.044083334505558014	66	40
material	bone	ig	14	19861	2907957	-0.041882626712322235	65	40
material	bone	ig	15	6972	2827350	0.041623927652835846	76	40
material	bone	ig	16	36128	3055816	0.04031090438365936	103	40
material	bone	ig	17	78841	3391229	0.037294331938028336	61	40
material	bone	ig	18	105149	3476020	0.03533909097313881	68	40
material	bone	ig	19	199	2806564	0.035023532807826996	70	40
material	bone	ig	20	9805	2834757	0.034332238137722015	107	40
material	bone	ig	21	62454	3319625	-0.03355403617024422	63	40
material	bone	ig	22	105411	3476413	-0.03275258094072342	87	40
material	bone	ig	23	98433	3453851	0.032232630997896194	69	40
material	bone	ig	24	10625	2856629	0.031655896455049515	61	40
material	bone	ig	25	108889	3488361	0.03093394637107849	92	40
material	bone	ig	26	92616	3434335	0.029134979471564293	88	40
material	bone	ig	27	27701	2933056	0.029105350375175476	75	40
material	bone	ig	28	99476	3458293	0.029045507311820984	61	40
material	bone	ig	29	101650	3463067	0.028511038050055504	77	40
material	bone	ig	30	30348	2999714	0.028330761939287186	61	40
material	bone	ig	31	103470	3471069	-0.027013638988137245	67	40
material	bone	ig	32	80708	3396675	0.026802530512213707	76	40
material	bone	ig	33	42825	3130827	0.026548516005277634	67	40
material	bone	ig	34	52166	3225345	-0.02602357231080532	74	40
material	bone	ig	35	35857	3055535	-0.025767048820853233	67	40
material	bone	ig	36	80032	3394895	0.02563405968248844	61	40
material	bone	ig	37	101581	3462996	0.025521989911794662	73	40
material	bone	ig	38	49098	3193431	-0.025301551446318626	61	40
material	bone	ig	39	51779	3224629	0.025055501610040665	72	40
material	bone	ig	40	77085	3385494	0.024376029148697853	65	40
material	bone	ig	41	76486	3384237	0.024314258247613907	64	40
material	bone	ig	42	25960	2928744	-0.023812297731637955	61	40
material	bone	ig	43	96169	3447406	0.02349497750401497	61	40
material	bone	ig	44	60633	3291974	0.022660955786705017	83	40
material	bone	ig	45	103599	3471243	0.02259940281510353	61	40
material	bone	ig	46	10249	2855824	-0.02249259315431118	61	40
material	bone	ig	47	89477	3425430	0.02242225781083107	67	40
material	bone	ig	48	47913	3191302	0.021843241527676582	65	40
material	bone	ig	49	27639	2932445	0.021357841789722443	61	40
material	bone	ig	50	62464	3319638	-0.02126048132777214	83	40
material	bone	gxi	1	46467	3163301	-0.07268886268138885	77	40
material	bone	gxi	2	49928	3217820	-0.06516560167074203	61	40
material	bone	gxi	3	13830	2867249	-0.059691596776247025	63	40
material	bone	gxi	4	19861	2907957	0.044388316571712494	65	40
material	bone	gxi	5	38876	3083773	-0.03586498647928238	73	40
material	bone	gxi	6	35857	3055535	0.02889229916036129	67	40
material	bone	gxi	7	71204	3347782	-0.021282829344272614	61	40
material	bone	gxi	8	51957	3225071	0.020165439695119858	63	40
material	bone	gxi	9	51779	3224629	-0.017340391874313354	72	40
material	bone	gxi	10	32246	3023817	-0.017296094447374344	75	40
material	bone	gxi	11	95134	3443497	-0.016708938404917717	63	40
material	bone	gxi	12	25960	2928744	0.01578379049897194	61	40
material	bone	gxi	13	29203	2960823	-0.015737049281597137	61	40
material	bone	gxi	14	6972	2827350	-0.015308608300983906	76	40
material	bone	gxi	15	69694	3342780	-0.01484407763928175	72	40
material	bone	gxi	16	68762	3338824	0.012082112953066826	107	40
material	bone	gxi	17	101581	3462996	-0.011558117344975471	73	40
material	bone	gxi	18	42404	3130001	-0.011077655479311943	61	40
material	bone	gxi	19	42667	3130623	-0.010096915066242218	61	40
material	bone	gxi	20	40273	3086179	0.009984316304326057	75	40
material	bone	gxi	21	78828	3391213	-0.009767314419150352	72	40
material	bone	gxi	22	77085	3385494	0.009375091642141342	65	40
material	bone	gxi	23	36128	3055816	-0.009055773727595806	103	40
material	bone	gxi	24	32145	3023679	-0.009001179598271847	67	40
material	bone	gxi	25	16551	2898102	-0.008223004639148712	78	40
material	bone	gxi	26	14213	2867639	-0.008041469380259514	96	40
material	bone	gxi	27	13154	2864369	-0.00794108398258686	61	40
material	bone	gxi	28	10625	2856629	-0.007875275798141956	61	40
material	bone	gxi	29	7337	2827727	-0.007788841612637043	88	40
material	bone	gxi	30	37717	3078888	-0.007739389780908823	70	40
material	bone	gxi	31	84676	3408017	0.007479147054255009	98	40
material	bone	gxi	32	57267	3259674	-0.007232286036014557	71	40
material	bone	gxi	33	22484	2917459	-0.007212410215288401	61	40
material	bone	gxi	34	199	2806564	-0.007202561944723129	70	40
material	bone	gxi	35	49180	3194328	-0.007104101125150919	64	40
material	bone	gxi	36	8218	2831846	0.006775413639843464	61	40
material	bone	gxi	37	47794	3190999	0.006625472102314234	64	40
material	bone	gxi	38	32276	3023856	-0.006621933076530695	62	40
material	bone	gxi	39	96548	3448876	-0.00658929068595171	66	40
material	bone	gxi	40	95532	3443962	-0.006440752651542425	99	40
material	bone	gxi	41	47913	3191302	-0.006434826646000147	65	40
material	bone	gxi	42	15280	2873027	-0.006385208573192358	75	40
material	bone	gxi	43	104978	3475587	0.006350568495690823	61	40
material	bone	gxi	44	51702	3224436	-0.00605404656380415	61	40
material	bone	gxi	45	66262	3331369	0.005980608053505421	67	40
material	bone	gxi	46	63541	3321651	0.0057422565296292305	77	40
material	bone	gxi	47	21116	2913028	0.0055034891702234745	61	40
material	bone	gxi	48	105411	3476413	0.005494268145412207	87	40
material	bone	gxi	49	50013	3218432	0.005492003168910742	62	40
material	bone	gxi	50	83939	3407204	0.00548423919826746	61	40
material	dental calculus	ig	1	81948	3400596	0.025995055213570595	61	40
material	dental calculus	ig	2	63541	3321651	-0.018675049766898155	77	40
material	dental calculus	ig	3	101159	3462275	-0.018634820356965065	62	40
material	dental calculus	ig	4	103470	3471069	-0.01839999482035637	67	40
material	dental calculus	ig	5	25047	2924663	0.01721327006816864	89	40
material	dental calculus	ig	6	26643	2929939	0.016864996403455734	123	40
material	dental calculus	ig	7	2571	2812067	0.015046236105263233	166	40
material	dental calculus	ig	8	90818	3430514	-0.013225940987467766	61	40
material	dental calculus	ig	9	60633	3291974	0.01253178995102644	83	40
material	dental calculus	ig	10	44046	3135432	0.012297170236706734	65	40
material	dental calculus	ig	11	32462	3024088	0.011569161899387836	97	40
material	dental calculus	ig	12	94691	3442611	-0.011486733332276344	66	40
material	dental calculus	ig	13	106377	3480688	0.011396831832826138	61	40
material	dental calculus	ig	14	58715	3265138	0.010997066274285316	61	40
material	dental calculus	ig	15	16555	2898126	-0.01058187335729599	61	40
material	dental calculus	ig	16	105411	3476413	-0.010389449074864388	87	40
material	dental calculus	ig	17	10272	2855883	-0.009735089726746082	72	40
material	dental calculus	ig	18	17338	2900075	0.009706906974315643	107	40
material	dental calculus	ig	19	49907	3217624	0.009694630280137062	61	40
material	dental calculus	ig	20	84899	3408240	0.009225216694176197	139	40
material	dental calculus	ig	21	104978	3475587	-0.009210070595145226	61	40
material	dental calculus	ig	22	99522	3458410	-0.008497422561049461	63	40
material	dental calculus	ig	23	27319	2930633	0.00848989188671112	148	40
material	dental calculus	ig	24	8448	2832158	-0.007707597222179174	81	40
material	dental calculus	ig	25	108980	3488455	0.007374939508736134	111	40
material	dental calculus	ig	26	27081	2930395	0.0070701586082577705	155	40
material	dental calculus	ig	27	6840	2827177	0.006990766618400812	68	40
material	dental calculus	ig	28	10249	2855824	-0.006983115337789059	61	40
material	dental calculus	ig	29	95134	3443497	0.006890654563903809	63	40
material	dental calculus	ig	30	83953	3407220	0.006878600921481848	112	40
material	dental calculus	ig	31	48619	3192279	0.0068112947046756744	192	40
material	dental calculus	ig	32	36128	3055816	0.006627241615206003	103	40
material	dental calculus	ig	33	105242	3476150	0.0062136403284966946	84	40
