task	class	method	rank	feature_index	unitig_id	attribution	unitig_len	n_samples_used
sample_host	Alouatta palliata	ig	1	100144	3459517	0.017338810488581657	74	6
sample_host	Alouatta palliata	ig	2	91203	3430992	0.016040818765759468	116	6
sample_host	Alouatta palliata	ig	3	37558	3078662	0.01600497029721737	64	6
sample_host	Alouatta palliata	ig	4	40282	3086205	0.015475249849259853	61	6
sample_host	Alouatta palliata	ig	5	53429	3227481	0.0154505530372262	84	6
sample_host	Alouatta palliata	ig	6	65707	3330323	0.015070345252752304	72	6
sample_host	Alouatta palliata	ig	7	98513	3453954	0.014370870776474476	92	6
sample_host	Alouatta palliata	ig	8	60131	3291019	0.01436027605086565	78	6
sample_host	Alouatta palliata	ig	9	51916	3224996	0.014259683899581432	63	6
sample_host	Alouatta palliata	ig	10	83704	3406751	0.014166581444442272	66	6
sample_host	Alouatta palliata	ig	11	94561	3441459	0.014147836714982986	61	6
sample_host	Alouatta palliata	ig	12	20862	2912081	0.013936442323029041	62	6
sample_host	Alouatta palliata	ig	13	78469	3390408	0.01369943842291832	61	6
sample_host	Alouatta palliata	ig	14	60029	3290371	0.013551552779972553	61	6
sample_host	Alouatta palliata	ig	15	68168	3338152	0.013538427650928497	66	6
sample_host	Alouatta palliata	ig	16	94674	3442563	0.013353708200156689	62	6
sample_host	Alouatta palliata	ig	17	68017	3337942	0.01320494245737791	84	6
sample_host	Alouatta palliata	ig	18	38869	3083747	0.013081253506243229	61	6
sample_host	Alouatta palliata	ig	19	26533	2929812	0.01296105608344078	61	6
sample_host	Alouatta palliata	ig	20	46844	3163765	0.012927945703268051	68	6
sample_host	Alouatta palliata	ig	21	107435	3482405	0.012867797166109085	149	6
sample_host	Alouatta palliata	ig	22	106486	3481068	0.012829151004552841	73	6
sample_host	Alouatta palliata	ig	23	36171	3055859	0.012820570729672909	87	6
sample_host	Alouatta palliata	ig	24	8396	2832090	0.01282015535980463	76	6
sample_host	Alouatta palliata	ig	25	107178	3482146	0.012734748423099518	86	6
sample_host	Alouatta palliata	ig	26	103945	3471666	0.012728814966976643	67	6
sample_host	Alouatta palliata	ig	27	49961	3218294	0.012720406986773014	68	6
sample_host	Alouatta palliata	ig	28	25279	2924903	0.01266432087868452	103	6
sample_host	Alouatta palliata	ig	29	73816	3374714	0.012656302191317081	96	6
sample_host	Alouatta palliata	ig	30	75023	3379440	0.012636140920221806	71	6
sample_host	Alouatta palliata	ig	31	83860	3407092	0.012594439089298248	71	6
sample_host	Alouatta palliata	ig	32	102809	3466442	0.012588787823915482	122	6
sample_host	Alouatta palliata	ig	33	26445	2929692	0.012570257298648357	73	6
sample_host	Alouatta palliata	ig	34	13972	2867396	0.012564691714942455	113	6
sample_host	Alouatta palliata	ig	35	105167	3476044	0.012556289322674274	82	6
sample_host	Alouatta palliata	ig	36	56193	3256075	0.012417644262313843	81	6
sample_host	Alouatta palliata	ig	37	61996	3317964	0.012402606196701527	65	6
sample_host	Alouatta palliata	ig	38	100135	3459507	0.012248799204826355	76	6
sample_host	Alouatta palliata	ig	39	26435	2929680	0.012219739146530628	65	6
sample_host	Alouatta palliata	ig	40	63520	3321621	0.012208797037601471	110	6
sample_host	Alouatta palliata	ig	41	63759	3321889	0.01193579938262701	148	6
sample_host	Alouatta palliata	ig	42	75073	3379602	0.011932299472391605	61	6
sample_host	Alouatta palliata	ig	43	43883	3134995	0.011928326450288296	61	6
sample_host	Alouatta palliata	ig	44	10124	2854834	0.011926238425076008	61	6
sample_host	Alouatta palliata	ig	45	30444	3000178	0.011893483810126781	72	6
sample_host	Alouatta palliata	ig	46	2167	2811650	0.0118799963966012	87	6
sample_host	Alouatta palliata	ig	47	18433	2903123	0.011873997747898102	67	6
sample_host	Alouatta palliata	ig	48	73171	3373791	0.011793495155870914	62	6
sample_host	Alouatta palliata	ig	49	44677	3136225	0.011738691478967667	64	6
sample_host	Alouatta palliata	ig	50	96366	3448349	0.011679713614284992	76	6
sample_host	Alouatta palliata	gxi	1	100144	3459517	0.016553310677409172	74	6
sample_host	Alouatta palliata	gxi	2	91203	3430992	0.015779677778482437	116	6
sample_host	Alouatta palliata	gxi	3	40282	3086205	0.015756992623209953	61	6
sample_host	Alouatta palliata	gxi	4	37558	3078662	0.015552185475826263	64	6
sample_host	Alouatta palliata	gxi	5	53429	3227481	0.015404758043587208	84	6
sample_host	Alouatta palliata	gxi	6	65707	3330323	0.014552089385688305	72	6
sample_host	Alouatta palliata	gxi	7	78469	3390408	0.013860374689102173	61	6
sample_host	Alouatta palliata	gxi	8	51916	3224996	0.013830567710101604	63	6
sample_host	Alouatta palliata	gxi	9	60131	3291019	0.013753637671470642	78	6
sample_host	Alouatta palliata	gxi	10	98513	3453954	0.013723562471568584	92	6
sample_host	Alouatta palliata	gxi	11	83704	3406751	0.013664599508047104	66	6
sample_host	Alouatta palliata	gxi	12	94561	3441459	0.013436184264719486	61	6
sample_host	Alouatta palliata	gxi	13	60029	3290371	0.013429657556116581	61	6
sample_host	Alouatta palliata	gxi	14	20862	2912081	0.013275827281177044	62	6
sample_host	Alouatta palliata	gxi	15	25279	2924903	0.01310676708817482	103	6
sample_host	Alouatta palliata	gxi	16	68168	3338152	0.012997382320463657	66	6
sample_host	Alouatta palliata	gxi	17	94674	3442563	0.012927863746881485	62	6
sample_host	Alouatta palliata	gxi	18	73816	3374714	0.012927503325045109	96	6
sample_host	Alouatta palliata	gxi	19	99620	3458689	0.012860600836575031	61	6
sample_host	Alouatta palliata	gxi	20	75023	3379440	0.012855825014412403	71	6
sample_host	Alouatta palliata	gxi	21	75468	3380309	0.012817964889109135	64	6
sample_host	Alouatta palliata	gxi	22	46844	3163765	0.012521306984126568	68	6
sample_host	Alouatta palliata	gxi	23	68017	3337942	0.012520196847617626	84	6
sample_host	Alouatta palliata	gxi	24	107178	3482146	0.01249906700104475	86	6
sample_host	Alouatta palliata	gxi	25	26533	2929812	0.01242405828088522	61	6
sample_host	Alouatta palliata	gxi	26	107435	3482405	0.01235924195498228	149	6
sample_host	Alouatta palliata	gxi	27	36171	3055859	0.012225084938108921	87	6
sample_host	Alouatta palliata	gxi	28	18433	2903123	0.012185533531010151	67	6
sample_host	Alouatta palliata	gxi	29	106486	3481068	0.012149571441113949	73	6
sample_host	Alouatta palliata	gxi	30	83860	3407092	0.012124740518629551	71	6
sample_host	Alouatta palliata	gxi	31	105167	3476044	0.012124056927859783	82	6
sample_host	Alouatta palliata	gxi	32	103945	3471666	0.01211563404649496	67	6
sample_host	Alouatta palliata	gxi	33	102809	3466442	0.012087561190128326	122	6
sample_host	Alouatta palliata	gxi	34	26435	2929680	0.012025703676044941	65	6
sample_host	Alouatta palliata	gxi	35	49961	3218294	0.012014415115118027	68	6
sample_host	Alouatta palliata	gxi	36	38869	3083747	0.011987044475972652	61	6
sample_host	Alouatta palliata	gxi	37	8396	2832090	0.011941180564463139	76	6
sample_host	Alouatta palliata	gxi	38	100135	3459507	0.011939716525375843	76	6
sample_host	Alouatta palliata	gxi	39	30444	3000178	0.011905595660209656	72	6
sample_host	Alouatta palliata	gxi	40	93050	3437233	0.011874022893607616	61	6
sample_host	Alouatta palliata	gxi	41	26445	2929692	0.011862228624522686	73	6
sample_host	Alouatta palliata	gxi	42	63759	3321889	0.011786346323788166	148	6
sample_host	Alouatta palliata	gxi	43	56193	3256075	0.01174786314368248	81	6
sample_host	Alouatta palliata	gxi	44	63520	3321621	0.011733400635421276	110	6
sample_host	Alouatta palliata	gxi	45	96366	3448349	0.011661801487207413	76	6
sample_host	Alouatta palliata	gxi	46	13972	2867396	0.011636904440820217	113	6
sample_host	Alouatta palliata	gxi	47	61996	3317964	0.011630676686763763	65	6
sample_host	Alouatta palliata	gxi	48	100462	3459851	0.011500787921249866	100	6
sample_host	Alouatta palliata	gxi	49	62257	3319207	0.011431045830249786	62	6
sample_host	Alouatta palliata	gxi	50	43883	3134995	0.011389341205358505	61	6
sample_host	Ambrosia artemisiifolia	ig	1	42335	3129605	0.41287291049957275	61	11
sample_host	Ambrosia artemisiifolia	ig	2	34204	3029524	0.4029543101787567	69	11
sample_host	Ambrosia artemisiifolia	ig	3	11865	2861267	0.3687911331653595	63	11
sample_host	Ambrosia artemisiifolia	ig	4	108442	3487845	0.3645491302013397	77	11
sample_host	Ambrosia artemisiifolia	ig	5	26854	2930164	0.30083024501800537	93	11
sample_host	Ambrosia artemisiifolia	ig	6	96528	3448848	0.2891722321510315	81	11
sample_host	Ambrosia artemisiifolia	ig	7	82016	3400980	0.27780357003211975	61	11
sample_host	Ambrosia artemisiifolia	ig	8	44051	3135445	0.24435783922672272	61	11
sample_host	Ambrosia artemisiifolia	ig	9	94	2806278	0.23850756883621216	64	11
