model,split,task,accuracy,balanced_accuracy,f1_macro_seen
DIANA,test,sample_type,0.9445506692160612,0.7019171304885591,0.7309527610735636
DIANA,test,community_type,0.6367112810707457,0.7352948422561828,0.6307309178895767
DIANA,test,sample_host,0.8776290630975143,0.8456162559258857,0.7669141993897052
DIANA,test,material,0.5583173996175909,0.51473697421045,0.44373351758946555
MajorityClass,test,sample_type,0.9369024856596558,0.5,0.4837117472852912
MajorityClass,test,community_type,0.655831739961759,0.25,0.19803695150115475
MajorityClass,test,sample_host,0.5774378585086042,0.2,0.14642424242424243
MajorityClass,test,material,0.33078393881453155,0.125,0.062140804597701146
MajorityClass,val,sample_type,0.775,0.5,0.43661971830985913
MajorityClass,val,community_type,0.6666666666666666,0.25,0.2
MajorityClass,val,sample_host,0.8277777777777777,0.5,0.45288753799392095
MajorityClass,val,material,0.4388888888888889,0.1111111111111111,0.06778206778206779
LogisticRegression,test,sample_type,0.9445506692160612,0.6312615955473098,0.6769748471876131
LogisticRegression,test,community_type,0.655831739961759,0.7928581921129062,0.6775073074322567
LogisticRegression,test,sample_host,0.8891013384321224,0.8365359533890638,0.8779784230408737
LogisticRegression,test,material,0.7954110898661568,0.6714059508612463,0.6791600963095548
LogisticRegression,val,sample_type,0.8,0.6037435284747112,0.6193609022556391
LogisticRegression,val,community_type,0.6583333333333333,0.5497535842293907,0.5429125138427464
LogisticRegression,val,sample_host,0.625,0.5946633470448148,0.6859656009135027
LogisticRegression,val,material,0.425,0.2193007058668513,0.24744852643870377
LogisticRegression_Bal,test,sample_type,0.9464627151051626,0.6322820037105752,0.6816521739130434
LogisticRegression_Bal,test,community_type,0.6443594646271511,0.8163940273403696,0.6764409297867242
LogisticRegression_Bal,test,sample_host,0.875717017208413,0.835909021821735,0.8247988713651265
LogisticRegression_Bal,test,material,0.7820267686424475,0.6321504087155309,0.6224420153353301
LogisticRegression_Bal,val,sample_type,0.7972222222222223,0.5975706889685384,0.611236852616163
LogisticRegression_Bal,val,community_type,0.6527777777777778,0.5454525089605735,0.5356146959595236
LogisticRegression_Bal,val,sample_host,0.5638888888888889,0.5449772678068846,0.6583091180397392
LogisticRegression_Bal,val,material,0.425,0.2231302096963551,0.2499264095965745
LinearSVM,test,sample_type,0.9330783938814532,0.6110080395794681,0.6392748053995467
LinearSVM,test,community_type,0.6290630975143403,0.7714622377473043,0.6507574315799824
LinearSVM,test,sample_host,0.8623326959847036,0.8190544638656678,0.7961782894568528
LinearSVM,test,material,0.6921606118546845,0.5510800149878091,0.5621432469305568
LinearSVM,val,sample_type,0.7194444444444444,0.5254878534448426,0.5230787392279542
LinearSVM,val,community_type,0.625,0.5276097670250895,0.503535884476176
LinearSVM,val,sample_host,0.6666666666666666,0.670924442520026,0.7096087223863585
LinearSVM,val,material,0.35,0.17972103551651825,0.1764455850445156
LinearSVM_Bal,test,sample_type,0.9407265774378585,0.5868274582560297,0.6240812446381785
