model,split,task,accuracy,balanced_accuracy,f1_macro_seen,f1_weighted,n_classes_seen,f1_macro_eligible,n_classes_eligible,f1_macro_eligible_ci_low,f1_macro_eligible_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,ci_resampling_unit,n_groups,fit_predict_s
MajorityClass,test,community_type,0.5773353751914242,0.2,0.14640776699029126,0.42263191543139206,5,0.14640776699029126,5,0.11062493844183986,0.17795746268656715,0.2,0.3333333333333333,group,25,0.7
MajorityClass,train,community_type,0.8205499276410999,0.2,0.18028616852146265,0.7396690126748865,5,0.18028616852146265,5,0.16312905423524893,0.19147895331954207,0.2,0.25,group,41,
LogisticRegression_Bal,test,community_type,0.7304747320061256,0.5668166780913778,0.5802198726405216,0.7298763217175496,5,0.5802198726405216,5,0.31214834221408416,0.6555433083508241,0.37559941611745273,0.7546112583835624,group,25,14.8
LogisticRegression_Bal,train,community_type,0.9401833092137,0.9832651915985249,0.8926241458304924,0.9451493939836253,5,0.8926241458304924,5,0.6361275010608508,0.978720198127352,0.9682142021154198,0.9937454268292683,group,41,
LinearSVM_Bal,test,community_type,0.7166921898928025,0.544249396477215,0.5626282156470349,0.7046438889953378,5,0.5626282156470349,5,0.3071431208743921,0.6414178704234469,0.367045073653076,0.7299345783546932,group,25,6.9
LinearSVM_Bal,train,community_type,0.9744331886155331,0.9916132221687777,0.9605128276833834,0.9754536437414211,5,0.9605128276833834,5,0.7089828913040632,0.9844964671386082,0.9834040789681033,0.9965190832173211,group,41,
RandomForest,test,community_type,0.6707503828483921,0.4735835841802521,0.4890086032950551,0.6194463339122461,5,0.4890086032950551,5,0.2234192510171177,0.5740114580825001,0.2911794675613956,0.6378011725544869,group,25,3.7
RandomForest,train,community_type,0.9758803666184274,0.9026792051454564,0.9411130069041391,0.9751375314268809,5,0.9411130069041391,5,0.7073266792791933,0.9666974468857408,0.8284186547908889,0.9578536229079897,group,41,
RandomForest_Bal,test,community_type,0.7243491577335375,0.5521607605877269,0.5557032201310276,0.7175723797675956,5,0.5557032201310276,5,0.26060419130897855,0.641268331919249,0.3214942878161595,0.7352783271935609,group,25,3.8
RandomForest_Bal,train,community_type,0.9411480945489629,0.9835003473892364,0.9346611328031071,0.9461702629129285,5,0.9346611328031071,5,0.6817994884255435,0.9786449796379106,0.966577082420227,0.9943682501391724,group,41,
kNN,test,community_type,0.6309341500765697,0.5035890978452002,0.5125260532340178,0.6205301760194766,5,0.5125260532340178,5,0.24951141292504356,0.5767065338194827,0.32170253288765766,0.6607452677797504,group,25,5.3
kNN,train,community_type,1.0,1.0,1.0,1.0,5,1.0,5,0.8,1.0,1.0,1.0,group,41,
MajorityClass,test,feature,0.2661596958174905,0.16666666666666666,0.07007007007007007,0.11189897121456056,6,0.07007007007007007,6,0.0,0.1350800033509257,0.0,0.3333333333333333,group,9,0.5
MajorityClass,train,feature,0.3536184210526316,0.1,0.052247873633049814,0.18475810577476498,10,0.06530984204131227,8,0.027213097091697714,0.0950960813622403,0.1,0.16666666666666666,group,28,
LogisticRegression_Bal,test,feature,0.5627376425855514,0.37566137566137564,0.33139854817937003,0.5077223573343163,6,0.33139854817937003,6,0.06923130044094043,0.4701672550641317,0.07909823540354514,0.6859885620915033,group,9,7.4
LogisticRegression_Bal,train,feature,0.9983552631578947,0.9995348837209302,0.9994883482348664,0.9983556369350242,10,0.999360435293583,8,0.6235597593363249,1.0,0.9969249171187462,1.0,group,28,
LinearSVM_Bal,test,feature,0.5741444866920152,0.39159108087679523,0.35805189425879086,0.5252943085249365,6,0.35805189425879086,6,0.09652666592932473,0.4910714080393914,0.11508881858477182,0.6973790851892089,group,9,0.8
LinearSVM_Bal,train,feature,0.9967105263157895,0.9990697674418605,0.9975592434941032,0.9967190697972615,10,0.9990676984354255,8,0.6229278231246039,1.0,0.9938498342374925,1.0,group,28,
RandomForest,test,feature,0.5627376425855514,0.49087301587301585,0.4701572285637042,0.497462255224388,6,0.4701572285637042,6,0.1358139831012203,0.5827258303196605,0.2910615622024017,0.7064967668722162,group,9,3.1
RandomForest,train,feature,0.9851973684210527,0.8893871445314911,0.8921549452164056,0.9835933544643527,10,0.8673866639766474,8,0.49754361136546,0.868694861599844,0.8409590650554026,0.994967889377459,group,28,
RandomForest_Bal,test,feature,0.4600760456273764,0.44047619047619047,0.3494972586458094,0.41997891338898113,6,0.3494972586458094,6,0.10786125029825817,0.49002232983287375,0.26275735294117647,0.7091620626151011,group,9,3.5
