target,model,f1_full,run_ci_low,run_ci_high,proj_ci_low,proj_ci_high,run_width,proj_width
community_type,MajorityClass,0.14640776699029126,0.1400995024875622,0.1519468186134853,0.11763292502355634,0.2637681504284833,0.011847316125923102,0.14613522540492696
community_type,LogisticRegression_Bal,0.5465165172163388,0.5099349157420994,0.5817351290321962,0.3620742541617415,0.7250574340705322,0.07180021329009678,0.36298317990879075
community_type,LinearSVM_Bal,0.5326922252244619,0.4909377731521424,0.5684159061296407,0.36150630471130407,0.7241408125883932,0.07747813297749828,0.3626345078770892
community_type,RandomForest,0.4806026954309955,0.44270394558967535,0.5150377748735895,0.26506333274688165,0.6246967471436309,0.07233382928391413,0.35963341439674923
community_type,RandomForest_Bal,0.49813036596687643,0.459620376012041,0.5312201775321672,0.25993432852972315,0.6420051420696513,0.07159980152012624,0.38207081353992817
community_type,kNN_5,0.4730424419614055,0.4409516543366746,0.5050259435479664,0.268069195592605,0.6172899160114221,0.06407428921129177,0.34922072041881713
feature,MajorityClass,0.07007007007007007,0.05851619644723093,0.0810727831329292,0.0,0.20833259587020642,0.022556586685698272,0.20833259587020642
feature,LogisticRegression_Bal,0.38430512732671,0.3242032668355071,0.4327423823632001,0.16789186286921903,0.7983086971597417,0.10853911552769302,0.6304168342905228
feature,LinearSVM_Bal,0.343984962406015,0.29155093863164694,0.39549600556119263,0.13647403242987335,0.6882034350590847,0.10394506692954569,0.5517294026292113
feature,RandomForest,0.38077850933512547,0.300468242950683,0.460612069821906,0.22466255286301307,0.621798307218144,0.16014382687122303,0.39713575435513093
feature,RandomForest_Bal,0.38794475964287284,0.30628082262264317,0.4574632187177113,0.22358296943256878,0.6271806371268865,0.15118239609506812,0.40359766769431776
feature,kNN_5,0.3219887067910511,0.24508341368198935,0.37943831171764275,0.16127355304270197,0.6162528234905118,0.1343548980356534,0.45497927044780984
sample_host,MajorityClass,0.15327257663628832,0.1505466778805719,0.15591836734693879,0.12854849389826592,0.3301060532901609,0.005371689466366875,0.20155755939189499
sample_host,LogisticRegression_Bal,0.6290615567302003,0.5402814583225949,0.7027301017419183,0.4605063399268285,0.8100066294810668,0.1624486434193234,0.34950028955423834
sample_host,LinearSVM_Bal,0.579685561979808,0.5125262440926698,0.6404090114509842,0.3996965361775295,0.9349384317192665,0.1278827673583144,0.5352418955417371
sample_host,RandomForest,0.3861609934780666,0.33798926705102766,0.42542425633909564,0.23805116193162737,0.6039052735238474,0.08743498928806798,0.36585411159222003
sample_host,RandomForest_Bal,0.37385822510822514,0.3153988813320141,0.4106295841283888,0.23557432570078227,0.599650333563377,0.09523070279637469,0.36407600786259475
sample_host,kNN_5,0.5696638064255581,0.48474321559158057,0.6500327870781394,0.4183661244745349,0.7713717245268217,0.16528957148655882,0.35300560005228676
material,MajorityClass,0.027762865250402637,0.02506658311138963,0.03392022585047822,0.009687280808617775,0.07716403837694939,0.00885364273908859,0.06747675756833162
material,LogisticRegression_Bal,0.48027870134123357,0.45270828703576566,0.5600469847255939,0.35971632124872865,0.6762773123470373,0.10733869768982823,0.3165609910983086
material,LinearSVM_Bal,0.4437553969545661,0.4133300060527776,0.5236132157519569,0.33248169772822006,0.6283644924188836,0.11028320969917926,0.29588279469066353
material,RandomForest,0.3841740124734861,0.35875908308615323,0.4457269089044871,0.2889923291775942,0.5730886642275095,0.08696782581833384,0.28409633504991527
material,RandomForest_Bal,0.3733673668452529,0.3472256160935924,0.44062969787419376,0.24494004683308382,0.5469373004349877,0.09340408178060133,0.3019972536019039
material,kNN_5,0.40150005618451157,0.3699726962356898,0.47423137866986975,0.29289715119212467,0.5722478579175909,0.10425868243417996,0.27935070672546625
