target,model,dropped_project,n_dropped,f1_without,f1_full
community_type,MajorityClass,PRJEB11511,17,0.14886475814412636,0.14640776699029126
community_type,MajorityClass,PRJEB30280,9,0.14545454545454545,0.14640776699029126
community_type,MajorityClass,PRJEB30331,76,0.13712984054669702,0.14640776699029126
community_type,MajorityClass,PRJEB31971,6,0.147265625,0.14640776699029126
community_type,MajorityClass,PRJEB34825,38,0.1900201612903226,0.14640776699029126
community_type,MajorityClass,PRJEB41240,238,0.15872093023255812,0.14640776699029126
community_type,MajorityClass,PRJEB41665,14,0.1484251968503937,0.14640776699029126
community_type,MajorityClass,PRJEB44723,8,0.14730656219392751,0.14640776699029126
community_type,MajorityClass,PRJEB55789,2,0.14619883040935672,0.14640776699029126
community_type,MajorityClass,PRJEB56776,15,0.1463220675944334,0.14640776699029126
community_type,MajorityClass,PRJEB58818,2,0.14619883040935672,0.14640776699029126
community_type,MajorityClass,PRJEB67998,19,0.14915924826904053,0.14640776699029126
community_type,MajorityClass,PRJEB78615,13,0.14827925270403147,0.14640776699029126
community_type,MajorityClass,PRJNA1056444,39,0.14201680672268907,0.14640776699029126
community_type,MajorityClass,PRJNA302605,5,0.1471219512195122,0.14640776699029126
community_type,MajorityClass,PRJNA531027,19,0.1443548387096774,0.14640776699029126
community_type,MajorityClass,PRJNA557308,1,0.14630350194552527,0.14640776699029126
community_type,MajorityClass,PRJNA608555,15,0.14479999999999998,0.14640776699029126
community_type,MajorityClass,PRJNA640385,8,0.14755381604696674,0.14640776699029126
community_type,MajorityClass,PRJNA657304,9,0.14769833496571988,0.14640776699029126
community_type,MajorityClass,PRJNA660212,3,0.14609375,0.14640776699029126
community_type,MajorityClass,PRJNA685265,20,0.14424242424242423,0.14640776699029126
community_type,MajorityClass,PRJNA704183,4,0.14598825831702544,0.14640776699029126
community_type,MajorityClass,PRJNA739881,3,0.14609375,0.14640776699029126
community_type,MajorityClass,PRJNA994900,70,0.13797752808988764,0.14640776699029126
community_type,LogisticRegression_Bal,PRJEB11511,17,0.5518221318835353,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB30280,9,0.5457113642372728,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB30331,76,0.5396987429439167,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB31971,6,0.5253181405154556,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB34825,38,0.4426393174064994,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB41240,238,0.5152633727508595,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB41665,14,0.576101568334578,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB44723,8,0.5481308711296231,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB55789,2,0.5463406342840186,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB56776,15,0.5445268123531506,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB58818,2,0.5463406342840186,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB67998,19,0.5540108346012627,0.5465165172163388
community_type,LogisticRegression_Bal,PRJEB78615,13,0.5557996118158106,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA1056444,39,0.5430679751757745,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA302605,5,0.5466609946009231,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA531027,19,0.544773717730006,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA557308,1,0.5464287886835109,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA608555,15,0.5451544163119038,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA640385,8,0.534200127763001,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA657304,9,0.5572806252473358,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA660212,3,0.5462520509093463,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA685265,20,0.5464954405532848,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA704183,4,0.5467543075118902,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA739881,3,0.5462520509093463,0.5465165172163388
community_type,LogisticRegression_Bal,PRJNA994900,70,0.5398004175161507,0.5465165172163388
community_type,LinearSVM_Bal,PRJEB11511,17,0.544790832696715,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB30280,9,0.5319151605939056,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB30331,76,0.5255533798563882,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB31971,6,0.5127506128283243,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB34825,38,0.41911203477733056,0.5326922252244619
community_type,LinearSVM_Bal,PRJEB41240,238,0.5405023740966337,0.5326922252244619
