target,model,route,n,accuracy,f1_macro_eligible
community_type,MajorityClass,unitig,567,0.5396825396825397,0.1402061855670103
community_type,MajorityClass,raw_reads,86,0.8255813953488372,0.30148619957537154
community_type,LogisticRegression_Bal,unitig,567,0.6984126984126984,0.5501755100470846
community_type,LogisticRegression_Bal,raw_reads,86,0.8372093023255814,0.39153439153439146
community_type,LinearSVM_Bal,unitig,567,0.6931216931216931,0.5323904382940301
community_type,LinearSVM_Bal,raw_reads,86,0.8255813953488372,0.4063063063063063
community_type,RandomForest,unitig,567,0.63668430335097,0.47923945377794147
community_type,RandomForest,raw_reads,86,0.8255813953488372,0.30148619957537154
community_type,RandomForest_Bal,unitig,567,0.6596119929453262,0.4978690042795743
community_type,RandomForest_Bal,raw_reads,86,0.8255813953488372,0.30148619957537154
community_type,kNN_5,unitig,567,0.6472663139329806,0.4941334520458075
community_type,kNN_5,raw_reads,86,0.47674418604651164,0.3055555555555555
feature,MajorityClass,unitig,256,0.2734375,0.07157464212678936
feature,MajorityClass,raw_reads,7,0.0,0.0
feature,LogisticRegression_Bal,unitig,256,0.55078125,0.37966355026577814
feature,LogisticRegression_Bal,raw_reads,7,1.0,1.0
feature,LinearSVM_Bal,unitig,256,0.5546875,0.33940620782726044
feature,LinearSVM_Bal,raw_reads,7,1.0,1.0
feature,RandomForest,unitig,256,0.39453125,0.37587776457627636
feature,RandomForest,raw_reads,7,1.0,1.0
feature,RandomForest_Bal,unitig,256,0.39453125,0.3830562876812302
feature,RandomForest_Bal,raw_reads,7,1.0,1.0
feature,kNN_5,unitig,256,0.46484375,0.31710735544884877
feature,kNN_5,raw_reads,7,1.0,1.0
sample_host,MajorityClass,unitig,566,0.8533568904593639,0.18417540514775976
sample_host,MajorityClass,raw_reads,86,0.8372093023255814,0.3037974683544304
sample_host,LogisticRegression_Bal,unitig,566,0.9028268551236749,0.6451809357072514
sample_host,LogisticRegression_Bal,raw_reads,86,0.872093023255814,0.5114607614607615
sample_host,LinearSVM_Bal,unitig,566,0.9204946996466431,0.6323958879514435
sample_host,LinearSVM_Bal,raw_reads,86,0.8488372093023255,0.4201618837380427
sample_host,RandomForest,unitig,566,0.8939929328621908,0.4641687344913151
sample_host,RandomForest,raw_reads,86,0.8372093023255814,0.3076923076923077
sample_host,RandomForest_Bal,unitig,566,0.8992932862190812,0.4496823647294589
sample_host,RandomForest_Bal,raw_reads,86,0.8372093023255814,0.3057324840764331
sample_host,kNN_5,unitig,566,0.8551236749116607,0.6363244991912405
sample_host,kNN_5,raw_reads,86,0.4186046511627907,0.30419753086419754
material,MajorityClass,unitig,803,0.22415940224159403,0.028171218405196024
material,MajorityClass,raw_reads,19,0.05263157894736842,0.02
material,LogisticRegression_Bal,unitig,803,0.7023661270236613,0.4864417721488765
material,LogisticRegression_Bal,raw_reads,19,0.42105263157894735,0.2666666666666667
material,LinearSVM_Bal,unitig,803,0.6425902864259029,0.4486813016030363
material,LinearSVM_Bal,raw_reads,19,0.47368421052631576,0.32303030303030306
material,RandomForest,unitig,803,0.5554171855541719,0.39188948813333985
material,RandomForest,raw_reads,19,0.47368421052631576,0.33333333333333337
material,RandomForest_Bal,unitig,803,0.5417185554171855,0.375709153573705
material,RandomForest_Bal,raw_reads,19,0.42105263157894735,0.26666666666666666
material,kNN_5,unitig,803,0.5504358655043586,0.4053374076944396
material,kNN_5,raw_reads,19,0.47368421052631576,0.4866666666666667
