task	model	params	mean_f1_eligible	n_folds
community_type	LogisticRegression_Bal	"{""C"": 0.01}"	0.5046684468818181	5
community_type	LogisticRegression_Bal	"{""C"": 0.1}"	0.5248788694367089	5
community_type	LogisticRegression_Bal	"{""C"": 1.0}"	0.5081169779892625	5
community_type	LogisticRegression_Bal	"{""C"": 10.0}"	0.5248343423928759	5
community_type	LinearSVM_Bal	"{""C"": 0.001}"	0.5010265370251493	5
community_type	LinearSVM_Bal	"{""C"": 0.01}"	0.5188509248407916	5
community_type	LinearSVM_Bal	"{""C"": 0.1}"	0.5003237759894594	5
community_type	LinearSVM_Bal	"{""C"": 1.0}"	0.4739100948030662	5
community_type	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.5177750527676946	5
community_type	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.568746849009389	5
community_type	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.5324559097819573	5
community_type	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.523388427200605	5
community_type	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.5233263584961039	5
community_type	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.5763846672557078	5
community_type	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.5313779708038163	5
community_type	RandomForest_Bal	"{""n_estimators"": 800, ""max_features"": 0.05, ""min_samples_leaf"": 3}"	0.5226894464871042	5
community_type	kNN	"{""n_neighbors"": 1, ""weights"": ""uniform""}"	0.49538828979715355	5
community_type	kNN	"{""n_neighbors"": 1, ""weights"": ""distance""}"	0.49538828979715355	5
community_type	kNN	"{""n_neighbors"": 3, ""weights"": ""uniform""}"	0.4754654452170701	5
community_type	kNN	"{""n_neighbors"": 3, ""weights"": ""distance""}"	0.47616475745918363	5
community_type	kNN	"{""n_neighbors"": 5, ""weights"": ""uniform""}"	0.465146501874888	5
community_type	kNN	"{""n_neighbors"": 5, ""weights"": ""distance""}"	0.4655459481954212	5
community_type	kNN	"{""n_neighbors"": 10, ""weights"": ""uniform""}"	0.4275144255589236	5
community_type	kNN	"{""n_neighbors"": 10, ""weights"": ""distance""}"	0.4404827280128701	5
community_type	kNN	"{""n_neighbors"": 20, ""weights"": ""uniform""}"	0.43961312328181085	5
community_type	kNN	"{""n_neighbors"": 20, ""weights"": ""distance""}"	0.4407143932864804	5
feature	LogisticRegression_Bal	"{""C"": 0.01}"	0.3868379055750942	5
feature	LogisticRegression_Bal	"{""C"": 0.1}"	0.4273296827558208	5
feature	LogisticRegression_Bal	"{""C"": 1.0}"	0.4276504862546995	5
feature	LogisticRegression_Bal	"{""C"": 10.0}"	0.45992297099118495	5
feature	LinearSVM_Bal	"{""C"": 0.001}"	0.41633336486727934	5
feature	LinearSVM_Bal	"{""C"": 0.01}"	0.4335180789707658	5
feature	LinearSVM_Bal	"{""C"": 0.1}"	0.4589827537615177	5
feature	LinearSVM_Bal	"{""C"": 1.0}"	0.4393359589493695	5
feature	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"	0.43350247132026787	5
feature	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"	0.43077198581819875	5
feature	RandomForest_Bal	"{""n_estimators"": 300, ""max_features"": 0.05, ""min_samples_leaf"": 1}"	0.4514366999179259	5
