task	regime	n_classes	n_runs	delta	ci_low	ci_high	frac_positive	verdict
community_type	whole-task	5	653	-0.018332467728829238	-0.1083118317920336	0.0546140564025301	0.342	tie
community_type	medium-shot	3	98	-0.013792005096352922	-0.13295382154077806	0.07993032054974694	0.4195	tie
community_type	many-shot	2	555	-0.025143161677543824	-0.09099904185626886	0.0469371003390942	0.2195	tie
feature	whole-task	6	263	-0.2869707178899865	-0.38399481242790956	-0.06920300088914073	0.0	WORSE
feature	few-shot	2	20	-0.12280701754385964	-0.1557894736842105	0.0	0.0	tie
feature	medium-shot	2	110	-0.43227513227513226	-0.6835859933810186	-0.12975512785759463	0.0	WORSE
feature	many-shot	2	133	-0.30583000385096754	-0.4177308527694625	0.011916756905412593	0.133	tie
sample_host	whole-task	6	652	0.07308648921204242	0.006427640477135966	0.10128295027801433	0.9795	BETTER
sample_host	few-shot	5	97	0.08760138050043142	0.011111111111111127	0.11927052250393866	0.9795	BETTER
sample_host	many-shot	1	555	0.0005120327700972593	-0.013299668972778256	0.024656520263028562	0.4935	tie
material	whole-task	13	822	-0.06506384907318091	-0.10073813486573172	0.029653968170070717	0.136	tie
material	few-shot	4	38	0.0	0.0	0.0	0.0	tie
material	medium-shot	3	73	0.036058109417557715	-0.1278635304486698	0.2279086520832947	0.523	tie
material	many-shot	6	711	-0.15900072770067097	-0.18652868536813513	0.020842380265691608	0.0515	tie
