task	stratum	n_classes_diana	n_runs_diana	f1_diana	n_classes_dna_max	n_runs_dna_max	f1_dna_max	delta
community_type	few-shot (<20)	0	0		0	0		
community_type	medium-shot (20-100)	3	98	0.47826086956521735	3	98	0.46446886446886443	-0.013792005096352922
community_type	many-shot (>100)	2	555	0.7033960352407622	2	555	0.6782528735632184	-0.025143161677543824
feature	few-shot (<20)	2	20	0.3333333333333333	2	20	0.21052631578947367	-0.12280701754385964
feature	medium-shot (20-100)	2	110	0.4741000877963125	2	110	0.018518518518518517	-0.45558156927779403
feature	many-shot (>100)	2	133	0.8276167947959787	2	133	0.5104166666666667	-0.317200128129312
sample_host	few-shot (<20)	5	97	0.46770563704342816	5	97	0.5604279279279278	0.09272229088449968
sample_host	medium-shot (20-100)	0	0		0	0		
sample_host	many-shot (>100)	1	555	0.9685863874345549	1	555	0.9682539682539683	-0.00033241918058668496
material	few-shot (<20)	4	38	0.0	4	38	0.0	0.0
material	medium-shot (20-100)	3	73	0.6245791245791246	3	73	0.6353874883286648	0.010808363749540195
material	many-shot (>100)	6	711	0.6800197460456037	6	711	0.5224208697535244	-0.15759887629207925
