task	regime	n_classes	n_runs	delta	ci_low	ci_high	frac_positive	verdict
community_type	whole-task	5	653	-0.001251930139886226	-0.07773628290479727	0.06117589286429321	0.5055	tie
community_type	medium-shot	3	98	0.03215875304193899	-0.023586293948369284	0.10909413281753698	0.8995	tie
community_type	many-shot	2	555	-0.051367954912624136	-0.2298079687433511	0.017578050783804134	0.072	tie
feature	whole-task	6	263	-0.08154416710315804	-0.12423582961089587	-0.008311094499334853	0.0035	WORSE
feature	few-shot	2	20	-0.16363636363636364	-0.1678321678321678	0.0	0.0	tie
feature	medium-shot	2	110	-0.0013484358144552344	-0.17859432234432235	0.00033626649496600833	0.045	tie
feature	many-shot	2	133	-0.07964770185865522	-0.09027350019099012	0.0024171166428203507	0.0335	tie
sample_host	whole-task	6	652	-0.14804994094043328	-0.18008205853210082	0.055552612435136144	0.162	tie
sample_host	few-shot	5	97	-0.17647575684078226	-0.21256598240469204	0.06642857142857145	0.156	tie
sample_host	many-shot	1	555	-0.005920861438688307	-0.03119562676872089	0.004549201664203715	0.1575	tie
material	whole-task	13	822	-0.00027600145730638515	-0.03325636779662754	0.04157557464662703	0.627	tie
material	few-shot	4	38	0.0	0.0	0.0	0.0	tie
material	medium-shot	3	73	0.008349967553003657	-0.13675925925925925	0.15916708182837197	0.577	tie
material	many-shot	6	711	-0.004772986933998968	-0.030688905193440603	0.046668822559520325	0.584	tie
