task,tau,accuracy_all,accuracy_real,f1_macro_seen,f1_macro_seen_real,n_real,tau_selected_on
community_type,0.0,0.7613636363636364,0.7613636363636364,0.34509483526521534,0.34509483526521534,352,NONE - diagnostic sweep on test
community_type,0.25,0.8352272727272727,0.8352272727272727,0.4320003007888018,0.4320003007888018,352,NONE - diagnostic sweep on test
community_type,0.5,0.84375,0.84375,0.434111198870577,0.434111198870577,352,NONE - diagnostic sweep on test
community_type,0.75,0.8579545454545454,0.8579545454545454,0.4602976554113988,0.4602976554113988,352,NONE - diagnostic sweep on test
community_type,1.0,0.8579545454545454,0.8579545454545454,0.36478608589792316,0.36478608589792316,352,NONE - diagnostic sweep on test
community_type,1.25,0.8607954545454546,0.8607954545454546,0.3657117862438721,0.3657117862438721,352,NONE - diagnostic sweep on test
community_type,1.5,0.8636363636363636,0.8636363636363636,0.3660026536930562,0.3660026536930562,352,NONE - diagnostic sweep on test
community_type,2.0,0.8636363636363636,0.8636363636363636,0.30827496630763757,0.30827496630763757,352,NONE - diagnostic sweep on test
sample_host,0.0,0.4034090909090909,0.1732283464566929,0.6735690282921233,0.5227913533834586,254,NONE - diagnostic sweep on test
sample_host,0.25,0.6875,0.5669291338582677,0.8325504927934851,0.7612635501355014,254,NONE - diagnostic sweep on test
sample_host,0.5,0.9176136363636364,0.8858267716535433,0.8926789269852781,0.856259769788262,254,NONE - diagnostic sweep on test
sample_host,0.75,0.9289772727272727,0.9015748031496063,0.9061932395131649,0.8788977024070022,254,NONE - diagnostic sweep on test
sample_host,1.0,0.9318181818181818,0.905511811023622,0.877613864021631,0.8406926406926407,254,NONE - diagnostic sweep on test
sample_host,1.25,0.9431818181818182,0.9212598425196851,0.8790915939264513,0.8452074391988555,254,NONE - diagnostic sweep on test
sample_host,1.5,0.9431818181818182,0.9212598425196851,0.852133837447797,0.8001519756838906,254,NONE - diagnostic sweep on test
sample_host,2.0,0.9460227272727273,0.9251968503937008,0.8229195227215028,0.7492307692307691,254,NONE - diagnostic sweep on test
material,0.0,0.7301136363636364,0.7301136363636364,0.37684873284651726,0.37684873284651726,352,NONE - diagnostic sweep on test
material,0.25,0.8096590909090909,0.8096590909090909,0.3139676437760236,0.3139676437760236,352,NONE - diagnostic sweep on test
material,0.5,0.8409090909090909,0.8409090909090909,0.3497623772416861,0.3497623772416861,352,NONE - diagnostic sweep on test
material,0.75,0.84375,0.84375,0.35006541305445843,0.35006541305445843,352,NONE - diagnostic sweep on test
material,1.0,0.8551136363636364,0.8551136363636364,0.4314659502442643,0.4314659502442643,352,NONE - diagnostic sweep on test
material,1.25,0.8607954545454546,0.8607954545454546,0.36132434014463033,0.36132434014463033,352,NONE - diagnostic sweep on test
material,1.5,0.8664772727272727,0.8664772727272727,0.3691330898865262,0.3691330898865262,352,NONE - diagnostic sweep on test
material,2.0,0.8636363636363636,0.8636363636363636,0.32423914430730827,0.32423914430730827,352,NONE - diagnostic sweep on test
