task,n_scored,n_planted,AUC,AP,false_flag_rate_pct,TPR,caught_of_planted,precision_at_real_prevalence,records_reviewed_per_error,exhaustive_review_per_error
sample_host,632,44,0.958,0.635,1,0.068,3/44,0.089,11.3,70.8
sample_host,632,44,0.958,0.635,5,0.955,42/44,0.215,4.7,70.8
sample_host,632,44,0.958,0.635,10,0.955,42/44,0.12,8.3,70.8
material,823,70,0.849,0.331,1,0.129,9/70,0.156,6.4,70.8
material,823,70,0.849,0.331,5,0.286,20/70,0.076,13.2,70.8
material,823,70,0.849,0.331,10,0.414,29/70,0.056,17.9,70.8
feature,255,13,0.845,0.539,1,0.385,5/13,0.355,2.8,70.8
feature,255,13,0.845,0.539,5,0.538,7/13,0.133,7.5,70.8
feature,255,13,0.845,0.539,10,0.538,7/13,0.071,14.0,70.8
community_type,653,65,0.813,0.341,1,0.046,3/65,0.062,16.2,70.8
community_type,653,65,0.813,0.341,5,0.185,12/65,0.05,19.9,70.8
community_type,653,65,0.813,0.341,10,0.615,40/65,0.081,12.4,70.8
