task,project,n,tvd,accuracy
community_type,PRJEB11511,17,0.945,0.118
community_type,PRJEB30280,9,0.179,0.778
community_type,PRJEB30331,76,0.179,0.987
community_type,PRJEB31971,6,0.958,0.833
community_type,PRJEB34825,38,0.979,1.0
community_type,PRJEB41240,238,0.46,0.66
community_type,PRJEB41665,14,0.958,0.071
community_type,PRJEB44723,8,0.759,0.25
community_type,PRJEB56776,15,0.297,0.667
community_type,PRJEB67998,19,0.897,0.105
community_type,PRJEB78615,13,0.897,0.231
community_type,PRJNA1056444,39,0.179,1.0
community_type,PRJNA302605,5,0.897,0.2
community_type,PRJNA531027,19,0.179,1.0
community_type,PRJNA608555,15,0.179,1.0
community_type,PRJNA640385,8,0.958,0.625
community_type,PRJNA657304,9,0.958,0.222
community_type,PRJNA685265,20,0.179,0.9
community_type,PRJNA994900,70,0.179,0.986
feature,PRJEB18629,83,0.944,0.217
feature,PRJEB41665,14,0.944,0.929
feature,PRJEB47746,9,0.984,0.667
feature,PRJEB59830,11,0.997,0.0
feature,PRJEB66300,42,0.706,1.0
feature,PRJNA320875,70,0.646,0.9
feature,PRJNA558683,21,0.706,1.0
feature,PRJNA680161,12,0.914,0.333
sample_host,PRJEB11511,17,0.33,1.0
sample_host,PRJEB30280,9,0.33,1.0
sample_host,PRJEB30331,76,0.33,1.0
sample_host,PRJEB31971,6,0.33,1.0
sample_host,PRJEB34825,38,0.995,0.605
sample_host,PRJEB41240,238,0.33,1.0
sample_host,PRJEB41665,14,0.992,0.0
sample_host,PRJEB44723,8,0.33,1.0
sample_host,PRJEB56776,15,0.33,1.0
sample_host,PRJEB67998,19,0.33,1.0
sample_host,PRJEB78615,13,0.992,0.154
sample_host,PRJNA1056444,39,0.33,1.0
sample_host,PRJNA302605,5,0.33,1.0
sample_host,PRJNA531027,19,0.995,0.684
sample_host,PRJNA608555,15,0.33,1.0
sample_host,PRJNA640385,8,0.33,1.0
sample_host,PRJNA657304,9,0.994,0.333
sample_host,PRJNA685265,19,0.322,0.842
sample_host,PRJNA994900,70,0.33,1.0
material,PRJEB11511,17,0.992,0.0
material,PRJEB18629,83,0.96,0.542
material,PRJEB30331,76,0.474,1.0
material,PRJEB31971,5,0.977,1.0
material,PRJEB34825,38,0.984,1.0
material,PRJEB41240,238,0.801,0.508
material,PRJEB41665,14,0.96,0.714
material,PRJEB47746,9,0.973,0.556
material,PRJEB56776,15,0.801,0.6
material,PRJEB59830,11,0.96,0.364
material,PRJEB66300,42,0.946,0.952
material,PRJEB67998,19,0.801,0.053
material,PRJEB78615,9,0.849,0.0
material,PRJNA1056444,39,0.474,0.846
material,PRJNA302605,5,0.801,0.8
material,PRJNA320875,70,0.919,0.786
material,PRJNA531027,19,0.474,1.0
material,PRJNA558683,21,0.946,0.952
material,PRJNA608555,15,0.474,1.0
material,PRJNA657304,9,0.977,0.222
material,PRJNA680161,12,0.973,0.417
material,PRJNA685265,20,0.474,0.95
material,PRJNA794308,20,0.999,0.0
