task,threshold,n_classes,coverage_of_heldout,model,f1
material,0,13,1.0,LinearSVM_Bal,0.487
material,0,13,1.0,LogisticRegression_Bal,0.461
material,0,13,1.0,MajorityClass,0.028
material,0,13,1.0,RandomForest,0.339
material,0,13,1.0,RandomForest_Bal,0.35
material,0,13,1.0,kNN,0.396
material,0,13,1.0,DIANA single,0.458
material,0,13,1.0,DIANA multi,0.47
material,5,11,0.973,LinearSVM_Bal,0.575
material,5,11,0.973,LogisticRegression_Bal,0.545
material,5,11,0.973,MajorityClass,0.033
material,5,11,0.973,RandomForest,0.401
material,5,11,0.973,RandomForest_Bal,0.414
material,5,11,0.973,kNN,0.468
material,5,11,0.973,DIANA single,0.541
material,5,11,0.973,DIANA multi,0.556
material,10,11,0.973,LinearSVM_Bal,0.575
material,10,11,0.973,LogisticRegression_Bal,0.545
material,10,11,0.973,MajorityClass,0.033
material,10,11,0.973,RandomForest,0.401
material,10,11,0.973,RandomForest_Bal,0.414
material,10,11,0.973,kNN,0.468
material,10,11,0.973,DIANA single,0.541
material,10,11,0.973,DIANA multi,0.556
material,20,9,0.954,LinearSVM_Bal,0.703
material,20,9,0.954,LogisticRegression_Bal,0.667
material,20,9,0.954,MajorityClass,0.04
material,20,9,0.954,RandomForest,0.49
material,20,9,0.954,RandomForest_Bal,0.506
material,20,9,0.954,kNN,0.572
material,20,9,0.954,DIANA single,0.662
material,20,9,0.954,DIANA multi,0.679
material,50,8,0.908,LinearSVM_Bal,0.666
material,50,8,0.908,LogisticRegression_Bal,0.625
material,50,8,0.908,MajorityClass,0.045
material,50,8,0.908,RandomForest,0.426
material,50,8,0.908,RandomForest_Bal,0.444
material,50,8,0.908,kNN,0.519
material,50,8,0.908,DIANA single,0.619
material,50,8,0.908,DIANA multi,0.645
feature,0,6,1.0,LinearSVM_Bal,0.358
feature,0,6,1.0,LogisticRegression_Bal,0.331
feature,0,6,1.0,MajorityClass,0.07
feature,0,6,1.0,RandomForest,0.47
feature,0,6,1.0,RandomForest_Bal,0.349
feature,0,6,1.0,kNN,0.308
feature,0,6,1.0,DIANA single,0.545
feature,0,6,1.0,DIANA multi,0.437
feature,5,5,0.958,LinearSVM_Bal,0.43
feature,5,5,0.958,LogisticRegression_Bal,0.398
feature,5,5,0.958,MajorityClass,0.084
feature,5,5,0.958,RandomForest,0.564
