task	stratum	n_classes_diana	n_runs_diana	f1_diana	n_classes_S7	n_runs_S7	f1_S7	delta
community_type	few-shot (<20)	0	0		0	0		
community_type	medium-shot (20-100)	3	98	0.47826086956521735	3	98	0.4647887323943662	-0.013472137170851162
community_type	many-shot (>100)	2	555	0.7033960352407622	2	555	0.5028854690736904	-0.20051056616707186
feature	few-shot (<20)	2	20	0.3333333333333333	2	20	0.1	-0.2333333333333333
feature	medium-shot (20-100)	2	110	0.4741000877963125	2	110	0.0297029702970297	-0.4443971174992828
feature	many-shot (>100)	2	133	0.8276167947959787	2	133	0.5212280701754386	-0.3063887246205401
sample_host	few-shot (<20)	5	97	0.46770563704342816	5	97	0.4538181019868034	-0.013887535056624767
sample_host	medium-shot (20-100)	0	0		0	0		
sample_host	many-shot (>100)	1	555	0.9685863874345549	1	555	0.9634906500445236	-0.00509573739003133
material	few-shot (<20)	4	38	0.0	4	38	0.0	0.0
material	medium-shot (20-100)	3	73	0.6245791245791246	3	73	0.4721902570003836	-0.15238886757874098
material	many-shot (>100)	6	711	0.6800197460456037	6	711	0.49242888666906487	-0.1875908593765388
