task	model_a	model_b	f1_a	f1_b	n_scored	delta	ci_low	ci_high	frac_boot_positive	projects_favouring_a	n_projects
community_type	DIANA multi-task	LinearSVM_Bal	0.5733292700513314	0.5626282156470349	653	0.010701054404296473	-0.021468919326964566	0.055172022417629404	0.6965	9	25
community_type	DIANA multi-task	LogisticRegression_Bal	0.5733292700513314	0.5802198726405216	653	-0.0068906025891901646	-0.03489193771249316	0.041952626411664924	0.398	8	25
community_type	DIANA multi-task	MajorityClass	0.5733292700513314	0.14640776699029126	653	0.42692150306104015	0.1872626340815742	0.5909531317295864	1.0	11	25
community_type	DIANA multi-task	RandomForest	0.5733292700513314	0.4890086032950551	653	0.08432066675627631	0.04854860588772389	0.1692555460126891	1.0	10	25
community_type	DIANA multi-task	RandomForest_Bal	0.5733292700513314	0.5557032201310276	653	0.01762604992030381	-0.011332158804694042	0.10342865624600828	0.9195	10	25
community_type	DIANA multi-task	kNN	0.5733292700513314	0.5125260532340178	653	0.0608032168173136	-0.018255126527466806	0.1702836857474087	0.94	11	25
community_type	DIANA single-task	LinearSVM_Bal	0.5683149358354352	0.5626282156470349	653	0.005686720188400329	-0.05533838199032417	0.03993846829132008	0.4555	6	25
community_type	DIANA single-task	LogisticRegression_Bal	0.5683149358354352	0.5802198726405216	653	-0.011904936805086308	-0.06435544323736764	0.025949772674928793	0.1885	5	25
community_type	DIANA single-task	MajorityClass	0.5683149358354352	0.14640776699029126	653	0.421907168845144	0.15390769476453056	0.5738577908378475	1.0	12	25
community_type	DIANA single-task	RandomForest	0.5683149358354352	0.4890086032950551	653	0.07930633254038016	0.03541804381029328	0.13308906664447648	0.9985	10	25
community_type	DIANA single-task	RandomForest_Bal	0.5683149358354352	0.5557032201310276	653	0.012611715704407667	-0.009173015265883227	0.06310779763554442	0.9075	11	25
community_type	DIANA single-task	kNN	0.5683149358354352	0.5125260532340178	653	0.055788882601417455	-0.05390043818427734	0.1654528029618026	0.8715	11	25
community_type	DIANA multi-task	DIANA single-task	0.5733292700513314	0.5683149358354352	653	0.0050143342158961435	-0.02817863191870183	0.06874995796028543	0.7155	9	25
feature	DIANA multi-task	LinearSVM_Bal	0.4373997817724305	0.35805189425879086	263	0.07934788751363964	-0.047681838734198824	0.2207876925460763	0.865	3	9
feature	DIANA multi-task	LogisticRegression_Bal	0.4373997817724305	0.33139854817937003	263	0.10600123359306046	-0.0017720858173612159	0.22518067599588307	0.953	2	9
feature	DIANA multi-task	MajorityClass	0.4373997817724305	0.07007007007007007	263	0.3673297117023604	0.20332766942612795	0.6653214416887471	1.0	5	9
feature	DIANA multi-task	RandomForest	0.4373997817724305	0.4701572285637042	263	-0.03275744679127368	-0.14645096537825314	0.1118704576384835	0.449	2	9
feature	DIANA multi-task	RandomForest_Bal	0.4373997817724305	0.3494972586458094	263	0.08790252312662111	-0.018693107446221897	0.1877868570908084	0.9355	3	9
