task	regime	arm	n_classes	f1_fraction	f1_arm	delta	ci_low	ci_high	frac_boot_positive	verdict
community_type	medium-shot	abundance	3	0.44225949489107386	0.589909930452628	0.1476504355615541	-0.046900141747497896	0.27339698984602784	0.877	tie
community_type	medium-shot	presence_absence	3	0.44225949489107386	0.435109030180401	-0.007150464710672877	-0.20640055140047614	0.24520956613736153	0.431	tie
community_type	medium-shot	frac_plus_kmer4	3	0.44225949489107386	0.43151855828228514	-0.01074093660878872	-0.07822378234848772	0.0544709221459444	0.381	tie
community_type	medium-shot	frac_plus_clusters	3	0.44225949489107386	0.3643636545459091	-0.07789584034516478	-0.19545807573820195	0.1762421888989077	0.2335	tie
community_type	medium-shot	seq_encoder	3	0.44225949489107386	0.2275150541630205	-0.21474444072805335	-0.39797818265015483	-0.03578698103378559	0.013	WORSE
community_type	medium-shot	seq_encoder_shuffled	3	0.44225949489107386	0.2540632127484705	-0.18819628214260337	-0.36979690625940437	-0.03628797261770944	0.01	WORSE
community_type	medium-shot	attn_pool	3	0.44225949489107386	0.15309952425350834	-0.2891599706375655	-0.6306721993572731	-0.10274198870329301	0.001	WORSE
community_type	medium-shot	attn_pool_shuffled	3	0.44225949489107386	0.23500973500973502	-0.20724975988133884	-0.5350831118772296	-0.023905418412616154	0.012	WORSE
community_type	medium-shot	dna_max	3	0.44225949489107386	0.5457485776634713	0.10348908277239743	-0.06601317608661528	0.2582437837942996	0.804	tie
community_type	medium-shot	dna_mean	3	0.44225949489107386	0.4186412593206296	-0.023618235570444235	-0.10933196696272406	0.07745190392798458	0.321	tie
community_type	medium-shot	dna_max_shuffled	3	0.44225949489107386	0.4560702455439298	0.013810750652855919	-0.12238555393790848	0.13729209090914915	0.4865	tie
community_type	medium-shot	dna_mean_shuffled	3	0.44225949489107386	0.394912027448273	-0.047347467442800883	-0.1210873733116314	0.054057972953660195	0.1845	tie
community_type	medium-shot	offlist	3	0.44225949489107386	0.3997949138638228	-0.042464581027251036	-0.22502546186871178	0.12793455149020758	0.2575	tie
community_type	medium-shot	offlist_shuffled	3	0.44225949489107386	0.3140259535360707	-0.12823354135500314	-0.23553225691471427	0.06778223176690283	0.226	tie
community_type	many-shot	abundance	2	0.5526597154456854	0.6505532672547286	0.09789355180904324	0.017911786149421793	0.19159697378673995	0.993	BETTER
community_type	many-shot	presence_absence	2	0.5526597154456854	0.5965162474656145	0.04385653201992912	-0.07978673846766592	0.14302566682366544	0.7545	tie
community_type	many-shot	frac_plus_kmer4	2	0.5526597154456854	0.5804788458134184	0.02781913036773298	-0.05137918565165403	0.10164030865080721	0.723	tie
community_type	many-shot	frac_plus_clusters	2	0.5526597154456854	0.5796704944237995	0.027010778978114103	-0.015348631417142685	0.0761777217796038	0.843	tie
community_type	many-shot	seq_encoder	2	0.5526597154456854	0.5896471660665317	0.036987450620846296	-0.05748373545805153	0.11577490264396371	0.7635	tie
community_type	many-shot	seq_encoder_shuffled	2	0.5526597154456854	0.5918296693785702	0.039169953932884805	-0.08003936217414308	0.1000120792797424	0.783	tie
community_type	many-shot	attn_pool	2	0.5526597154456854	0.5565172229527292	0.0038575075070438336	-0.2167780614276184	0.13892373187925858	0.489	tie
community_type	many-shot	attn_pool_shuffled	2	0.5526597154456854	0.5753867874580858	0.02272707201240043	-0.1237920902578769	0.13276254034482154	0.6275	tie
community_type	many-shot	dna_max	2	0.5526597154456854	0.6096868594494025	0.05702714400371711	-0.01545686891097574	0.14537902621969473	0.912	tie
community_type	many-shot	dna_mean	2	0.5526597154456854	0.5746447407254427	0.02198502527975732	-0.04006304207864977	0.0956041975292044	0.7145	tie
community_type	many-shot	dna_max_shuffled	2	0.5526597154456854	0.5998280187873147	0.04716830334162936	-0.01758289851550988	0.10660570810722315	0.908	tie
community_type	many-shot	dna_mean_shuffled	2	0.5526597154456854	0.5968541513422871	0.04419443589660177	-0.06765391754428499	0.12685279237591895	0.813	tie
community_type	many-shot	offlist	2	0.5526597154456854	0.5625404398647872	0.009880724419101816	-0.06872779004426323	0.0774365592340941	0.544	tie
community_type	many-shot	offlist_shuffled	2	0.5526597154456854	0.5542936370022553	0.0016339215565699394	-0.11065936823843038	0.06504773998300904	0.5075	tie
feature	few-shot	abundance	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	presence_absence	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	frac_plus_kmer4	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	frac_plus_clusters	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
feature	few-shot	seq_encoder	1	0.0	0.0	0.0	0.0	0.0	0.0	tie
