task	arm	f1_fraction	f1_arm	delta	ci_low	ci_high	frac_boot_positive	n_projects	n_runs	verdict
community_type	abundance	0.4864195831129184	0.6141672651734682	0.12774768206054982	-0.004543899024205876	0.21470918753206628	0.963	41	2073	tie
community_type	presence_absence	0.4864195831129184	0.4996719170944865	0.01325233398156811	-0.11693266899405062	0.15753880331532946	0.5365	41	2073	tie
community_type	frac_pca192	0.4864195831129184	0.49315041280492744	0.006730829692009055	-0.06109628393449606	0.057778596600227765	0.5365	41	2073	tie
community_type	pa_pca192	0.4864195831129184	0.5339688782848361	0.047549295171917694	-0.05118450627203086	0.12363211994960846	0.7805	41	2073	tie
community_type	frac_pca191nd	0.4864195831129184	0.4775272993404901	-0.008892283772428289	-0.08318732735368724	0.0634187957995819	0.3935	41	2073	tie
community_type	pa_pca191nd	0.4864195831129184	0.469641350443103	-0.016778232669815374	-0.11644309136669738	0.10590747095710404	0.3925	41	2073	tie
community_type	frac_plus_kmer4	0.4864195831129184	0.4911026732947385	0.004683090181820115	-0.04461822294150809	0.053583141912878794	0.5765	41	2073	tie
community_type	frac_plus_clusters	0.4864195831129184	0.45048639049706524	-0.03593319261585315	-0.09825611126813687	0.10183098111032549	0.2775	41	2073	tie
feature	abundance	0.29567836146783516	0.3817634882734027	0.08608512680556751	-0.014303041369629161	0.19717264750925406	0.9565	28	608	tie
feature	presence_absence	0.29567836146783516	0.3819878428275383	0.08630948135970312	0.006725356651810642	0.16331852300931726	0.9835	28	608	BETTER
feature	frac_pca192	0.29567836146783516	0.29904686733876273	0.003368505870927574	-0.08605906508241026	0.08651196156400805	0.4685	28	608	tie
feature	pa_pca192	0.29567836146783516	0.3000008586602324	0.0043224971923972455	-0.10075145613666193	0.08757555403204997	0.4925	28	608	tie
feature	frac_pca191nd	0.29567836146783516	0.24932815254788518	-0.04635020891994998	-0.1128681315133477	0.011246428017730332	0.059	28	608	tie
feature	pa_pca191nd	0.29567836146783516	0.2790736713402351	-0.016604690127600075	-0.08111584962848901	0.040138388376200894	0.2635	28	608	tie
feature	frac_plus_kmer4	0.29567836146783516	0.23211357225635754	-0.06356478921147762	-0.10973096946872386	0.003658059979217221	0.028	28	608	tie
feature	frac_plus_clusters	0.29567836146783516	0.27788067540620565	-0.017797686061629514	-0.04992453054482907	0.028534434513260994	0.2185	28	608	tie
sample_host	abundance	0.4247737436925047	0.41530476649667897	-0.009468977195825734	-0.11328163960830832	0.04945445506105726	0.286	42	2085	tie
sample_host	presence_absence	0.4247737436925047	0.4057252859199738	-0.01904845777253089	-0.09635219750890306	0.011116605389813213	0.0855	42	2085	tie
sample_host	frac_pca192	0.4247737436925047	0.42612566226089316	0.001351918568388455	-0.12217606869518573	0.05721268361930308	0.4305	42	2085	tie
sample_host	pa_pca192	0.4247737436925047	0.4133761180389954	-0.011397625653509325	-0.0787516118898188	0.030983375991730164	0.2245	42	2085	tie
sample_host	frac_pca191nd	0.4247737436925047	0.40335535019495444	-0.02141839349755026	-0.12189141496038726	0.04585054494562683	0.329	42	2085	tie
sample_host	pa_pca191nd	0.4247737436925047	0.39430605859670315	-0.030467685095801555	-0.11775001172853986	0.03857799407562715	0.223	42	2085	tie
sample_host	frac_plus_kmer4	0.4247737436925047	0.3751477385214663	-0.04962600517103838	-0.166612141837081	0.019030787293894076	0.116	42	2085	tie
sample_host	frac_plus_clusters	0.4247737436925047	0.3986253756261409	-0.02614836806636378	-0.13933714031933594	0.029848959588452666	0.3155	42	2085	tie
material	abundance	0.34898715086446297	0.30088669084093717	-0.048100460023525804	-0.09627418806805574	0.004198306265429097	0.0475	66	2639	tie
material	presence_absence	0.34898715086446297	0.322803141246275	-0.026184009618187953	-0.128995192790282	0.08591566235770418	0.3265	66	2639	tie
material	frac_pca192	0.34898715086446297	0.35865574926345273	0.009668598398989758	-0.07407682445533531	0.07492811970449215	0.5315	66	2639	tie
material	pa_pca192	0.34898715086446297	0.298078498291385	-0.05090865257307797	-0.10600147189881286	0.03290642923171582	0.1355	66	2639	tie
material	frac_pca191nd	0.34898715086446297	0.323887449660468	-0.025099701203994962	-0.09755649382525984	0.04937379973237556	0.277	66	2639	tie
material	pa_pca191nd	0.34898715086446297	0.35887219726185077	0.009885046397387798	-0.054529221703552865	0.05526033830019275	0.6045	66	2639	tie
material	frac_plus_kmer4	0.34898715086446297	0.3256766480329495	-0.02331050283151348	-0.08769238479988276	0.05612725721015958	0.3435	66	2639	tie
material	frac_plus_clusters	0.34898715086446297	0.3473356683428109	-0.0016514825216520923	-0.07761948587888674	0.08122731656905809	0.4665	66	2639	tie
