task	fold	tau	n	f1
community_type	0	0.0	565	0.4055259129674174
community_type	0	0.1	565	0.4055259129674174
community_type	0	0.2	565	0.4055259129674174
community_type	0	0.3	565	0.4055259129674174
community_type	0	0.4	565	0.4055259129674174
community_type	0	0.5	565	0.4055259129674174
community_type	0	0.6	565	0.4055259129674174
community_type	0	0.7	565	0.4055259129674174
community_type	0	0.8	565	0.4055259129674174
community_type	0	0.9	565	0.4055259129674174
community_type	0	1.0	565	0.4055259129674174
community_type	1	0.0	190	0.7527060623446166
community_type	1	0.1	190	0.7527060623446166
community_type	1	0.2	190	0.7527060623446166
community_type	1	0.3	190	0.7527060623446166
community_type	1	0.4	190	0.7767829350910921
community_type	1	0.5	190	0.7767829350910921
community_type	1	0.6	190	0.8024189261031367
community_type	1	0.7	190	0.7946411483253589
community_type	1	0.8	190	0.7946411483253589
community_type	1	0.9	190	0.7946411483253589
community_type	1	1.0	190	0.7946411483253589
community_type	2	0.0	467	0.35590402882410743
community_type	2	0.1	467	0.35590402882410743
community_type	2	0.2	467	0.35903391927794154
community_type	2	0.3	467	0.35903391927794154
community_type	2	0.4	467	0.35903391927794154
community_type	2	0.5	467	0.35903391927794154
community_type	2	0.6	467	0.35903391927794154
community_type	2	0.7	467	0.39236725261127486
community_type	2	0.8	467	0.39236725261127486
community_type	2	0.9	467	0.39236725261127486
community_type	2	1.0	467	0.39236725261127486
community_type	3	0.0	407	0.5599464797225991
community_type	3	0.1	407	0.5599464797225991
community_type	3	0.2	407	0.5599464797225991
community_type	3	0.3	407	0.5599464797225991
community_type	3	0.4	407	0.5599464797225991
community_type	3	0.5	407	0.5599464797225991
community_type	3	0.6	407	0.5599464797225991
community_type	3	0.7	407	0.5599464797225991
community_type	3	0.8	407	0.5599464797225991
community_type	3	0.9	407	0.5599464797225991
community_type	3	1.0	407	0.5599464797225991
community_type	4	0.0	444	0.7586976251701709
community_type	4	0.1	444	0.7650987631502563
community_type	4	0.2	444	0.7650987631502563
community_type	4	0.3	444	0.7654898194623653
community_type	4	0.4	444	0.7654898194623653
community_type	4	0.5	444	0.7634691951591323
community_type	4	0.6	444	0.7634691951591323
community_type	4	0.7	444	0.7634691951591323
community_type	4	0.8	444	0.7634691951591323
community_type	4	0.9	444	0.7634691951591323
community_type	4	1.0	444	0.7634691951591323
feature	0	0.0	94	0.27710843373493976
feature	0	0.1	94	0.27710843373493976
feature	0	0.2	94	0.27710843373493976
feature	0	0.3	94	0.27710843373493976
feature	0	0.4	94	0.27710843373493976
feature	0	0.5	94	0.27710843373493976
feature	0	0.6	94	0.27710843373493976
feature	0	0.7	94	0.27710843373493976
feature	0	0.8	94	0.27710843373493976
feature	0	0.9	94	0.27710843373493976
feature	0	1.0	94	0.27710843373493976
feature	1	0.0	109	0.2343915343915344
feature	1	0.1	109	0.2343915343915344
feature	1	0.2	109	0.2343915343915344
feature	1	0.3	109	0.2343915343915344
feature	1	0.4	109	0.2343915343915344
feature	1	0.5	109	0.23187633262260127
feature	1	0.6	109	0.23187633262260127
feature	1	0.7	109	0.23187633262260127
feature	1	0.8	109	0.23187633262260127
feature	1	0.9	109	0.23187633262260127
feature	1	1.0	109	0.23187633262260127
feature	2	0.0	223	0.30561293219577906
feature	2	0.1	223	0.30561293219577906
feature	2	0.2	223	0.30561293219577906
feature	2	0.3	223	0.30561293219577906
feature	2	0.4	223	0.30561293219577906
feature	2	0.5	223	0.30678733031674205
feature	2	0.6	223	0.30678733031674205
feature	2	0.7	223	0.30678733031674205
feature	2	0.8	223	0.30942472460220316
feature	2	0.9	223	0.30942472460220316
feature	2	1.0	223	0.30942472460220316
feature	3	0.0	137	0.22115384615384615
feature	3	0.1	137	0.22115384615384615
feature	3	0.2	137	0.2177754677754678
feature	3	0.3	137	0.2177754677754678
feature	3	0.4	137	0.2177754677754678
feature	3	0.5	137	0.2177754677754678
feature	3	0.6	137	0.21433566433566434
feature	3	0.7	137	0.21433566433566434
feature	3	0.8	137	0.21433566433566434
feature	3	0.9	137	0.21433566433566434
feature	3	1.0	137	0.21433566433566434
feature	4	0.0	45	0.3333333333333333
feature	4	0.1	45	0.3333333333333333
feature	4	0.2	45	0.3333333333333333
feature	4	0.3	45	0.3333333333333333
feature	4	0.4	45	0.3333333333333333
feature	4	0.5	45	0.3333333333333333
feature	4	0.6	45	0.3333333333333333
feature	4	0.7	45	0.3333333333333333
feature	4	0.8	45	0.3333333333333333
feature	4	0.9	45	0.3333333333333333
feature	4	1.0	45	0.3333333333333333
sample_host	0	0.0	577	0.2744834978478641
sample_host	0	0.1	577	0.27490388502977997
sample_host	0	0.2	577	0.2753223393970664
sample_host	0	0.3	577	0.27573887424890653
sample_host	0	0.4	577	0.27477595416815603
sample_host	0	0.5	577	0.27477595416815603
sample_host	0	0.6	577	0.27519058268200147
sample_host	0	0.7	577	0.27560331791496173
sample_host	0	0.8	577	0.27642316017316015
sample_host	0	0.9	577	0.27642316017316015
sample_host	0	1.0	577	0.28007649213531566
sample_host	1	0.0	190	0.42288486207746095
sample_host	1	0.1	190	0.42539821108719117
sample_host	1	0.2	190	0.4270541250656858
sample_host	1	0.3	190	0.4270541250656858
sample_host	1	0.4	190	0.4270541250656858
sample_host	1	0.5	190	0.4245556338579594
sample_host	1	0.6	190	0.4119960296607695
sample_host	1	0.7	190	0.4144546237569493
sample_host	1	0.8	190	0.41276803118908384
sample_host	1	0.9	190	0.41276803118908384
sample_host	1	1.0	190	0.40343991955756664
sample_host	2	0.0	467	0.9364881693648817
sample_host	2	0.1	467	0.9351620947630923
sample_host	2	0.2	467	0.9325
sample_host	2	0.3	467	0.9311639549436797
sample_host	2	0.4	467	0.9284818067754078
sample_host	2	0.5	467	0.9257861635220126
sample_host	2	0.6	467	0.9217171717171717
sample_host	2	0.7	467	0.9148665819567979
sample_host	2	0.8	467	0.9121019108280255
sample_host	2	0.9	467	0.909323116219668
sample_host	2	1.0	467	0.9023136246786633
sample_host	3	0.0	407	0.9279562581449374
sample_host	3	0.1	407	0.9279562581449374
sample_host	3	0.2	407	0.9279562581449374
sample_host	3	0.3	407	0.9363016863016863
sample_host	3	0.4	407	0.9449743861508568
sample_host	3	0.5	407	0.9442134748636297
sample_host	3	0.6	407	0.9442134748636297
sample_host	3	0.7	407	0.9449562957713206
sample_host	3	0.8	407	0.9449562957713206
sample_host	3	0.9	407	0.9449562957713206
sample_host	3	1.0	407	0.9449562957713206
sample_host	4	0.0	444	0.4941588785046729
