dim	activation_sd	eta2_community_type	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
0	0.9290754199028015	0.44562268257141113	-0.4535692699078661	6.141538293622807e-138	-0.5455342065961487	1.8059886119895876e-210	community_type	0.44562268257141113	0.5455342065961487	False
1	1.9620587825775146	0.9815574884414673	-0.432826322172856	1.9744355495318326e-124	-0.5602692541498888	2.5862548217810704e-224	community_type	0.9815574884414673	0.5602692541498888	False
2	0.08217128366231918	0.26415011286735535	-0.35893877874117164	2.2074142740112585e-83	-0.4308457064774116	3.440668402846549e-123	community_type	0.26415011286735535	0.4308457064774116	False
3	1.8385573625564575	0.8420135974884033	-0.36239430913034926	4.4782149743717055e-85	-0.46914840159046944	1.0229790508894023e-148	community_type	0.8420135974884033	0.46914840159046944	False
4	2.5770304203033447	0.8210346698760986	-0.33612088113170624	1.0111665667406645e-72	-0.4525965481825713	2.7724354903510755e-137	community_type	0.8210346698760986	0.4525965481825713	False
5	1.0528597831726074	0.08292944729328156	0.438000834705999	1.0313464128907671e-127	0.5474797337977799	2.9393464316148085e-212	community_type	0.08292944729328156	0.5474797337977799	True
6	1.2740442752838135	0.8357546329498291	-0.5404862604214923	6.96088622652964e-206	-0.6707572226085482	0.0	community_type	0.8357546329498291	0.6707572226085482	False
7	1.3697987794876099	0.886989951133728	-0.4971084637028264	1.6125032604625965e-169	-0.6226467008622479	2.05008270888822e-291	community_type	0.886989951133728	0.6226467008622479	False
8	1.881515383720398	0.5644998550415039	0.2273152096450776	3.616072942006639e-33	0.21011829424715742	1.7713543657584192e-28	community_type	0.5644998550415039	0.2273152096450776	False
9	1.9511831998825073	0.7641168832778931	-0.33424399646254027	6.959733009553019e-72	-0.40779418042406157	2.437351525945748e-109	community_type	0.7641168832778931	0.40779418042406157	False
10	0.18088190257549286	0.11766674369573593	0.41516017211983197	1.1979511083126503e-113	0.5069265702306489	2.702074879220639e-177	community_type	0.11766674369573593	0.5069265702306489	True
11	2.09202241897583	0.9509769678115845	-0.25113611412542636	2.453851069222651e-40	-0.39157486474483555	3.154452447674879e-100	community_type	0.9509769678115845	0.39157486474483555	False
12	1.1873700618743896	0.9784138202667236	0.08943221406628053	3.041558971259987e-06	0.03660245690891875	0.05648078850385871	community_type	0.9784138202667236	0.08943221406628053	False
13	0.0711449608206749	0.4701094925403595	-0.26505199647877414	6.775878029689489e-45	-0.3254156285250869	5.073702937656104e-68	community_type	0.4701094925403595	0.3254156285250869	False
14	1.6044502258300781	0.7269946336746216	0.40498489373994356	1.0040732411210665e-107	0.4534355355320688	7.557856141221607e-138	community_type	0.7269946336746216	0.4534355355320688	False
15	0.20748308300971985	0.05578818544745445	-0.490225070454402	3.232698343188139e-164	-0.6029654357311021	1.2491967358862858e-268	community_type	0.05578818544745445	0.6029654357311021	True
16	0.5120432376861572	0.23433522880077362	0.4397249580449642	8.074373397096759e-129	0.5266203481942585	1.1107601680536886e-193	community_type	0.23433522880077362	0.5266203481942585	True
17	0.05898796766996384	0.4506462812423706	-0.14110301394489375	1.4992852146089238e-13	-0.1791971827255226	4.919991099441199e-21	community_type	0.4506462812423706	0.1791971827255226	False
18	3.6076934337615967	0.8252160549163818	-0.4724724486307387	4.3335896900597596e-151	-0.579123219860962	4.475439316270987e-243	community_type	0.8252160549163818	0.579123219860962	False
19	2.3340539932250977	0.8678946495056152	-0.4614688726323391	2.471043177097698e-143	-0.6065062137365617	1.303517544430195e-272	community_type	0.8678946495056152	0.6065062137365617	False
20	0.4626963138580322	0.012917517684400082	-0.09431280343877711	8.48572170848803e-07	-0.18233389128653066	9.855813908901838e-22	community_type	0.012917517684400082	0.18233389128653066	True
