dim	activation_sd	eta2_feature	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
0	0.5509815216064453	0.7329868078231812	0.6127949082292032	8.287630664020303e-280	0.5857387168675994	5.92508958339385e-250	feature	0.7329868078231812	0.6127949082292032	False
1	0.2128000408411026	0.7661563158035278	0.026800919758668926	0.16261073156393305	0.13898347664344318	3.4601292900249725e-13	feature	0.7661563158035278	0.13898347664344318	False
2	0.44147178530693054	0.8037037253379822	0.6204209709298912	9.337971968663966e-289	0.6203897366649862	1.0172018677618042e-288	feature	0.8037037253379822	0.6204209709298912	False
3	0.3625938594341278	0.6463634371757507	0.5794225898134643	2.202836426390403e-243	0.5956466627591618	1.4780070838216007e-260	feature	0.6463634371757507	0.5956466627591618	False
4	0.034560102969408035	0.6451415419578552	0.42528446635258566	9.500227411697801e-120	0.5008218140907387	1.9788675851681352e-172	feature	0.6451415419578552	0.5008218140907387	False
5	0.13241970539093018	0.7519360184669495	-0.6090549934959721	1.6513030140246677e-275	-0.6524687973167673	0.0	feature	0.7519360184669495	0.6524687973167673	False
6	0.603860080242157	0.758165717124939	0.7020959560793741	0.0	0.6538334085048528	0.0	feature	0.758165717124939	0.7020959560793741	False
7	0.4047960042953491	0.8166022896766663	0.5557014028151253	6.007654845001116e-220	0.6296133020430711	7.077494224843313e-300	feature	0.8166022896766663	0.6296133020430711	False
8	0.4515475928783417	0.7260754704475403	0.4061427735667412	2.178053339050718e-108	0.36344618124207045	1.3540822168763936e-85	feature	0.7260754704475403	0.4061427735667412	False
9	0.46702659130096436	0.7638422846794128	0.07220951987015659	0.00016561659154178454	0.07294784688757741	0.00014179516239651212	feature	0.7638422846794128	0.07294784688757741	False
10	0.12459979951381683	0.7786316871643066	-0.4771065343542093	1.925351783240353e-154	-0.48961334247831995	9.43877596386945e-164	feature	0.7786316871643066	0.48961334247831995	False
11	0.2930198013782501	0.7698060870170593	-0.5899257517244615	2.171623339210053e-254	-0.6130900002903809	3.7733969329584794e-280	feature	0.7698060870170593	0.6130900002903809	False
12	0.2894098162651062	0.8524811267852783	-0.08156279455051263	2.0830174586895293e-05	0.012140155210316627	0.5271128838611099	feature	0.8524811267852783	0.08156279455051263	False
13	0.5037692785263062	0.7332883477210999	0.5563053896132941	1.6043332212585513e-220	0.4786639688124044	1.4002372419198003e-155	feature	0.7332883477210999	0.5563053896132941	False
14	0.5063076615333557	0.6920216083526611	0.7607889945741856	0.0	0.7783331562776344	0.0	feature	0.6920216083526611	0.7783331562776344	False
15	0.4420328438282013	0.7675850987434387	0.5223822539680524	4.608261698032112e-190	0.45565487050375997	2.385642268610867e-139	feature	0.7675850987434387	0.5223822539680524	False
16	0.29667526483535767	0.7953047752380371	-0.45391919687394994	3.56678132169678e-138	-0.5412053911154809	1.5635583942329567e-206	feature	0.7953047752380371	0.5412053911154809	False
17	0.3995445668697357	0.7109689712524414	-0.2969309072776876	2.066561560817613e-56	-0.3472650934047227	8.108947555700951e-78	feature	0.7109689712524414	0.3472650934047227	False
18	0.34358876943588257	0.8360229730606079	0.20907851320330134	3.3044945742710202e-28	0.330654302435231	2.683231822671321e-70	feature	0.8360229730606079	0.330654302435231	False
19	0.11459067463874817	0.7246725559234619	-0.449937441491757	1.6651993681943528e-135	-0.5602973185464708	2.4301668668703617e-224	feature	0.7246725559234619	0.5602973185464708	False
20	0.09762777388095856	0.6237179636955261	-0.42513652790199424	1.1705592613898099e-119	-0.42614175791540276	2.827981534990142e-120	feature	0.6237179636955261	0.42614175791540276	False
21	0.2817399203777313	0.7024125456809998	0.10568128707933225	3.379649180076331e-08	0.06936435725520143	0.0002973073111363817	feature	0.7024125456809998	0.10568128707933225	False
22	0.27211230993270874	0.8381093144416809	-0.6728549049433434	0.0	-0.6867722228130767	0.0	feature	0.8381093144416809	0.6867722228130767	False
23	0.27868497371673584	0.7820343971252441	-0.3468790835466958	1.2273898161617098e-77	-0.3442491763690632	2.0356979817471875e-76	feature	0.7820343971252441	0.3468790835466958	False
