dim	activation_sd	eta2_material	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
0	0.0									False
1	0.0									False
2	0.0									False
3	4.534275531768799	0.923005998134613	-0.2703714546292179	1.0334536012681177e-46	-0.3118378295757627	2.5088076539446254e-62	material	0.923005998134613	0.3118378295757627	False
4	2.4924542903900146	0.36995550990104675	-0.11252199541826685	4.100303595732681e-09	-0.1485374231167049	7.212410591018576e-15	material	0.36995550990104675	0.1485374231167049	False
5	0.0									False
6	0.0									False
7	4.00994348526001	0.9204646944999695	-0.44222880490195665	1.9456233573544575e-130	-0.4427604960511437	8.784441331358132e-131	material	0.9204646944999695	0.4427604960511437	False
8	0.0									False
9	0.0									False
10	38.08160400390625	0.33477306365966797	-0.3519300648811005	5.167534536935181e-80	-0.36741059743681864	1.4329234043536162e-87	material	0.33477306365966797	0.36741059743681864	False
11	2.4136414527893066	0.8408521413803101	-0.24719851351774513	4.2619614229633204e-39	-0.23944181609238682	1.0183771961037359e-36	material	0.8408521413803101	0.24719851351774513	False
12	0.0									False
13	0.039162687957286835	0.0014126453315839171	-0.0008942532547452249	0.9628457455979353	-0.012931068021010631	0.5005504720822795	material	0.0014126453315839171	0.012931068021010631	False
14	4.366386890411377	0.8964219689369202	-0.2834802232255054	2.2883530534914477e-51	-0.3186041320508996	3.970452249781234e-65	material	0.8964219689369202	0.3186041320508996	False
15	0.0									False
16	0.0									False
17	0.0									False
18	0.0									False
19	29.693193435668945	0.3492615818977356	-0.3400343731113492	1.7342556594659836e-74	-0.34964889683961314	6.189112444379182e-79	material	0.3492615818977356	0.34964889683961314	False
20	0.0									False
21	3.176858901977539	0.8541702628135681	-0.027926805012563966	0.14566194967575685	-0.13468867502091147	1.811935546415907e-12	material	0.8541702628135681	0.13468867502091147	False
22	0.0									False
23	0.0									False
24	0.0									False
25	3.7315497398376465	0.9144430160522461	-0.43560024847035206	3.49242033337702e-126	-0.435489288324579	4.1071020567803304e-126	material	0.9144430160522461	0.43560024847035206	False
26	0.0									False
27	0.0									False
28	0.0									False
29	4.396826267242432	0.9386757612228394	-0.02201254077700606	0.25146425903599695	-0.168495995525826	9.533687509490608e-19	material	0.9386757612228394	0.168495995525826	False
30	0.0									False
31	0.0									False
32	23.719696044921875	0.39261987805366516	-0.3348295594187339	3.818098104133475e-72	-0.3428956706959639	8.548511399959093e-76	material	0.39261987805366516	0.3428956706959639	False
33	0.0									False
34	4.998180866241455	0.9299862384796143	-0.36544278483210574	1.3811813675364153e-86	-0.4110845948900757	2.9900357070096428e-111	material	0.9299862384796143	0.4110845948900757	False
35	4.445534706115723	0.8372613787651062	-0.04991693320207877	0.009272016385801182	-0.08584070165533209	7.47055015435845e-06	material	0.8372613787651062	0.08584070165533209	False
36	5.611606121063232	0.8077511787414551	-0.055129979819351485	0.004053394981498614	-0.08431078272989025	1.0840535030500962e-05	material	0.8077511787414551	0.08431078272989025	False
37	0.0									False
38	0.0									False
39	0.0									False
40	0.0									False
41	0.0									False
42	0.0									False
43	1.3153330087661743	0.9079718589782715	-0.32656580387272127	1.6192483969002912e-68	-0.34176554192260966	2.8174205141870607e-75	material	0.9079718589782715	0.34176554192260966	False
44	0.0									False
45	5.6223673820495605	0.8361186385154724	-0.026216796765309785	0.17197006885671165	-0.13801431911335155	5.050435887447154e-13	material	0.8361186385154724	0.13801431911335155	False
46	4.138126850128174	0.9508253335952759	-0.05260436091699505	0.006104284815010386	-0.14344480458773926	5.863479478798998e-14	material	0.9508253335952759	0.14344480458773926	False
47	0.0									False
48	6.511587142944336	0.8845235109329224	-0.44020476613945675	3.963658256615408e-129	-0.4417787984100194	3.80949075133761e-130	material	0.8845235109329224	0.4417787984100194	False
49	0.0									False
50	4.269388675689697	0.9364847540855408	-0.13699266238135127	7.502630515037458e-13	-0.27315974721251096	1.1104401412275247e-47	material	0.9364847540855408	0.27315974721251096	False
51	0.0									False
52	6.286523818969727	0.9133935570716858	-0.23789414373044526	2.96733775392957e-36	-0.33937482436194005	3.4553018418754796e-74	material	0.9133935570716858	0.33937482436194005	False
53	0.0									False
54	0.007056913338601589	0.009148345328867435	0.0031699013951526117	0.8688459161474037	-0.019668074906941235	0.30553589827902594	material	0.009148345328867435	0.019668074906941235	False
55	2.3598694801330566	0.9547759890556335	-0.05024340720899171	0.008821463798645394	-0.14306438216290987	6.836769819083849e-14	material	0.9547759890556335	0.14306438216290987	False
56	0.0									False
57	0.0									False
58	0.0									False
59	0.0									False
60	0.0									False
61	0.0									False
62	1.5828272104263306	0.6987058520317078	0.009411211716785777	0.6239550267547045	-0.05196365343982336	0.006755094337329526	material	0.6987058520317078	0.05196365343982336	False
63	0.0									False
