dim	activation_sd	eta2_sample_host	rho_log_abundance	p_log_abundance	rho_mean_fraction	p_mean_fraction	best_task	best_eta2	max_abs_rho_depth	depth_dominated
0	0.4973750412464142	0.14320887625217438	-0.10360701412607136	6.246782107069219e-08	-0.0882059866830241	4.1497675802492625e-06	sample_host	0.14320887625217438	0.10360701412607136	False
1	0.5726025700569153	0.784562885761261	0.03514781419504169	0.06703191136447034	0.044633506635745425	0.020009210324416323	sample_host	0.784562885761261	0.044633506635745425	False
2	0.5333752632141113	0.7847579717636108	0.16874438184233503	8.468874451468893e-19	0.13264621179592923	3.909985173611271e-12	sample_host	0.7847579717636108	0.16874438184233503	False
3	0.3615751564502716	0.9101664423942566	-0.19927458316908328	1.0039305147993756e-25	-0.28390759815799116	1.5975688327407606e-51	sample_host	0.9101664423942566	0.28390759815799116	False
4	0.5074343681335449	0.9289445281028748	0.32482773658161884	9.078651201702104e-68	0.2636471169312767	2.0131363200751227e-44	sample_host	0.9289445281028748	0.32482773658161884	False
5	0.3668394982814789	0.899872362613678	0.04312290435827619	0.024616256687699616	-0.0002238241852420985	0.9906974469293396	sample_host	0.899872362613678	0.04312290435827619	False
6	0.44695550203323364	0.6620073318481445	-0.24433454717754127	3.292875003105574e-38	-0.31318712834931844	7.027427845971126e-63	sample_host	0.6620073318481445	0.31318712834931844	False
7	0.8287901282310486	0.2591411769390106	0.68201139097569	0.0	0.6859393501837726	0.0	sample_host	0.2591411769390106	0.6859393501837726	True
8	0.26278752088546753	0.8685933947563171	0.5524205061820622	7.46471963366796e-217	0.533349665316736	1.5644807166099414e-199	sample_host	0.8685933947563171	0.5524205061820622	False
9	0.45370468497276306	0.1494961977005005	-0.2555281611985651	9.57213540254718e-42	-0.2978157895290388	9.412852380323963e-57	sample_host	0.1494961977005005	0.2978157895290388	False
10	0.7932645678520203	0.9247514605522156	0.023324697257955614	0.2242980838160698	-0.05116534779017885	0.007652833691340113	sample_host	0.9247514605522156	0.05116534779017885	False
11	0.730532169342041	0.8324527740478516	-0.30909531353197334	3.2653276016778224e-61	-0.4460736620080215	5.995520277044916e-133	sample_host	0.8324527740478516	0.4460736620080215	False
12	0.7813506126403809	0.2866559326648712	0.4637547305961634	6.382021269026307e-145	0.4997933227636343	1.2773438494956633e-171	sample_host	0.2866559326648712	0.4997933227636343	False
13	0.3537125289440155	0.24504151940345764	-0.33690692240277353	4.4897704012700043e-73	-0.370068671466938	6.547015497704374e-89	sample_host	0.24504151940345764	0.370068671466938	False
14	0.7401041984558105	0.8132220506668091	0.25615640252674615	5.987365782523369e-42	0.19449029345409669	1.4692269361022135e-24	sample_host	0.8132220506668091	0.25615640252674615	False
15	0.7929636240005493	0.3822689950466156	0.2671784447648691	1.2873782566105917e-45	0.3287905846392653	1.7528884375383425e-69	sample_host	0.3822689950466156	0.3287905846392653	False
16	0.47152024507522583	0.8848366737365723	0.12151527554368308	2.1055123004014663e-10	0.04982890350145107	0.009396963941150015	sample_host	0.8848366737365723	0.12151527554368308	False
17	0.9635918736457825	0.6352273225784302	0.45159045388372365	1.3112027823416971e-136	0.49896502304605034	5.708802741576621e-171	sample_host	0.6352273225784302	0.49896502304605034	False
18	0.6647602915763855	0.4150913655757904	0.45744332645970875	1.4456856921282295e-140	0.5054695124063201	3.9975049963330015e-176	sample_host	0.4150913655757904	0.5054695124063201	False
19	0.7288019061088562	0.6237408518791199	0.5085964029115724	1.2126439459087413e-178	0.6004613835596991	7.626095489969104e-266	sample_host	0.6237408518791199	0.6004613835596991	False
20	0.8650200963020325	0.3321530222892761	0.4929722375722517	2.5588642817530345e-166	0.5555616863615851	8.150431273645392e-220	sample_host	0.3321530222892761	0.5555616863615851	False
21	1.0081570148468018	0.8621249794960022	0.461513504014768	2.3013981738987463e-143	0.47231946708406897	5.580042017370948e-151	sample_host	0.8621249794960022	0.47231946708406897	False
22	0.2170257717370987	0.6968563199043274	0.5359141245805676	8.501503858660458e-202	0.5781315185795122	4.659737686543505e-242	sample_host	0.6968563199043274	0.5781315185795122	False
