rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,2732,2378701,61,59.01639344262295,1.9388626156126858,11.09144401550293,Cutibacterium acnes,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Cutibacterium
2,55208,2576579,70,45.714285714285715,1.9460831814792088,11.033873558044434,Streptococcus sp.,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
3,34226,2505245,62,56.451612903225815,1.979186534959203,9.771635055541992,Lactococcus lactis,100.0,6.3e-21,113.0,Bacillota,Streptococcaceae,Lactococcus
4,106873,2754620,116,52.58620689655172,1.957817958175226,9.49431324005127,Aggregatibacter aphrophilus,100.0,9.39e-50,210.0,Pseudomonadota,Pasteurellaceae,Aggregatibacter
5,58044,2587432,72,48.61111111111111,1.978914232330877,9.245614051818848,MAG: Steroidobacteraceae,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Unknown
6,61486,2599697,77,66.23376623376623,1.912092211004246,8.855209350585938,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
7,80915,2662712,162,40.123456790123456,1.9662302573709212,7.666461944580078,Homo sapiens,100.0,1.6e-74,293.0,Chordata,Hominidae,Homo
8,96298,2716541,80,51.24999999999999,1.948667609804581,7.009274482727051,Selenomonas infelix,100.0,1.79e-30,145.0,Bacillota,Selenomonadaceae,Selenomonas
9,17198,2438938,61,59.01639344262295,1.951609205273301,6.984277725219727,Nonomuraea sp.,100.0,2.11e-20,111.0,Actinomycetota,Streptosporangiaceae,Nonomuraea
10,25392,2466982,104,37.5,1.9541494239872044,6.339626312255859,Homo sapiens,100.0,2.63e-43,188.0,Chordata,Hominidae,Homo
11,48083,2551808,61,36.0655737704918,1.9097947096899266,6.3045454025268555,Eukaryotic synthetic,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
12,81527,2667104,61,49.18032786885246,1.950045383326547,6.199532508850098,Neisseria elongata,100.0,2.11e-20,111.0,Pseudomonadota,Neisseriaceae,Neisseria
13,86507,2684330,61,52.459016393442624,1.9270927902240995,6.150694847106934,Uncultured bacterium,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
14,40227,2525913,86,40.69767441860465,1.9731649767609492,6.087841033935547,Homo sapiens,100.0,1.13e-33,156.0,Chordata,Hominidae,Homo
15,62885,2604750,61,59.01639344262295,1.941043078129074,6.0012688636779785,Arachnia propionica,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Arachnia
16,81533,2667129,61,50.81967213114754,1.9463023955248933,5.945891380310059,Neisseria oralis,100.0,2.11e-20,111.0,Pseudomonadota,Neisseriaceae,Neisseria
17,23230,2460569,70,57.14285714285714,1.9369382421030483,5.941922187805176,uncultured bacterium,100.0,3.77e-25,127.0,Unknown,Unknown,Unknown
18,1305,2372602,92,54.347826086956516,1.8996320824496964,5.867378234863281,Arachnia propionica,100.0,7.04e-37,167.0,Actinomycetota,Propionibacteriaceae,Arachnia
19,44502,2539970,61,44.26229508196721,1.9233249840877744,5.808443069458008,Streptococcus parasanguinis,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
20,44596,2540445,63,31.746031746031743,1.840407230400658,5.7823286056518555,Rhinolophus hipposideros,100.0,1.88e-21,114.0,Chordata,Rhinolophidae,Rhinolophus
