rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,34226,2505245,62,56.451612903225815,1.979186534959203,6.237094879150391,Lactococcus lactis,100.0,6.3e-21,113.0,Bacillota,Streptococcaceae,Streptococcus
2,55208,2576579,70,45.714285714285715,1.9460831814792088,6.127718925476074,Streptococcus parasanguinis,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
3,2732,2378701,61,59.01639344262295,1.9388626156126858,5.61829948425293,Cutibacterium acnes,100.0,2.11e-20,111.0,Actinomycetota,Propionibacteriaceae,Cutibacterium
4,61486,2599697,77,66.23376623376623,1.912092211004246,5.474246501922607,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
5,44596,2540445,63,31.746031746031743,1.840407230400658,5.00666618347168,Rhinolophus hipposideros,100.0,1.88e-21,114.0,Chordata,Rhinolophidae,Rhinolophus
6,81533,2667129,61,50.81967213114754,1.9463023955248933,4.592535972595215,Neisseria oralis,100.0,2.11e-20,111.0,Pseudomonadota,Neisseriaceae,Neisseria
7,17198,2438938,61,59.01639344262295,1.951609205273301,4.535479545593262,Nonomuraea sp.,100.0,2.11e-20,111.0,Actinomycetota,Thermomonosporaceae,Actinomadura
8,106873,2754620,116,52.58620689655172,1.957817958175226,4.408642768859863,Aggregatibacter aphrophilus,100.0,9.39e-50,210.0,Pseudomonadota,Pasteurellaceae,Aggregatibacter
9,81434,2666828,73,64.38356164383562,1.8975950535748443,4.198244094848633,MAG: Nitrospira,100.0,1.15e-25,129.0,Nitrospirota,Nitrospiraceae,Nitrospira
10,1305,2372602,92,54.347826086956516,1.8996320824496964,4.174761772155762,Pseudopropionibacterium propionicum,100.0,7.04e-37,167.0,Actinomycetota,Propionibacteriaceae,Arachnia
11,80915,2662712,162,40.123456790123456,1.9662302573709212,4.152755260467529,No blast hit,100.0,1.6e-74,293.0,Chordata,Hominidae,Homo
12,25485,2467075,124,62.096774193548384,1.9541799346085988,3.836165189743042,Arachnia propionica,100.0,4.71e-54,224.0,Actinomycetota,Propionibacteriaceae,Arachnia
13,96496,2716765,73,42.465753424657535,1.966862500361527,3.761319160461426,No blast hit,100.0,3.29e-26,131.0,Chordata,Felidae,Panthera
14,42769,2532208,5416,44.73781388478582,1.9845357536010257,3.754761219024658,No blast hit,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
15,62885,2604750,61,59.01639344262295,1.941043078129074,3.7297234535217285,Uncultured Actinomycetales,100.0,2.11e-20,111.0,Actinomycetota,Unknown,Unknown
16,74184,2642386,69,63.76811594202898,1.930259213328076,3.7062432765960693,Streptosporangium sp.,100.0,1.28e-24,125.0,Actinomycetota,Streptomycetaceae,Kitasatospora
