rank,feature_index,id,length,gc_content,complexity,importance_score,prevalence_pct,n_samples_present,mean_frac_present,median_frac_present,best_hit_species
1,34226,2505245,62,56.451612903225815,1.979186534959203,6.237094879150391,47.58957654723127,1461,0.7694045305252075,1.0,Lactococcus lactis
2,55208,2576579,70,45.714285714285715,1.9460831814792088,6.127718925476074,32.11726384364821,986,0.8272008299827576,1.0,Streptococcus parasanguinis
3,2732,2378701,61,59.01639344262295,1.9388626156126858,5.61829948425293,44.9185667752443,1379,0.7194198369979858,0.9399999976158142,Cutibacterium acnes
4,61486,2599697,77,66.23376623376623,1.912092211004246,5.474246501922607,20.06514657980456,616,0.6808279752731323,0.8500000238418579,MAG: Nitrospira
5,44596,2540445,63,31.746031746031743,1.840407230400658,5.00666618347168,23.485342019543975,721,0.5461997389793396,0.47999998927116394,Rhinolophus hipposideros
6,81533,2667129,61,50.81967213114754,1.9463023955248933,4.592535972595215,26.319218241042346,808,0.7693440914154053,1.0,Neisseria oralis
7,17198,2438938,61,59.01639344262295,1.951609205273301,4.535479545593262,22.93159609120521,704,0.6458806395530701,0.6499999761581421,Nonomuraea sp.
8,106873,2754620,116,52.58620689655172,1.957817958175226,4.408642768859863,39.86970684039088,1224,0.4638970196247101,0.4699999988079071,Aggregatibacter aphrophilus
9,81434,2666828,73,64.38356164383562,1.8975950535748443,4.198244094848633,20.521172638436482,630,0.6891428828239441,0.9300000071525574,MAG: Nitrospira
10,1305,2372602,92,54.347826086956516,1.8996320824496964,4.174761772155762,37.785016286644954,1160,0.6504396200180054,0.7099999785423279,Pseudopropionibacterium propionicum
11,80915,2662712,162,40.123456790123456,1.9662302573709212,4.152755260467529,31.72638436482085,974,0.5713860392570496,0.5550000071525574,No blast hit
12,25485,2467075,124,62.096774193548384,1.9541799346085988,3.836165189743042,46.48208469055375,1427,0.4457883834838867,0.4300000071525574,Arachnia propionica
13,96496,2716765,73,42.465753424657535,1.966862500361527,3.761319160461426,24.364820846905538,748,0.5003074407577515,0.4000000059604645,No blast hit
14,42769,2532208,5416,44.73781388478582,1.9845357536010257,3.754761219024658,26.612377850162865,817,0.584088146686554,0.8999999761581421,No blast hit
15,62885,2604750,61,59.01639344262295,1.941043078129074,3.7297234535217285,29.96742671009772,920,0.6912717223167419,0.8399999737739563,Uncultured Actinomycetales
16,74184,2642386,69,63.76811594202898,1.930259213328076,3.7062432765960693,26.091205211726383,801,0.5275905132293701,0.46000000834465027,Streptosporangium sp.
17,81527,2667104,61,49.18032786885246,1.950045383326547,3.6797380447387695,31.661237785016286,972,0.5828395485877991,0.6499999761581421,Neisseria elongata
18,58044,2587432,72,48.61111111111111,1.978914232330877,3.640913486480713,21.107491856677523,648,0.5533642172813416,0.6000000238418579,Steroidobacter denitrificans
19,23230,2460569,70,57.14285714285714,1.9369382421030483,3.604605197906494,40.358306188925084,1239,0.5529701113700867,0.5299999713897705,uncultured bacterium
20,32293,2490168,110,60.909090909090914,1.965133313254523,3.496608257293701,34.4299674267101,1057,0.44610220193862915,0.4000000059604645,No blast hit
21,84880,2679018,61,62.295081967213115,1.919083984380127,3.4834890365600586,21.596091205211728,663,0.6478733420372009,0.7400000095367432,Lactococcus garvieae
22,31157,2486910,63,53.96825396825397,1.9637751532761416,3.4625821113586426,32.14983713355049,987,0.6513374447822571,0.8500000238418579,No blast hit
23,27032,2474611,69,59.42028985507246,1.9474236632561113,3.4582324028015137,31.074918566775246,954,0.5220964550971985,0.4399999976158142,No blast hit
24,35098,2507108,209,45.933014354066984,1.952715113365769,3.4323599338531494,44.16938110749186,1356,0.4699483811855316,0.38999998569488525,Uncultured bacterium
