rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,42769,2532208,5416,44.73781388478582,1.9845357536010257,6.117926120758057,Staphylococcus haemolyticus,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
2,73483,2638325,123,29.268292682926827,1.871442418112287,5.594553470611572,,,,,,,
3,83289,2673068,66,59.09090909090909,1.689035435387326,5.021875858306885,PREDICTED: Ailuropoda,100.0,4.92e-23,120.0,Chordata,Ursidae,Ailuropoda
4,49132,2556722,63,50.79365079365079,1.9775861861497872,4.904916286468506,Mycolicibacterium smegmatis,100.0,1.88e-21,114.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
5,63713,2606162,95,56.84210526315789,1.9358862387935272,4.700270652770996,Uncultured archaeon,100.0,1.75e-38,172.0,Unknown,Unknown,Unknown
6,58044,2587432,72,48.61111111111111,1.978914232330877,4.696108818054199,Steroidobacter denitrificans,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Steroidobacter
7,12332,2423568,62,59.67741935483871,1.9720263244856202,4.567869186401367,Desulfobacca acetoxidans,98.387,2.68e-19,108.0,Thermodesulfobacteriota,Desulfobaccaceae,Desulfobacca
8,59337,2590848,85,52.94117647058824,1.9949550004971865,4.510735034942627,Candidatus Nitrosocosmicus,100.0,3.87e-33,154.0,Nitrososphaerota,Nitrososphaeraceae,Candidatus Nitrosocosmicus
9,84899,2679056,61,59.01639344262295,1.941043078129074,4.317407131195068,Paenibacillus sp.,100.0,2.11e-20,111.0,Bacillota,Paenibacillaceae,Paenibacillus
10,89128,2693057,61,42.62295081967213,1.4561112661478437,4.084799289703369,,,,,,,
11,2,610007,61,47.540983606557376,1.1034990673875955,4.005398750305176,,,,,,,
12,79805,2660680,63,50.79365079365079,1.907382400895482,3.9684181213378906,Rhodoferax sp.,100.0,1.88e-21,114.0,Pseudomonadota,Comamonadaceae,Rhodoferax
13,46190,2545043,66,53.03030303030303,1.9714157726920518,3.9134140014648438,Fusobacterium polymorphum,100.0,4.92e-23,120.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
14,48083,2551808,61,36.0655737704918,1.9097947096899266,3.8901469707489014,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
15,32725,2491740,73,54.794520547945204,1.9890983405616893,3.8890163898468018,Janthinobacterium lividum,100.0,9.41e-27,132.0,Pseudomonadota,Oxalobacteraceae,Janthinobacterium
16,31092,2486809,62,53.2258064516129,1.98453005232125,3.854729652404785,Bacillus velezensis,100.0,6.3e-21,113.0,Bacillota,Bacillaceae,Bacillus
17,17428,2439597,61,62.295081967213115,1.9463023955248935,3.745630979537964,Achromobacter xylosoxidans,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Achromobacter
18,32,2368942,61,55.73770491803278,1.990041897445637,3.717242479324341,MAG: uncultured,100.0,2.11e-20,111.0,Bacteroidota,Unknown,Unknown
19,27398,2475089,66,53.03030303030303,1.9941822755773035,3.6445186138153076,Desulfobulbus propionicus,98.485,2.09e-21,115.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
20,39027,2521890,67,62.68656716417911,1.9485098756931831,3.6189687252044678,Gemmatimonadales bacterium,100.0,1.46e-23,122.0,Gemmatimonadota,Unknown,Unknown
21,70036,2626921,73,52.054794520547944,1.9581431364741209,3.572237968444824,Eubacterium ramulus,95.89,2.07e-22,119.0,Bacillota,Eubacteriaceae,Eubacterium
22,61486,2599697,77,66.23376623376623,1.912092211004246,3.5622494220733643,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
23,6909,2392070,61,57.377049180327866,1.9510501943492133,3.5605204105377197,Paenarthrobacter nitroguajacolicus,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Paenarthrobacter
24,81588,2667239,71,52.112676056338024,1.9839794495031335,3.498372793197632,Mycobacterium sp.,100.0,1.08e-25,129.0,Actinomycetota,Mycobacteriaceae,Mycobacterium
25,89129,2693058,61,42.62295081967213,1.4794731020725562,3.4040956497192383,,,,,,,
26,15887,2433232,73,64.38356164383562,1.9043900688745723,3.4012298583984375,Fusobacterium nucleatum,100.0,9.41e-27,132.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
27,83926,2673917,82,68.29268292682927,1.8785324347235735,3.3976070880889893,Actinomyces sp.,96.341,3.39e-27,135.0,Actinomycetota,Actinomycetaceae,Actinomyces
28,35835,2511568,67,58.2089552238806,1.9326565074810471,3.395615339279175,Uncultured archaeon,100.0,1.46e-23,122.0,Unknown,Unknown,Unknown
29,98039,2722449,72,45.83333333333333,1.9871086637005075,3.355382204055786,Fusobacterium polymorphum,100.0,3.19e-26,131.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
30,61517,2599744,72,44.44444444444444,1.9546859469463558,3.3337173461914062,Diaphorobacter sp.,100.0,3.19e-26,131.0,Pseudomonadota,Comamonadaceae,Diaphorobacter
31,86778,2685292,64,54.6875,1.9715153033374995,3.304243326187134,uncultured bacterium,100.0,5.58e-22,116.0,Unknown,Unknown,Unknown
32,97781,2722178,72,65.27777777777779,1.9105739280137324,3.3002588748931885,Actinomyces timonensis,100.0,3.19e-26,131.0,Actinomycetota,Actinomycetaceae,Actinomyces
33,58162,2587591,61,49.18032786885246,1.5076213244090613,3.2707598209381104,,,,,,,
34,79362,2657673,62,53.2258064516129,1.9434275728878356,3.2485663890838623,Uncultured bacterium,100.0,6.3e-21,113.0,Unknown,Unknown,Unknown
35,53107,2569730,64,64.0625,1.9413980376599163,3.2458994388580322,Chromobacterium violaceum,100.0,5.58e-22,116.0,Pseudomonadota,Chromobacteriaceae,Chromobacterium
36,45990,2544635,76,52.63157894736842,1.9259865576705784,3.223231554031372,,,,,,,
37,52750,2569240,61,55.73770491803278,1.9640604333502663,3.2169110774993896,MAG: Mariniblastus,100.0,2.11e-20,111.0,Planctomycetota,Pirellulaceae,Mariniblastus
38,62765,2604082,61,55.73770491803278,1.966880311143805,3.2054054737091064,Candidatus Saccharibacteria,100.0,2.11e-20,111.0,Candidatus Saccharimonadota,Unknown,Unknown
39,11757,2419967,61,50.81967213114754,1.9646924699852761,3.1756362915039062,Clostridium perfringens,100.0,2.11e-20,111.0,Bacillota,Clostridiaceae,Clostridium
40,66093,2614903,68,67.64705882352942,1.8430045978902456,3.1684532165527344,Mycobacteriaceae bacterium,100.0,4.32e-24,123.0,Actinomycetota,Mycobacteriaceae,Unknown
41,56264,2581432,75,62.66666666666667,1.9356091617453688,3.1640379428863525,Symphoricarpos occidentalis,100.0,8.17e-28,136.0,Streptophyta,Caprifoliaceae,Symphoricarpos
42,61644,2599928,68,54.41176470588235,1.9521221905605477,3.152109146118164,Methanobrevibacter intestini,100.0,4.32e-24,123.0,Methanobacteriota,Methanobacteriaceae,Methanobrevibacter
43,12288,2423118,61,36.0655737704918,1.883240577891304,3.1167004108428955,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
44,35508,2511119,62,53.2258064516129,1.9353651203688242,3.113292932510376,Acinetobacter sp.,100.0,6.3e-21,113.0,Pseudomonadota,Moraxellaceae,Acinetobacter
45,6093,2390667,80,55.00000000000001,1.9909520708329977,3.099437713623047,Selenomonas infelix,100.0,1.79e-30,145.0,Bacillota,Selenomonadaceae,Selenomonas
46,44870,2541042,75,65.33333333333333,1.9201978250615843,3.084580659866333,Acetomicrobium mobile,97.333,4.23e-25,127.0,Synergistota,Acetomicrobiaceae,Acetomicrobium
47,43821,2537274,86,63.95348837209303,1.9349014071187978,3.078594446182251,Arcanobacterium buesumense,100.0,1.13e-33,156.0,Actinomycetota,Actinomycetaceae,Arcanobacterium
48,23373,2460873,88,59.09090909090909,1.9448794969301497,3.0630013942718506,Ramlibacter sp.,100.0,9.67e-35,159.0,Pseudomonadota,Comamonadaceae,Ramlibacter
49,35300,2510555,61,47.540983606557376,1.988009168547974,3.050029754638672,Rothia dentocariosa,100.0,2.11e-20,111.0,Actinomycetota,Micrococcaceae,Rothia
50,48061,2551664,64,59.375,1.899988766373815,3.040072441101074,Mycolicibacterium chitae,100.0,5.58e-22,116.0,Actinomycetota,Mycobacteriaceae,Mycolicibacterium
51,100084,2729624,61,37.704918032786885,1.9057026102692771,3.016277313232422,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
52,13237,2425448,77,58.44155844155844,1.9551881179868946,2.9929563999176025,Desulfobulbus oralis,100.0,7.07e-29,140.0,Thermodesulfobacteriota,Desulfobulbaceae,Desulfobulbus
53,50999,2563038,65,61.53846153846154,1.9607925801056458,2.9863674640655518,Saccharopolyspora sp.,100.0,1.66e-22,118.0,Actinomycetota,Pseudonocardiaceae,Saccharopolyspora
54,55081,2576441,61,34.42622950819672,1.6796605229195791,2.9806833267211914,,,,,,,
55,22241,2454877,61,65.57377049180327,1.0239228180015463,2.9711809158325195,,,,,,,
56,25392,2466982,104,37.5,1.9541494239872044,2.9664089679718018,Homo sapiens,100.0,2.63e-43,188.0,Chordata,Hominidae,Homo
57,41717,2531105,89,59.55056179775281,1.9639989660847936,2.9636127948760986,Anaerolineaceae bacterium,100.0,9.87e-35,159.0,Chloroflexota,Anaerolineaceae,Unknown
58,13014,2425203,92,58.69565217391305,1.9459768182323551,2.961177110671997,Anaerolineaceae bacterium,100.0,7.04e-37,167.0,Chloroflexota,Anaerolineaceae,Unknown
59,24177,2461800,139,51.798561151079134,1.9528325231240466,2.94061541557312,Fusobacterium nucleatum,100.0,3.98e-62,251.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
60,95320,2712791,118,54.23728813559322,1.987285656672547,2.9220218658447266,Acinetobacter lwoffii,100.0,7.91e-51,214.0,Pseudomonadota,Moraxellaceae,Acinetobacter
61,89078,2692596,61,54.09836065573771,1.9235377574011476,2.919929265975952,Uncultured bacterium,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
62,80500,2662285,92,44.565217391304344,1.94928544382292,2.912684679031372,Clostridium botulinum,100.0,7.04e-37,167.0,Bacillota,Clostridiaceae,Clostridium
63,15532,2432863,84,51.19047619047619,1.9830849376713153,2.888777017593384,Fusobacterium nucleatum,100.0,1.32e-32,152.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
64,74301,2642684,68,57.35294117647059,1.9617453883919604,2.878554344177246,Psychrobacillus glaciei,100.0,4.32e-24,123.0,Bacillota,Bacillaceae,Psychrobacillus
65,82952,2671710,61,45.90163934426229,1.9902277600210603,2.87424635887146,Silene latifolia,100.0,2.11e-20,111.0,Streptophyta,Caryophyllaceae,Silene
66,43484,2536885,83,55.42168674698795,1.9886294816320897,2.8352127075195312,Ancylobacter sp.,100.0,4.51e-32,150.0,Pseudomonadota,Xanthobacteraceae,Ancylobacter
67,4006,2382803,86,44.18604651162791,1.9815458553567495,2.832751512527466,Campylobacter showae,100.0,1.13e-33,156.0,Campylobacterota,Campylobacteraceae,Campylobacter
68,89528,2694204,64,50.0,1.95142573789646,2.7960517406463623,Uncultured planctomycete,100.0,5.58e-22,116.0,Planctomycetota,Unknown,Unknown
69,89071,2692552,78,56.41025641025641,1.934559199734664,2.792555570602417,Clostridium perfringens,100.0,2.08e-29,141.0,Bacillota,Clostridiaceae,Clostridium
70,0,496659,61,44.26229508196721,1.4292062682172793,2.7718636989593506,,,,,,,
71,105638,2748890,88,37.5,1.9448725890987713,2.7645721435546875,Homo sapiens,100.0,9.67e-35,159.0,Chordata,Hominidae,Homo
72,34241,2505261,61,55.73770491803278,1.9547417496396882,2.755652666091919,Fusobacterium animalis,100.0,2.11e-20,111.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
73,20050,2448499,72,56.94444444444444,1.9854724082446875,2.7471115589141846,Anatilimnocola aggregata,100.0,3.19e-26,131.0,Planctomycetota,Pirellulaceae,Anatilimnocola
74,55208,2576579,70,45.714285714285715,1.9460831814792088,2.7451088428497314,Streptococcus parasanguinis,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
75,15117,2432135,61,52.459016393442624,1.976595943032469,2.7436532974243164,Curtobacterium sp.,100.0,2.11e-20,111.0,Actinomycetota,Microbacteriaceae,Curtobacterium
76,15134,2432169,61,47.540983606557376,1.9461780892659748,2.7370502948760986,Dolosigranulum pigrum,100.0,2.11e-20,111.0,Bacillota,Carnobacteriaceae,Dolosigranulum
77,83374,2673228,61,54.09836065573771,1.9919185379284219,2.7212631702423096,Streptococcus anginosus,100.0,2.11e-20,111.0,Bacillota,Streptococcaceae,Streptococcus
78,33468,2494319,93,69.89247311827957,1.877079539783746,2.713916540145874,Streptomyces sp.,100.0,2.05e-37,168.0,Actinomycetota,Streptomycetaceae,Streptomyces
79,101923,2735640,67,43.28358208955223,1.911730411258397,2.7025744915008545,Danio rerio,100.0,1.46e-23,122.0,Chordata,Danionidae,Danio
80,83375,2673229,66,54.54545454545454,1.945911276038717,2.7003204822540283,Ottowia sp.,100.0,4.92e-23,120.0,Pseudomonadota,Comamonadaceae,Ottowia
81,28357,2478690,61,50.81967213114754,1.555908473384584,2.6960604190826416,,,,,,,
82,58666,2588142,147,49.65986394557823,1.9811739684304175,2.6862833499908447,PREDICTED: Arvicanthis,100.0,1.95e-66,266.0,Chordata,Muridae,Arvicanthis
83,42281,2531719,71,67.6056338028169,1.8789867339991129,2.648329734802246,Mycobacterium branderi,100.0,1.08e-25,129.0,Actinomycetota,Mycobacteriaceae,Mycobacterium
84,3750,2381908,61,62.295081967213115,1.9353507517087352,2.640643835067749,Georgenia sp.,98.361,8.97e-19,106.0,Actinomycetota,Allobogoriellaceae,Georgenia
85,73972,2641373,61,55.73770491803278,1.900611626512025,2.631082057952881,Avibacterium paragallinarum,100.0,2.11e-20,111.0,Pseudomonadota,Pasteurellaceae,Avibacterium
86,17356,2439407,72,56.94444444444444,1.9479922518924238,2.629493474960327,Uncultured bacterium,100.0,3.19e-26,131.0,Unknown,Unknown,Unknown
87,41110,2529501,71,49.29577464788733,1.9995665789534056,2.6267173290252686,Serratia marcescens,100.0,1.08e-25,129.0,Pseudomonadota,Yersiniaceae,Serratia
88,15340,2432617,78,57.692307692307686,1.9807274214658706,2.6217446327209473,Phreatobacter stygius,100.0,2.53e-28,138.0,Pseudomonadota,Phreatobacteraceae,Phreatobacter
89,76169,2648626,72,59.72222222222222,1.9420029098956415,2.6127984523773193,Olsenella sp.,100.0,3.19e-26,131.0,Actinomycetota,Atopobiaceae,Olsenella
90,62818,2604484,61,50.81967213114754,1.9902277600210603,2.607377529144287,Tannerella forsythia,100.0,2.11e-20,111.0,Bacteroidota,Tannerellaceae,Tannerella
91,9158,2400238,61,55.73770491803278,1.9569975011825842,2.6023647785186768,Castellaniella ginsengisoli,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Castellaniella
92,41128,2529645,69,57.971014492753625,1.9801821889996716,2.5908849239349365,MAG: uncultured,100.0,1.28e-24,125.0,Pseudomonadota,Unknown,Unknown
93,5863,2390346,62,51.61290322580645,1.9962415338676818,2.5780632495880127,Bosea sp.,100.0,6.3e-21,113.0,Pseudomonadota,Boseaceae,Bosea
94,21623,2453718,74,52.702702702702695,1.9546470021520546,2.574631929397583,Kitasatospora sp.,100.0,2.77e-27,134.0,Actinomycetota,Streptomycetaceae,Kitasatospora
95,63664,2606110,86,47.674418604651166,1.887900248268621,2.574284315109253,[Eubacterium] brachy,97.674,5.86e-31,147.0,Bacillota,Anaerovoracaceae,Unknown
96,68851,2622029,210,49.047619047619044,1.9619914844054054,2.5511960983276367,Fusobacterium vincentii,100.0,1.94e-100,379.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
97,26031,2469361,61,52.459016393442624,1.9706745794934548,2.5470221042633057,Desulfosediminicola flagellatus,100.0,2.11e-20,111.0,Thermodesulfobacteriota,Desulfocapsaceae,Desulfosediminicola
98,910,2370691,61,40.98360655737705,1.942656883962336,2.544182062149048,PREDICTED: Arvicanthis,100.0,2.11e-20,111.0,Chordata,Muridae,Arvicanthis
99,3405,2379532,100,42.0,1.959627536341357,2.5331437587738037,Fusobacterium polymorphum,100.0,3.67e-41,181.0,Fusobacteriota,Fusobacteriaceae,Fusobacterium
100,72671,2637411,66,56.060606060606055,1.9887032008080903,2.5168039798736572,Veillonella parvula,100.0,4.92e-23,120.0,Bacillota,Veillonellaceae,Veillonella
