rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,96721,2716995,130,70.0,1.8380980865205159,25.73927879333496,Actinomyces sp.,96.154,3.18e-50,213.0,Actinomycetota,Actinomycetaceae,Actinomyces
2,73483,2638325,123,29.268292682926827,1.871442418112287,18.77617073059082,,,,,,,
3,4006,2382803,86,44.18604651162791,1.9815458553567495,15.697064399719238,Campylobacter showae,100.0,1.13e-33,156.0,Campylobacterota,Campylobacteraceae,Campylobacter
4,42769,2532208,5416,44.73781388478582,1.9845357536010257,15.692028045654297,Staphylococcus haemolyticus,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
5,58044,2587432,72,48.61111111111111,1.978914232330877,12.702530860900879,MAG: Steroidobacteraceae,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Unknown
6,83289,2673068,66,59.09090909090909,1.689035435387326,12.12172794342041,PREDICTED: Ailuropoda,100.0,4.92e-23,120.0,Chordata,Ursidae,Ailuropoda
7,59337,2590848,85,52.94117647058824,1.9949550004971865,11.852395057678223,Candidatus Nitrosocosmicus,100.0,3.87e-33,154.0,Nitrososphaerota,Nitrososphaeraceae,Candidatus Nitrosocosmicus
8,12332,2423568,62,59.67741935483871,1.9720263244856202,11.845839500427246,Desulfobacca acetoxidans,98.387,2.68e-19,108.0,Thermodesulfobacteriota,Desulfobaccaceae,Desulfobacca
9,83926,2673917,82,68.29268292682927,1.8785324347235735,11.639320373535156,Actinomyces sp.,96.341,3.39e-27,135.0,Actinomycetota,Actinomycetaceae,Actinomyces
10,63713,2606162,95,56.84210526315789,1.9358862387935272,11.030582427978516,Nitrososphaera viennensis,100.0,1.75e-38,172.0,Nitrososphaerota,Nitrososphaeraceae,Nitrososphaera
11,48083,2551808,61,36.0655737704918,1.9097947096899266,11.020865440368652,Eukaryotic synthetic,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
12,97781,2722178,72,65.27777777777779,1.9105739280137324,10.243631362915039,Actinomyces timonensis,100.0,3.19e-26,131.0,Actinomycetota,Actinomycetaceae,Actinomyces
