rank,feature_index,id,length,gc_content,complexity,importance_score,prevalence_pct,n_samples_present,mean_frac_present,median_frac_present,best_hit_species
1,61486,2599697,77,66.23376623376623,1.912092211004246,10.84974193572998,20.06514657980456,616,0.6808279752731323,0.8500000238418579,MAG: Nitrospira
2,58044,2587432,72,48.61111111111111,1.978914232330877,10.800553321838379,21.107491856677523,648,0.5533642172813416,0.6000000238418579,Steroidobacter denitrificans
3,4006,2382803,86,44.18604651162791,1.9815458553567495,10.204087257385254,30.09771986970684,924,0.43125542998313904,0.30000001192092896,No blast hit
4,83926,2673917,82,68.29268292682927,1.8785324347235735,9.7968168258667,29.6742671009772,911,0.622974693775177,0.6899999976158142,Actinomyces sp.
5,12332,2423568,62,59.67741935483871,1.9720263244856202,9.371150016784668,37.817589576547235,1161,0.7239965796470642,0.8799999952316284,Desulfobacca acetoxidans
6,48083,2551808,61,36.0655737704918,1.9097947096899266,9.301663398742676,16.514657980456025,507,0.6986390948295593,0.8999999761581421,Homo sapiens
7,83289,2673068,66,59.09090909090909,1.689035435387326,9.091996192932129,12.052117263843648,370,0.8741891980171204,1.0,PREDICTED: Ailuropoda
8,73483,2638325,123,29.268292682926827,1.871442418112287,8.793038368225098,13.061889250814332,401,0.923940122127533,1.0,No blast hit
9,42769,2532208,5416,44.73781388478582,1.9845357536010257,8.770703315734863,26.612377850162865,817,0.584088146686554,0.8999999761581421,Staphylococcus haemolyticus
10,95320,2712791,118,54.23728813559322,1.987285656672547,8.357681274414062,32.80130293159609,1007,0.4094438850879669,0.27000001072883606,Acinetobacter lwoffii
11,70036,2626921,73,52.054794520547944,1.9581431364741209,8.099498748779297,26.319218241042346,808,0.5804827213287354,0.5600000023841858,Eubacterium ramulus
12,89128,2693057,61,42.62295081967213,1.4561112661478437,7.742363452911377,22.21498371335505,682,0.6544574499130249,0.8999999761581421,No blast hit
13,25392,2466982,104,37.5,1.9541494239872044,7.6644415855407715,26.188925081433226,804,0.656865656375885,0.8199999928474426,Homo sapiens
14,79805,2660680,63,50.79365079365079,1.907382400895482,7.448583602905273,18.892508143322477,580,0.6971034407615662,0.8799999952316284,Rhodoferax sp.
15,89078,2692596,61,54.09836065573771,1.9235377574011476,7.443028926849365,24.364820846905538,748,0.607620358467102,0.5799999833106995,Uncultured bacterium
16,2,610007,61,47.540983606557376,1.1034990673875955,7.343003749847412,26.254071661237784,806,0.45362281799316406,0.3499999940395355,No blast hit
17,6909,2392070,61,57.377049180327866,1.9510501943492133,7.181643962860107,32.63843648208469,1002,0.632684588432312,0.7400000095367432,Paenarthrobacter nitroguajacolicus
18,97781,2722178,72,65.27777777777779,1.9105739280137324,7.148839950561523,38.11074918566775,1170,0.6261111497879028,0.7400000095367432,Actinomyces timonensis
19,27398,2475089,66,53.03030303030303,1.9941822755773035,6.986304759979248,26.742671009771986,821,0.5479658842086792,0.5,Desulfobulbus propionicus
20,41717,2531105,89,59.55056179775281,1.9639989660847936,6.981863498687744,31.889250814332247,979,0.5514402389526367,0.5299999713897705,Anaerolineaceae bacterium
21,105638,2748890,88,37.5,1.9448725890987713,6.884329319000244,28.27361563517915,868,0.6978917121887207,0.9100000262260437,Homo sapiens
22,6093,2390667,80,55.00000000000001,1.9909520708329977,6.879507541656494,28.14332247557003,864,0.457013875246048,0.2800000011920929,No blast hit
23,12247,2420562,308,36.038961038961034,1.833453649076032,6.876443386077881,31.563517915309447,969,0.4495871961116791,0.27000001072883606,No blast hit
24,63713,2606162,95,56.84210526315789,1.9358862387935272,6.871011257171631,25.863192182410423,794,0.5684634447097778,0.5699999928474426,No blast hit
25,37779,2517730,88,55.68181818181818,1.9618416152153642,6.712088108062744,30.58631921824104,939,0.506485641002655,0.4300000071525574,No blast hit
26,81588,2667239,71,52.112676056338024,1.9839794495031335,6.631321430206299,33.09446254071661,1016,0.5531495809555054,0.3700000047683716,Mycobacterium sp.
27,46190,2545043,66,53.03030303030303,1.9714157726920518,6.510835647583008,29.446254071661237,904,0.7194579839706421,0.9399999976158142,Fusobacterium polymorphum
