task,feature_index,genus,best_hit_species,best_pident,best_evalue,has_blast_hit_x,paper_unitig_id,length,n_kmers,n_kmers_in_v9,frac_kmers_in_v9,exact_match_in_v9,has_blast_hit_y
sample_type,55208,Streptococcus,Streptococcus parasanguinis,100.0,4.46e-25,True,2576579,70,40,40,1.0,True,True
sample_type,2732,Uncultured,Cutibacterium acnes,100.0,2.57e-20,True,2378701,61,31,31,1.0,True,True
sample_type,81533,Neisseria,Neisseria oralis,100.0,2.57e-20,True,2667129,61,31,31,1.0,True,True
sample_type,106873,Aggregatibacter,Aggregatibacter aphrophilus,100.0,1.14e-49,True,2754620,116,86,86,1.0,True,True
sample_type,34788,Schaalia,Schaalia odontolytica,100.0,2.57e-20,True,2506732,61,31,31,1.0,True,True
sample_type,86507,Unknown,Uncultured bacterium,100.0,2.57e-20,True,2684330,61,31,31,1.0,True,True
sample_type,83289,Ailuropoda,No blast hit,100.0,5.79e-23,False,2673068,66,36,0,0.0,False,True
sample_type,81434,Unknown,MAG: Nitrospira,100.0,1.15e-26,True,2666828,73,43,43,1.0,True,True
sample_type,34226,Streptococcus,Lactococcus lactis,100.0,7.68e-21,True,2505245,62,32,32,1.0,True,True
sample_type,56071,Unknown,Arachnia propionica,100.0,2.29e-21,True,2580978,63,33,33,1.0,True,True
sample_type,35508,Acinetobacter,Acinetobacter sp.,100.0,7.68e-21,True,2511119,62,32,32,1.0,True,True
sample_type,42769,Staphylococcus,No blast hit,100.0,0.0,False,2532208,5416,5386,5380,0.9988860007426662,False,True
sample_type,96298,Selenomonas,Selenomonas infelix,100.0,2.18e-30,True,2716541,80,50,0,0.0,False,True
sample_type,81527,Eikenella,Neisseria elongata,100.0,2.57e-20,True,2667104,61,31,31,1.0,True,True
sample_type,1305,Arachnia,Pseudopropionibacterium propionicum,100.0,8.58e-37,True,2372602,92,62,62,1.0,True,True
sample_type,12332,Desulfobacca,No blast hit,98.387,3.26e-19,False,2423568,62,32,32,1.0,True,True
sample_type,72772,,No blast hit,,,False,2637543,63,33,33,1.0,True,True
sample_type,62885,Unknown,Uncultured Actinomycetales,100.0,2.57e-20,True,2604750,61,31,31,1.0,True,True
sample_type,5039,Arachnia,Pseudopropionibacterium propionicum,100.0,7.43e-30,True,2385778,79,49,49,1.0,False,True
sample_type,65915,Propionibacterium,Cutibacterium acnes,100.0,7.68e-21,True,2614178,62,32,32,1.0,True,True
sample_type,23230,Unknown,uncultured bacterium,100.0,4.46e-25,True,2460569,70,40,40,1.0,False,True
sample_type,71228,Arachnia,Arachnia propionica,100.0,1.18e-34,True,2631981,88,58,46,0.7931034482758621,False,True
sample_type,61486,Unknown,MAG: Nitrospira,100.0,3.66e-27,True,2599697,77,47,31,0.6595744680851063,False,True
sample_type,45990,,No blast hit,,,False,2544635,76,46,46,1.0,False,False
sample_type,88473,,No blast hit,,,False,2689193,84,54,54,1.0,True,True
sample_type,25485,Arachnia,Arachnia propionica,100.0,5.739999999999998e-54,True,2467075,124,94,94,1.0,False,True
sample_type,60405,Unknown,Eubacterium minutum,100.0,1.38e-33,True,2594922,86,56,56,1.0,True,True
sample_type,34795,,No blast hit,,,False,2506748,68,38,0,0.0,False,True
sample_type,22777,,No blast hit,,,False,2455731,71,41,41,1.0,True,True
sample_type,79819,,No blast hit,,,False,2660861,61,31,31,1.0,True,True
sample_type,83626,Arachnia,Arachnia propionica,100.0,4.71e-33,True,2673571,85,55,55,1.0,True,True
sample_type,11194,Unknown,MAG: Steroidobacteraceae,100.0,8.61e-29,True,2417721,77,47,47,1.0,True,True
sample_type,17198,Actinomadura,Nonomuraea sp.,100.0,2.57e-20,True,2438938,61,31,0,0.0,False,True
sample_type,51067,,No blast hit,,,False,2563218,61,31,31,1.0,True,True
sample_type,59337,Candidatus Nitrosocosmicus,No blast hit,100.0,4.71e-33,False,2590848,85,55,47,0.8545454545454545,False,True
sample_type,97345,,No blast hit,,,False,2721414,72,42,42,1.0,False,True
sample_type,99091,Unknown,Uncultured bacterium,100.0,5.79e-23,True,2726756,66,36,36,1.0,True,True
sample_type,63713,Nitrososphaera,No blast hit,100.0,2.13e-38,False,2606162,95,65,35,0.5384615384615384,False,True
sample_type,60694,Arachnia,Arachnia propionica,100.0,6.57e-46,True,2595220,109,79,79,1.0,True,True
sample_type,37425,Arachnia,No blast hit,100.0,2.94e-36,False,2517329,91,61,31,0.5081967213114754,False,True
sample_type,87006,,No blast hit,,,False,2685654,69,39,32,0.8205128205128205,False,True
sample_type,44502,Streptococcus,Streptococcus oralis,100.0,2.57e-20,True,2539970,61,31,31,1.0,True,True
sample_type,58162,,No blast hit,,,False,2587591,61,31,0,0.0,False,False
sample_type,57775,,No blast hit,,,False,2586713,62,32,32,1.0,True,True
sample_type,61060,Actinomyces,No blast hit,100.0,2.57e-20,False,2598635,61,31,31,1.0,True,True
sample_type,15340,,No blast hit,,,False,2432617,78,48,0,0.0,False,True
