rank,feature_index,id,length,gc_content,complexity,importance_score,best_hit_species,best_pident,best_evalue,best_bitscore,phylum,family,genus
1,96721,2716995,130,70.0,1.8380980865205159,23.343778610229492,Actinomyces sp.,96.154,3.18e-50,213.0,Actinomycetota,Actinomycetaceae,Actinomyces
2,73483,2638325,123,29.268292682926827,1.871442418112287,17.137849807739258,,,,,,,
3,42769,2532208,5416,44.73781388478582,1.9845357536010257,16.3586368560791,Staphylococcus haemolyticus,100.0,0.0,9229.0,Bacillota,Staphylococcaceae,Staphylococcus
4,58044,2587432,72,48.61111111111111,1.978914232330877,14.296531677246094,MAG: Steroidobacteraceae,100.0,3.19e-26,131.0,Pseudomonadota,Steroidobacteraceae,Unknown
5,48083,2551808,61,36.0655737704918,1.9097947096899266,11.918744087219238,Eukaryotic synthetic,100.0,2.11e-20,111.0,Unknown,Unknown,Unknown
6,11014,2417508,88,51.13636363636363,1.9977281244737704,11.667143821716309,Treponema phagedenis,100.0,9.67e-35,159.0,Spirochaetota,Treponemataceae,Treponema
7,56352,2581557,61,68.85245901639344,1.8881175783370163,11.49887752532959,Actinomyces sp.,98.361,8.97e-19,106.0,Actinomycetota,Actinomycetaceae,Actinomyces
8,83926,2673917,82,68.29268292682927,1.8785324347235735,11.145394325256348,Actinomyces sp.,96.341,3.39e-27,135.0,Actinomycetota,Actinomycetaceae,Actinomyces
9,61486,2599697,77,66.23376623376623,1.912092211004246,10.373631477355957,MAG: Nitrospira,93.421,2.81e-21,115.0,Nitrospirota,Nitrospiraceae,Nitrospira
10,4006,2382803,86,44.18604651162791,1.9815458553567495,9.884941101074219,Campylobacter showae,100.0,1.13e-33,156.0,Campylobacterota,Campylobacteraceae,Campylobacter
11,100084,2729624,61,37.704918032786885,1.9057026102692773,9.482698440551758,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
12,58162,2587591,61,49.18032786885246,1.5076213244090613,9.326708793640137,,,,,,,
13,45990,2544635,76,52.63157894736842,1.9259865576705786,9.255478858947754,,,,,,,
14,25392,2466982,104,37.5,1.9541494239872044,9.173137664794922,Homo sapiens,100.0,2.63e-43,188.0,Chordata,Hominidae,Homo
15,53107,2569730,64,64.0625,1.9413980376599163,8.937870979309082,Roseateles noduli,100.0,5.58e-22,116.0,Pseudomonadota,Sphaerotilaceae,Roseateles
16,40267,2525965,86,68.6046511627907,1.880070674992537,8.93727970123291,Actinomyces massiliensis,90.476,9.93e-22,116.0,Actinomycetota,Actinomycetaceae,Actinomyces
17,4825,2385023,61,59.01639344262295,1.925345647173747,8.906899452209473,Anoxybacter fermentans,98.361,8.97e-19,106.0,Bacillota,Unknown,Anoxybacter
18,36992,2516516,72,54.166666666666664,1.94488099582645,8.778668403625488,MAG: Vallitaleaceae,97.222,1.65e-23,122.0,Bacillota,Vallitaleaceae,Unknown
19,97781,2722178,72,65.27777777777779,1.9105739280137324,8.51880931854248,Actinomyces timonensis,100.0,3.19e-26,131.0,Actinomycetota,Actinomycetaceae,Actinomyces
20,35273,2510455,61,50.81967213114754,1.966665652338337,8.478739738464355,Uncultured Tissierellaceae,100.0,2.11e-20,111.0,Bacillota,Tissierellaceae,Unknown
21,42855,2535506,61,62.295081967213115,1.937986057212116,8.470443725585938,Paenibacillus cellulosilyticus,98.361,8.97e-19,106.0,Bacillota,Paenibacillaceae,Paenibacillus
22,96298,2716541,80,51.24999999999999,1.948667609804581,8.27213191986084,Selenomonas infelix,100.0,1.79e-30,145.0,Bacillota,Selenomonadaceae,Selenomonas
23,9158,2400238,61,55.73770491803278,1.9569975011825842,8.222092628479004,Castellaniella ginsengisoli,100.0,2.11e-20,111.0,Pseudomonadota,Alcaligenaceae,Castellaniella
24,101923,2735640,67,43.28358208955223,1.911730411258397,8.219435691833496,Danio rerio,100.0,1.46e-23,122.0,Chordata,Danionidae,Danio
25,65915,2614178,62,59.67741935483871,1.923966973111092,8.21356201171875,Cutibacterium acnes,100.0,6.3e-21,113.0,Actinomycetota,Propionibacteriaceae,Cutibacterium
26,95320,2712791,118,54.23728813559322,1.987285656672547,8.19532299041748,Acinetobacter lwoffii,100.0,7.91e-51,214.0,Pseudomonadota,Moraxellaceae,Acinetobacter
27,82952,2671710,61,45.90163934426229,1.9902277600210603,8.114131927490234,Microbotryum stellariae,100.0,2.11e-20,111.0,Basidiomycota,Microbotryaceae,Microbotryum
28,12247,2420562,308,36.038961038961034,1.833453649076032,8.024347305297852,Homo sapiens,100.0,1.92e-153,556.0,Chordata,Hominidae,Homo
29,71519,2632319,79,27.848101265822784,1.806365152784205,8.004339218139648,,,,,,,
30,5799,2390147,61,40.98360655737705,1.9708322921448431,7.985067844390869,Homo sapiens,100.0,2.11e-20,111.0,Chordata,Hominidae,Homo
31,30359,2483876,102,64.70588235294117,1.9084000353083128,7.947261810302734,Actinomyces sp.,100.0,3.11e-42,185.0,Actinomycetota,Actinomycetaceae,Actinomyces
32,76265,2648766,83,53.01204819277109,1.9791665377146765,7.889517307281494,Danio rerio,100.0,4.51e-32,150.0,Chordata,Danionidae,Danio
33,55208,2576579,70,45.714285714285715,1.9460831814792088,7.723324298858643,Streptococcus sp.,100.0,3.77e-25,127.0,Bacillota,Streptococcaceae,Streptococcus
34,89923,2694717,108,33.33333333333333,1.9041324958519188,7.688554286956787,,,,,,,
35,83289,2673068,66,59.09090909090909,1.689035435387326,7.673616886138916,PREDICTED: Ailuropoda,100.0,4.92e-23,120.0,Chordata,Ursidae,Ailuropoda
36,41128,2529645,69,57.971014492753625,1.9801821889996716,7.614646911621094,MAG: uncultured,100.0,1.28e-24,125.0,Pseudomonadota,Unknown,Unknown
